date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-08,regular,Jeonbuk,Seoul E-Land,2,1,2.16,3.44,3.23
2024-12-01,regular,Seoul E-Land,Jeonbuk,1,2,3.31,3.26,2.23
2024-12-01,regular,Daegu,Asan,3,1,1.87,3.69,3.94
2024-11-28,regular,Asan,Daegu,4,3,2.85,3.21,2.48
2024-11-24,regular,Daegu,Incheon,1,3,2.69,3.29,2.59
2024-11-24,regular,Daejeon,Jeju SK,2,1,2.24,3.36,3.12
2024-11-24,regular,Gwangju FC,Jeonbuk,1,1,2.73,3.27,2.56
2024-11-23,regular,Gangwon,Pohang,1,0,2.94,3.23,2.43
2024-11-23,regular,Gimcheon Sangmu,Seoul,1,3,2.63,3.15,2.75
2024-11-23,regular,Ulsan HD,Suwon FC,4,2,2.54,3.40,2.67
2024-11-10,regular,Jeonbuk,Daegu,3,1,1.88,3.51,4.14
2024-11-10,regular,Incheon,Daejeon,1,2,2.67,3.05,2.81
2024-11-10,regular,Jeju SK,Gwangju FC,0,0,3.72,3.22,2.10
2024-11-10,regular,Pohang,Gimcheon Sangmu,0,3,2.37,3.35,2.97
2024-11-10,regular,Seoul,Ulsan HD,1,1,2.04,3.33,3.73
2024-11-09,regular,Suwon FC,Gangwon,4,0,2.70,3.23,2.66
2024-11-03,regular,Daegu,Jeju SK,2,2,2.23,3.40,3.15
2024-11-02,regular,Gimcheon Sangmu,Suwon FC,1,0,2.05,3.47,3.55
2024-11-02,regular,Seoul,Pohang,1,1,2.22,3.16,3.43
2024-11-02,regular,Gwangju FC,Daejeon,0,0,1.94,3.39,3.98
2024-11-02,regular,Jeonbuk,Incheon,0,0,1.94,3.37,4.04
2024-11-01,regular,Ulsan HD,Gangwon,2,1,1.96,3.34,4.01
2024-10-27,regular,Incheon,Gwangju FC,1,0,3.19,3.12,2.35
2024-10-27,regular,Jeju SK,Jeonbuk,1,0,3.23,3.47,2.16
2024-10-27,regular,Pohang,Ulsan HD,0,2,3.00,3.26,2.39
2024-10-27,regular,Daejeon,Daegu,1,0,2.71,3.23,2.63
2024-10-26,regular,Suwon FC,Seoul,0,1,3.38,3.27,2.18
2024-10-26,regular,Gangwon,Gimcheon Sangmu,1,0,2.30,3.24,3.16
2024-10-20,regular,Gangwon,Seoul,1,0,2.32,3.22,3.17
2024-10-19,regular,Gimcheon Sangmu,Ulsan HD,0,0,2.82,3.26,2.53
2024-10-19,regular,Incheon,Jeju SK,1,2,2.56,3.05,2.96
2024-10-19,regular,Jeonbuk,Daejeon,0,2,1.75,3.71,4.65
2024-10-18,regular,Pohang,Suwon FC,1,1,1.99,3.47,3.75
2024-10-18,regular,Gwangju FC,Daegu,1,1,1.97,3.41,3.90
2024-10-06,regular,Daegu,Jeonbuk,4,3,2.91,3.43,2.37
2024-10-06,regular,Jeju SK,Daejeon,2,1,2.56,3.23,2.81
2024-10-06,regular,Incheon,Gangwon,1,3,2.88,3.18,2.52
2024-10-06,regular,Ulsan HD,Gimcheon Sangmu,2,1,2.20,3.41,3.24
2024-10-06,regular,Gwangju FC,Seoul,3,1,2.61,3.18,2.78
2024-10-06,regular,Pohang,Suwon FC,1,1,1.91,3.55,4.03
2024-09-29,regular,Seoul,Suwon FC,1,0,1.93,3.60,3.82
2024-09-28,regular,Gimcheon Sangmu,Gwangju FC,2,0,2.15,3.45,3.32
2024-09-28,regular,Jeonbuk,Jeju SK,2,1,1.80,3.78,4.22
2024-09-28,regular,Gangwon,Daegu,1,1,1.87,3.65,3.98
2024-09-27,regular,Daejeon,Ulsan HD,0,1,3.29,3.43,2.16
2024-09-27,regular,Pohang,Incheon,1,0,2.20,3.40,3.24
2024-09-22,regular,Daejeon,Jeonbuk,0,0,3.10,3.42,2.25
2024-09-22,regular,Incheon,Ulsan HD,0,0,3.22,3.38,2.19
2024-09-22,regular,Pohang,Gangwon,2,1,2.63,3.35,2.62
2024-09-22,regular,Gwangju FC,Jeju SK,0,2,1.88,3.55,4.06
2024-09-21,regular,Daegu,Seoul,1,1,2.82,3.34,2.45
2024-09-21,regular,Suwon FC,Gimcheon Sangmu,2,4,2.59,3.48,2.59
2024-09-15,regular,Gimcheon Sangmu,Incheon,2,0,2.46,3.37,2.83
