date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-30,regular,Aarau,Grasshoppers,1,0,2.69,3.78,2.34
2025-05-27,regular,Grasshoppers,Aarau,4,0,2.03,3.52,3.48
2025-05-23,regular,Aarau,Stade Nyonnais,1,1,1.59,4.45,4.41
2025-05-23,regular,Schaffhausen,Bellinzona,1,3,3.01,3.65,2.13
2025-05-23,regular,Thun,Etoile-Carouge,1,0,1.62,4.21,4.49
2025-05-23,regular,Lausanne Ouchy,Vaduz,2,0,1.66,4.15,4.28
2025-05-23,regular,Xamax,Wil,2,3,2.42,3.78,2.50
2025-05-16,regular,Etoile-Carouge,Aarau,1,3,2.43,3.54,2.63
2025-05-16,regular,Bellinzona,Thun,3,1,3.30,3.61,2.02
2025-05-16,regular,Wil,Lausanne Ouchy,0,2,2.49,3.76,2.46
2025-05-16,regular,Vaduz,Schaffhausen,1,0,1.57,4.33,4.76
2025-05-16,regular,Stade Nyonnais,Xamax,1,3,3.89,3.85,1.81
2025-05-11,regular,Vaduz,Thun,3,3,3.17,3.66,2.09
2025-05-09,regular,Aarau,Wil,2,4,1.48,4.60,5.64
2025-05-09,regular,Lausanne Ouchy,Bellinzona,1,1,2.11,3.55,3.18
2025-05-09,regular,Xamax,Etoile-Carouge,1,2,3.18,3.82,2.02
2025-05-09,regular,Schaffhausen,Stade Nyonnais,2,3,2.59,3.47,2.53
2025-05-04,regular,Wil,Schaffhausen,3,1,1.95,3.86,3.40
2025-05-03,regular,Bellinzona,Xamax,3,1,1.79,3.66,4.18
2025-05-02,regular,Thun,Aarau,2,1,1.98,3.64,3.45
2025-05-02,regular,Etoile-Carouge,Lausanne Ouchy,1,2,1.96,3.79,3.40
2025-05-02,regular,Stade Nyonnais,Vaduz,1,0,2.27,3.76,2.76
2025-04-27,regular,Wil,Bellinzona,2,2,2.76,3.32,2.47
2025-04-27,regular,Vaduz,Etoile-Carouge,1,0,2.82,3.56,2.31
2025-04-26,regular,Lausanne Ouchy,Stade Nyonnais,0,1,1.72,4.04,4.17
2025-04-25,regular,Xamax,Thun,0,2,4.47,3.84,1.71
2025-04-25,regular,Schaffhausen,Aarau,1,1,5.36,4.10,1.56
2025-04-21,regular,Thun,Wil,7,0,1.62,3.93,5.04
