date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-30,regular,Aarau,Grasshoppers,1,0,2.69,3.78,2.34
2025-05-27,regular,Grasshoppers,Aarau,4,0,2.03,3.52,3.48
2025-05-24,regular,Basel,Luzern,4,0,1.75,4.45,3.78
2025-05-24,regular,Servette,Lausanne,3,3,1.53,4.57,5.37
2025-05-24,regular,Lugano,Young Boys,1,1,2.39,3.94,2.59
2025-05-22,regular,Grasshoppers,St. Gallen,2,0,1.86,3.91,3.71
2025-05-22,regular,Winterthur,Sion,2,0,1.90,3.63,3.84
2025-05-22,regular,Yverdon,Zurich,3,2,2.32,3.78,2.73
2025-05-18,regular,Lausanne,Lugano,1,1,1.77,3.89,4.12
2025-05-18,regular,Luzern,Servette,3,4,2.19,3.86,2.87
2025-05-18,regular,Young Boys,Basel,6,2,1.89,4.16,3.46
2025-05-17,regular,Sion,Grasshoppers,2,1,2.43,3.19,2.98
2025-05-17,regular,St. Gallen,Zurich,3,2,2.35,3.82,2.69
2025-05-17,regular,Winterthur,Yverdon,2,2,2.24,3.47,3.07
2025-05-15,regular,Servette,Lugano,4,1,1.99,3.70,3.48
2025-05-15,regular,Young Boys,Luzern,2,1,1.61,4.44,4.61
2025-05-14,regular,Lausanne,Basel,2,3,1.99,3.84,3.35
2025-05-14,regular,Grasshoppers,Yverdon,5,0,2.29,3.26,3.19
2025-05-13,regular,Sion,St. Gallen,1,1,1.75,3.79,4.39
2025-05-13,regular,Zurich,Winterthur,4,1,2.27,3.72,2.85
2025-05-11,regular,Servette,Young Boys,0,0,2.41,3.66,2.68
2025-05-11,regular,Luzern,Lausanne,1,1,2.39,3.54,2.76
2025-05-10,regular,Lugano,Basel,2,5,2.96,3.81,2.17
2025-05-10,regular,Zurich,Grasshoppers,3,0,2.08,3.59,3.26
2025-05-10,regular,Yverdon,Sion,1,1,2.23,3.26,3.26
2025-05-10,regular,St. Gallen,Winterthur,1,4,1.71,4.06,4.37
2025-05-06,regular,Yverdon,St. Gallen,1,1,2.62,3.41,2.59
2025-05-04,regular,Basel,Servette,5,1,1.82,4.02,3.78
2025-05-04,regular,Luzern,Lugano,0,2,2.64,3.56,2.48
2025-05-04,regular,Sion,Zurich,2,1,2.06,3.54,3.39
