date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-30,regular,Prachuap,Bangkok Utd,2,4,3.98,3.67,1.83
2025-04-30,regular,Buriram,Nong Bua Pitchaya,7,0,1.03,14.19,28.96
2025-04-30,regular,Nakhon Pathom,Ratchaburi,1,6,3.94,3.90,1.77
2025-04-30,regular,Port MTI FC,Rayong FC,4,1,1.57,4.20,5.04
2025-04-27,regular,Khonkaen Utd.,Chiangrai Utd,3,1,2.74,3.61,2.34
2025-04-27,regular,Uthai Thani,Lamphun Warrior,1,1,2.34,3.33,2.89
2025-04-27,regular,Muang Thong Utd,Nakhon Ratchasima FC,2,0,1.39,5.00,6.53
2025-04-27,regular,Pathum United,Sukhothai,4,4,1.40,5.00,6.21
2025-04-20,regular,Uthai Thani,Muang Thong Utd,1,1,2.89,3.18,2.44
2025-04-20,regular,Nakhon Ratchasima FC,Prachuap,1,1,2.13,3.59,3.09
2025-04-20,regular,Rayong FC,Khonkaen Utd.,4,0,1.24,6.37,9.13
2025-04-20,regular,Nong Bua Pitchaya,Port MTI FC,1,2,2.55,3.79,2.41
2025-04-19,regular,Bangkok Utd,Pathum United,3,0,1.57,4.30,4.81
2025-04-19,regular,Lamphun Warrior,Nakhon Pathom,1,1,1.53,4.12,5.50
2025-04-19,regular,Ratchaburi,Buriram,3,2,4.82,4.22,1.59
2025-04-19,regular,Sukhothai,Chiangrai Utd,3,3,2.14,3.30,3.28
2025-04-13,regular,Muang Thong Utd,Uthai Thani,2,0,1.60,4.09,4.57
2025-04-13,regular,Nakhon Pathom,Port MTI FC,2,2,2.36,3.58,2.68
2025-04-12,regular,Buriram,Pathum United,1,2,1.30,5.63,7.58
2025-04-10,regular,Port MTI FC,Prachuap,0,2,1.64,3.85,4.78
2025-04-06,regular,Nakhon Pathom,Rayong FC,1,2,2.36,3.34,2.82
2025-04-06,regular,Sukhothai,Buriram,1,2,8.13,5.75,1.28
2025-04-06,regular,Khonkaen Utd.,Ratchaburi,4,7,5.82,4.59,1.43
2025-04-06,regular,Pathum United,Nakhon Ratchasima FC,1,0,1.37,5.00,6.93
2025-04-05,regular,Bangkok Utd,Muang Thong Utd,2,1,1.55,4.40,4.86
2025-04-05,regular,Port MTI FC,Uthai Thani,1,1,1.53,4.21,5.47
2025-04-05,regular,Prachuap,Lamphun Warrior,2,1,1.90,3.49,3.78
2025-04-04,regular,Chiangrai Utd,Nong Bua Pitchaya,2,1,1.93,3.27,3.94
2025-04-02,regular,Ratchaburi,Bangkok Utd,1,2,2.81,3.26,2.41
2025-04-02,regular,Khonkaen Utd.,Muang Thong Utd,2,1,5.11,4.57,1.51
2025-03-30,regular,Nakhon Pathom,Muang Thong Utd,2,4,3.10,3.64,2.08
2025-03-30,regular,Bangkok Utd,Khonkaen Utd.,5,0,1.11,8.68,16.20
2025-03-30,regular,Lamphun Warrior,Port MTI FC,3,2,3.03,3.25,2.28
2025-03-29,regular,Nong Bua Pitchaya,Sukhothai,1,1,2.04,3.56,3.27
2025-03-29,regular,Uthai Thani,Pathum United,1,1,,,
2025-03-29,regular,Buriram,Rayong FC,2,1,1.12,8.48,15.71
2025-03-29,regular,Nakhon Ratchasima FC,Chiangrai Utd,1,4,2.20,3.18,3.26
2025-03-28,regular,Ratchaburi,Prachuap,3,2,1.74,3.65,4.36
2025-03-26,regular,Lamphun Warrior,Buriram,1,2,6.52,4.71,1.41
2025-03-16,regular,Port MTI FC,Bangkok Utd,0,0,2.65,3.66,2.34
2025-03-16,regular,Buriram,Nakhon Ratchasima FC,5,0,1.05,11.72,24.34
2025-03-16,regular,Chiangrai Utd,Rayong FC,1,0,2.14,3.03,3.60
2025-03-16,regular,Prachuap,Muang Thong Utd,5,0,2.50,3.34,2.64
2025-03-15,regular,Sukhothai,Ratchaburi,2,1,4.05,3.49,1.85
2025-03-15,regular,Khonkaen Utd.,Nong Bua Pitchaya,0,1,2.79,3.53,2.32
2025-03-15,regular,Nakhon Pathom,Uthai Thani,1,0,2.63,3.32,2.54
2025-03-14,regular,Pathum United,Lamphun Warrior,1,0,1.65,3.96,4.59
2025-03-09,regular,Muang Thong Utd,Port MTI FC,1,2,2.25,3.69,2.78
2025-03-09,regular,Uthai Thani,Prachuap,3,1,2.71,3.29,2.50
2025-03-09,regular,Ratchaburi,Nong Bua Pitchaya,4,0,1.34,5.13,7.12
2025-03-09,regular,Nakhon Ratchasima FC,Khonkaen Utd.,3,1,1.80,3.64,4.05
2025-03-08,regular,Bangkok Utd,Chiangrai Utd,3,2,1.27,5.44,9.52
2025-03-08,regular,Rayong FC,Sukhothai,2,1,1.93,3.71,3.47
2025-03-08,regular,Nakhon Pathom,Pathum United,1,4,3.67,3.62,1.89
2025-03-02,regular,Khonkaen Utd.,Lamphun Warrior,0,0,3.70,3.64,1.88
2025-03-02,regular,Prachuap,Nakhon Pathom,1,0,1.52,4.09,5.71
2025-03-02,regular,Sukhothai,Bangkok Utd,1,3,3.91,3.83,1.79
2025-03-02,regular,Chiangrai Utd,Ratchaburi,0,1,3.70,3.04,2.11
2025-03-01,regular,Pathum United,Muang Thong Utd,2,0,2.31,3.51,2.77
2025-03-01,regular,Port MTI FC,Nakhon Ratchasima FC,4,2,1.47,4.38,5.98
2025-03-01,regular,Uthai Thani,Buriram,0,0,6.44,4.70,1.41
2025-03-01,regular,Nong Bua Pitchaya,Rayong FC,1,1,2.26,3.23,3.11
2025-02-23,regular,Muang Thong Utd,Buriram,1,3,4.70,4.15,1.60
2025-02-23,regular,Lamphun Warrior,Chiangrai Utd,1,0,1.77,3.29,4.88
2025-02-23,regular,Bangkok Utd,Nong Bua Pitchaya,1,0,1.28,5.90,7.89
2025-02-22,regular,Pathum United,Prachuap,1,0,1.91,3.66,3.58
2025-02-22,regular,Uthai Thani,Khonkaen Utd.,0,0,1.35,5.10,7.26
2025-02-22,regular,Rayong FC,Ratchaburi,1,4,3.73,3.64,1.87
2025-02-21,regular,Nakhon Ratchasima FC,Sukhothai,2,2,2.54,3.23,2.70
2025-02-17,regular,Rayong FC,Lamphun Warrior,2,3,2.85,3.28,2.38
2025-02-15,regular,Chiangrai Utd,Uthai Thani,1,0,2.53,3.08,2.83
2025-02-15,regular,Sukhothai,Nakhon Pathom,0,0,1.87,3.61,3.67
2025-02-15,regular,Nong Bua Pitchaya,Nakhon Ratchasima FC,1,1,1.97,3.45,3.48
2025-02-10,regular,Uthai Thani,Nong Bua Pitchaya,3,0,1.63,4.15,4.39
2025-02-09,regular,Pathum United,Port MTI FC,1,0,2.20,3.60,2.90
2025-02-09,regular,Nakhon Pathom,Khonkaen Utd.,2,1,1.68,3.75,4.61
2025-02-09,regular,Lamphun Warrior,Sukhothai,1,0,2.08,3.42,3.33
2025-02-08,regular,Nakhon Ratchasima FC,Ratchaburi,1,1,3.37,3.50,2.04
2025-02-08,regular,Muang Thong Utd,Chiangrai Utd,2,1,1.40,4.71,6.93
2025-02-07,regular,Bangkok Utd,Rayong FC,2,2,1.29,5.76,7.73
2025-02-02,regular,Khonkaen Utd.,Prachuap,1,4,4.25,3.94,1.71
2025-02-02,regular,Sukhothai,Muang Thong Utd,1,3,3.50,3.65,1.95
2025-02-02,regular,Bangkok Utd,Nakhon Ratchasima FC,2,1,1.25,6.24,8.90
2025-02-02,regular,Buriram,Port MTI FC,0,1,1.17,7.96,11.16
2025-02-02,regular,Chiangrai Utd,Nakhon Pathom,3,0,2.17,3.19,3.39
2025-02-01,regular,Rayong FC,Uthai Thani,2,3,2.48,3.41,2.68
2025-02-01,regular,Ratchaburi,Lamphun Warrior,1,1,1.81,3.81,3.90
2025-02-01,regular,Nong Bua Pitchaya,Pathum United,1,1,3.71,3.79,1.86
2025-01-29,regular,Prachuap,Buriram,1,2,6.61,4.71,1.41
2025-01-26,regular,Nakhon Pathom,Buriram,1,3,11.19,6.84,1.19
2025-01-26,regular,Pathum United,Khonkaen Utd.,4,1,1.29,5.92,7.61
2025-01-26,regular,Prachuap,Chiangrai Utd,2,0,1.48,4.18,6.17
2025-01-26,regular,Uthai Thani,Sukhothai,3,0,1.96,3.66,3.46
2025-01-25,regular,Muang Thong Utd,Nong Bua Pitchaya,2,1,1.35,5.34,6.91
