date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-29,regular,Karagumruk,Bandirmaspor,3,1,2.56,3.09,2.79
2025-05-23,regular,Bandirmaspor,Boluspor,1,0,1.99,3.55,3.43
2025-05-19,regular,Boluspor,Bandirmaspor,1,4,2.33,3.16,3.06
2025-05-15,regular,Istanbulspor AS,Boluspor,1,2,1.91,3.49,3.81
2025-05-15,regular,Bandirmaspor,Erzurumspor,2,0,2.35,3.06,3.16
2025-05-11,regular,Kocaelispor,Keciorengucu,4,1,1.26,5.90,8.91
2025-05-10,regular,Adanaspor AS,Boluspor,0,7,13.83,6.75,1.16
2025-05-10,regular,Ankaragucu,Amedspor,2,0,1.68,3.97,4.37
2025-05-10,regular,Bandirmaspor,Pendikspor,2,1,1.47,4.21,6.11
2025-05-10,regular,Istanbulspor AS,Corum,3,0,1.21,6.43,12.13
2025-05-10,regular,Sakaryaspor,Erokspor,2,0,2.12,2.79,4.01
2025-05-10,regular,Sanliurfaspor,Erzurumspor,0,1,9.79,5.44,1.28
2025-05-10,regular,Karagumruk,Igdir FK,2,1,3.17,3.54,2.11
2025-05-10,regular,Umraniyespor,Manisa FK,0,1,3.30,3.86,1.95
2025-05-04,regular,Amedspor,Adanaspor AS,4,0,1.03,14.00,31.68
2025-05-04,regular,Keciorengucu,Ankaragucu,2,3,8.42,5.39,1.30
2025-05-04,regular,Manisa FK,Bandirmaspor,1,1,2.79,3.57,2.32
2025-05-04,regular,Corum,Sanliurfaspor,2,1,3.04,3.76,2.10
2025-05-04,regular,Erokspor,Istanbulspor AS,0,3,3.40,3.61,2.00
2025-05-04,regular,Erzurumspor,Umraniyespor,2,0,1.78,3.58,4.37
2025-05-04,regular,Pendikspor,Karagumruk,2,0,2.87,3.59,2.26
2025-05-04,regular,Genclerbirligi,Sakaryaspor,1,0,1.31,5.00,9.52
2025-05-04,regular,Igdir FK,Kocaelispor,4,0,1.39,4.78,6.96
2025-04-27,regular,Adanaspor AS,Genclerbirligi,0,5,19.28,9.74,1.09
2025-04-27,regular,Umraniyespor,Amedspor,3,0,3.25,3.25,2.21
2025-04-27,regular,Ankaragucu,Corum,1,0,1.78,3.91,3.94
2025-04-27,regular,Bandirmaspor,Erokspor,1,0,2.05,3.50,3.41
2025-04-27,regular,Kocaelispor,Boluspor,3,4,1.83,3.44,4.34
2025-04-27,regular,Sakaryaspor,Erzurumspor,1,0,3.15,3.03,2.39
2025-04-27,regular,Karagumruk,Keciorengucu,1,0,1.87,3.69,3.87
2025-04-27,regular,Yeni Malatyaspor,Igdir FK,0,9,17.01,9.21,1.09
2025-04-27,regular,Istanbulspor AS,Pendikspor,5,2,1.66,3.91,4.82
2025-04-27,regular,Sanliurfaspor,Manisa FK,1,3,2.42,3.32,2.84
2025-04-21,regular,Igdir FK,Sakaryaspor,4,0,1.48,4.21,6.41
2025-04-20,regular,Genclerbirligi,Bandirmaspor,1,1,1.86,3.46,4.16
2025-04-20,regular,Erokspor,Kocaelispor,3,1,3.02,3.47,2.21
2025-04-20,regular,Keciorengucu,Umraniyespor,0,1,1.90,3.65,3.73
2025-04-19,regular,Amedspor,Corum,1,0,1.68,3.72,4.89
2025-04-19,regular,Boluspor,Karagumruk,1,0,3.37,3.10,2.23
2025-04-19,regular,Pendikspor,Sanliurfaspor,0,2,1.58,3.96,5.44
2025-04-19,regular,Erzurumspor,Istanbulspor AS,1,2,2.17,3.46,3.11
2025-04-18,regular,Manisa FK,Ankaragucu,2,1,3.04,3.37,2.25
2025-04-14,regular,Adanaspor AS,Erzurumspor,0,3,7.38,4.50,1.39
2025-04-14,regular,Umraniyespor,Erokspor,1,1,2.37,3.34,2.85
2025-04-14,regular,Bandirmaspor,Igdir FK,1,1,2.66,3.05,2.68
2025-04-13,regular,Ankaragucu,Boluspor,2,2,2.20,3.29,3.14
2025-04-13,regular,Corum,Manisa FK,3,2,1.85,3.49,4.03
2025-04-13,regular,Karagumruk,Genclerbirligi,0,0,2.10,3.25,3.47
2025-04-13,regular,Sakaryaspor,Pendikspor,1,0,2.36,3.30,2.90
2025-04-12,regular,Sanliurfaspor,Amedspor,0,1,3.86,3.25,1.98
