date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2026-03-31,regular,Latvia,Gibraltar,1,0,1.26,5.63,11.00
2026-03-31,regular,Luxembourg,Malta,3,0,1.67,3.68,5.00
2026-03-26,regular,Gibraltar,Latvia,0,1,6.38,3.78,1.52
2026-03-26,regular,Malta,Luxembourg,0,2,3.78,2.88,2.13
2025-06-08,play_off,Portugal,Spain,3,2,3.90,3.55,1.93
2025-06-08,play_off,Germany,France,0,2,2.45,3.75,2.62
2025-06-05,play_off,Spain,France,5,4,2.45,3.23,2.93
2025-06-04,play_off,Germany,Portugal,1,2,1.90,3.78,3.85
2025-03-23,play_off,France,Croatia,3,0,1.27,5.25,10.50
2025-03-23,play_off,Portugal,Denmark,5,2,1.51,4.22,5.88
2025-03-23,play_off,Germany,Italy,3,3,1.87,3.50,3.90
2025-03-23,play_off,Spain,Netherlands,4,3,1.66,3.90,4.75
2025-03-23,regular,Belgium,Ukraine,3,0,1.44,4.35,6.75
2025-03-23,regular,Ireland,Bulgaria,2,1,1.59,3.75,5.88
2025-03-23,regular,Serbia,Austria,2,0,2.85,3.00,2.55
2025-03-23,regular,Scotland,Greece,0,3,2.55,3.10,2.84
2025-03-23,regular,Hungary,Turkey,0,3,2.13,3.63,3.10
2025-03-23,regular,Iceland,Kosovo,1,3,2.50,3.30,2.73
2025-03-23,regular,Slovenia,Slovakia,1,0,2.53,2.70,3.25
2025-03-23,regular,Georgia,Armenia,6,1,1.41,4.58,7.25
2025-03-20,play_off,Croatia,France,2,0,4.33,3.40,1.90
2025-03-20,play_off,Denmark,Portugal,1,0,3.50,3.20,2.20
2025-03-20,play_off,Italy,Germany,1,2,2.70,3.10,2.70
2025-03-20,play_off,Netherlands,Spain,2,2,3.20,3.40,2.30
2025-03-20,regular,Austria,Serbia,1,1,1.67,3.60,5.50
2025-03-20,regular,Ukraine,Belgium,3,1,4.33,3.30,1.91
2025-03-20,regular,Greece,Scotland,0,1,1.91,3.40,4.20
2025-03-20,regular,Bulgaria,Ireland,1,2,3.60,2.88,2.30
2025-03-20,regular,Kosovo,Iceland,2,1,1.95,3.40,4.00
2025-03-20,regular,Slovakia,Slovenia,0,0,2.05,3.10,3.90
2025-03-20,regular,Turkey,Hungary,3,1,1.75,3.50,4.75
2025-03-20,regular,Armenia,Georgia,0,3,3.40,3.25,2.15
2024-11-19,regular,Bosnia & Herzegovina,Netherlands,1,1,8.00,5.38,1.33
2024-11-19,regular,Hungary,Germany,1,1,5.38,4.33,1.56
2024-11-19,regular,Albania,Ukraine,1,2,3.25,3.10,2.23
2024-11-19,regular,Czech Republic,Georgia,2,1,2.03,3.25,3.58
2024-11-19,regular,Wales,Iceland,4,1,1.74,3.40,4.80
2024-11-19,regular,Montenegro,Turkey,3,1,5.88,4.27,1.51
2024-11-19,regular,Sweden,Azerbaijan,6,0,1.12,9.13,18.00
