date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-01,regular,FC Kharkiv,Livyi Bereg,1,0,2.63,3.11,2.72
2025-06-01,regular,Vorskla Poltava,Kudrivka,0,2,1.75,3.57,4.62
2025-05-29,regular,Livyi Bereg,FC Kharkiv,0,1,2.60,3.07,2.78
2025-05-29,regular,Kudrivka,Vorskla Poltava,1,2,4.56,3.10,1.91
2025-05-25,regular,Karpaty Lviv,FK Zorya Luhansk,1,3,1.65,3.81,4.92
2025-05-25,regular,Polissya Zhytomyr,Kryvbas,1,1,1.97,3.08,4.14
2025-05-25,regular,Veres-Rivne,LNZ Cherkasy,1,1,1.90,3.24,4.22
2025-05-24,regular,Dyn. Kyiv,Kolos Kovalivka,1,1,1.43,4.28,7.38
2025-05-24,regular,Rukh Lviv,Shakhtar Donetsk,1,1,5.71,4.38,1.50
2025-05-24,regular,Ch. Odesa,Oleksandriya,0,0,3.42,3.40,2.10
2025-05-23,regular,Inhulets,Vorskla Poltava,1,1,4.02,2.87,2.11
2025-05-23,regular,Obolon,Livyi Bereg,1,0,2.39,2.51,3.92
2025-05-18,regular,Ch. Odesa,Dyn. Kyiv,1,1,11.59,5.77,1.23
2025-05-18,regular,Inhulets,Shakhtar Donetsk,1,4,11.74,6.16,1.21
2025-05-18,regular,Livyi Bereg,Rukh Lviv,1,0,2.70,2.87,2.87
2025-05-18,regular,LNZ Cherkasy,Vorskla Poltava,0,0,2.46,2.76,3.31
2025-05-18,regular,Oleksandriya,Veres-Rivne,3,1,1.55,3.80,6.01
2025-05-17,regular,Kolos Kovalivka,Karpaty Lviv,2,1,3.04,3.00,2.44
2025-05-17,regular,Kryvbas,Obolon,1,0,1.70,3.29,5.57
2025-05-17,regular,FK Zorya Luhansk,Polissya Zhytomyr,0,1,4.39,3.37,1.82
2025-05-12,regular,Inhulets,Livyi Bereg,2,1,3.20,2.78,2.57
2025-05-11,regular,Karpaty Lviv,Oleksandriya,2,1,3.24,3.14,2.26
2025-05-11,regular,Kryvbas,Kolos Kovalivka,0,1,2.15,3.14,3.54
