date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2024-12-09,regular,Olympic,Metallurg Bekabad,1,2,2.93,2.99,2.40
2024-12-04,regular,Kokand 1912,Metallurg Bekabad,2,1,2.78,2.87,2.56
2024-12-04,regular,Shortan Guzor,Olympic,1,0,3.06,2.96,2.31
2024-11-30,regular,Navbahor Namangan,Andijan,3,3,1.59,3.87,5.00
2024-11-30,regular,Bunyodkor,Pakhtakor,2,0,2.76,3.33,2.30
2024-11-30,regular,Din. Samarkand,Sogdiana,1,0,5.02,3.92,1.60
2024-11-30,regular,Lok. Tashkent,Neftchi Fargona,2,3,3.38,3.20,2.05
2024-11-30,regular,Nasaf Qarshi,Metallurg Bekabad,1,2,1.69,3.35,4.83
2024-11-30,regular,OKMK,Qizilqum,1,0,1.62,3.86,4.69
2024-11-30,regular,Termez Surkhon,Olympic,3,0,2.25,3.14,3.01
2024-11-24,regular,Sogdiana,Lok. Tashkent,2,0,1.81,3.49,4.19
2024-11-24,regular,Metallurg Bekabad,Termez Surkhon,1,0,2.52,3.04,2.80
2024-11-23,regular,Andijan,Din. Samarkand,3,0,2.01,3.14,3.74
2024-11-23,regular,Olympic,Bunyodkor,0,1,2.83,3.29,2.35
2024-11-22,regular,Qizilqum,Navbahor Namangan,1,5,3.67,3.19,2.05
2024-11-22,regular,Neftchi Fargona,Nasaf Qarshi,2,0,3.29,2.93,2.31
2024-11-21,regular,Pakhtakor,OKMK,0,2,1.85,3.63,3.89
2024-11-10,regular,Andijan,Qizilqum,0,0,1.92,3.00,4.77
2024-11-09,regular,Termez Surkhon,Neftchi Fargona,0,0,3.21,3.15,2.25
2024-11-09,regular,Navbahor Namangan,Pakhtakor,5,2,2.26,3.21,3.06
2024-11-08,regular,Bunyodkor,Metallurg Bekabad,1,1,2.19,3.26,3.24
2024-11-07,regular,Din. Samarkand,Lok. Tashkent,1,2,1.94,3.41,3.71
2024-11-07,regular,OKMK,Olympic,2,2,1.57,3.94,4.94
2024-11-03,regular,Metallurg Bekabad,OKMK,1,1,3.49,3.26,2.07
2024-11-03,regular,Neftchi Fargona,Bunyodkor,2,1,1.94,3.24,4.10
2024-11-02,regular,Qizilqum,Din. Samarkand,1,2,2.48,3.21,2.80
2024-11-02,regular,Olympic,Navbahor Namangan,1,2,5.38,3.61,1.64
2024-11-01,regular,Sogdiana,Termez Surkhon,2,4,1.69,3.47,4.84
2024-11-01,regular,Lok. Tashkent,Nasaf Qarshi,0,1,4.05,3.24,1.91
2024-10-31,regular,Pakhtakor,Andijan,3,1,1.67,3.60,5.07
2024-10-28,regular,Din. Samarkand,Nasaf Qarshi,1,2,4.86,3.55,1.69
2024-10-28,regular,OKMK,Neftchi Fargona,1,2,2.17,3.09,3.46
2024-10-27,regular,Bunyodkor,Sogdiana,1,1,3.02,3.39,2.17
2024-10-26,regular,Andijan,Olympic,1,0,1.51,3.80,6.57
2024-10-26,regular,Qizilqum,Pakhtakor,2,0,3.99,3.29,1.91
2024-10-25,regular,Navbahor Namangan,Metallurg Bekabad,1,0,1.74,3.31,5.02
2024-10-25,regular,Termez Surkhon,Lok. Tashkent,2,1,2.92,3.12,2.42
2024-10-21,regular,Sogdiana,OKMK,1,1,2.29,3.36,2.82
2024-10-20,regular,Olympic,Qizilqum,1,0,3.56,3.09,2.11
2024-10-20,regular,Neftchi Fargona,Navbahor Namangan,2,2,2.80,2.84,2.74
2024-10-19,regular,Metallurg Bekabad,Andijan,0,0,2.54,3.07,2.83
2024-10-19,regular,Lok. Tashkent,Bunyodkor,2,3,1.91,3.33,3.96
2024-10-18,regular,Nasaf Qarshi,Termez Surkhon,1,1,1.22,5.52,14.27
2024-10-12,regular,Din. Samarkand,Navbahor Namangan,0,1,2.69,3.20,2.54
2024-10-06,regular,Pakhtakor,Din. Samarkand,4,2,1.63,4.07,4.60
2024-09-28,regular,Bunyodkor,Nasaf Qarshi,2,2,5.01,3.77,1.66
2024-09-27,regular,OKMK,Lok. Tashkent,1,0,1.84,3.55,3.96
2024-09-27,regular,Qizilqum,Metallurg Bekabad,1,0,2.37,2.98,3.11
2024-09-26,regular,Din. Samarkand,Termez Surkhon,3,0,1.93,3.37,3.81
2024-09-26,regular,Navbahor Namangan,Sogdiana,0,3,1.73,3.45,4.59
2024-09-25,regular,Andijan,Neftchi Fargona,0,0,2.86,2.74,2.78
2024-09-25,regular,Pakhtakor,Olympic,6,0,1.49,4.10,6.29
2024-09-23,regular,Nasaf Qarshi,OKMK,2,0,1.77,3.37,4.65
2024-09-22,regular,Termez Surkhon,Bunyodkor,0,1,1.98,3.43,3.71
2024-09-21,regular,Olympic,Din. Samarkand,0,3,2.32,3.09,3.10
2024-09-21,regular,Metallurg Bekabad,Pakhtakor,3,2,4.11,3.17,1.94
2024-09-20,regular,Sogdiana,Andijan,1,1,1.93,3.39,3.81
2024-09-20,regular,Lok. Tashkent,Navbahor Namangan,0,1,2.79,3.22,2.46
2024-09-19,regular,Neftchi Fargona,Qizilqum,2,2,1.82,3.12,4.79
2024-09-16,regular,OKMK,Termez Surkhon,1,0,1.68,3.74,4.69
2024-09-16,regular,Olympic,Metallurg Bekabad,1,1,2.42,2.98,3.04
2024-09-15,regular,Andijan,Lok. Tashkent,1,2,2.10,3.17,3.51
2024-09-14,regular,Din. Samarkand,Bunyodkor,2,3,1.79,3.56,4.21
2024-09-14,regular,Navbahor Namangan,Nasaf Qarshi,0,1,2.89,2.83,2.64
2024-09-13,regular,Pakhtakor,Neftchi Fargona,0,0,1.80,3.30,4.59
2024-09-13,regular,Qizilqum,Sogdiana,1,1,3.08,3.04,2.31
2024-08-27,regular,Bunyodkor,OKMK,0,1,3.29,3.28,2.16
2024-08-26,regular,Termez Surkhon,Navbahor Namangan,0,1,4.60,3.34,1.79
2024-08-26,regular,Sogdiana,Pakhtakor,0,1,2.64,3.04,2.64
2024-08-25,regular,Nasaf Qarshi,Andijan,3,0,1.42,4.18,7.49
2024-08-25,regular,Lok. Tashkent,Qizilqum,4,2,2.10,3.11,3.46
2024-08-24,regular,Neftchi Fargona,Olympic,3,0,1.65,3.47,5.47
2024-08-23,regular,Metallurg Bekabad,Din. Samarkand,0,1,2.36,3.10,3.02
2024-08-22,regular,Pakhtakor,Termez Surkhon,0,1,1.52,3.98,5.47
2024-08-20,regular,Olympic,Nasaf Qarshi,0,2,4.10,3.23,1.91
2024-08-20,regular,Neftchi Fargona,Sogdiana,0,3,2.17,3.05,3.43
2024-08-19,regular,Navbahor Namangan,Bunyodkor,2,2,1.40,4.35,7.78
2024-08-18,regular,Pakhtakor,Lok. Tashkent,3,1,1.59,3.84,5.29
2024-08-18,regular,Andijan,Termez Surkhon,2,3,1.80,3.31,4.52
2024-08-16,regular,Qizilqum,Nasaf Qarshi,0,1,5.28,3.24,1.73
2024-08-16,regular,Din. Samarkand,OKMK,3,2,3.12,3.33,2.20
2024-08-15,regular,Olympic,Sogdiana,0,1,3.07,2.99,2.35
2024-08-15,regular,Metallurg Bekabad,Neftchi Fargona,0,0,3.26,2.95,2.33
2024-08-12,regular,Termez Surkhon,Qizilqum,1,0,2.27,3.11,3.19
2024-08-12,regular,OKMK,Navbahor Namangan,2,1,2.74,3.06,2.59
2024-08-11,regular,Bunyodkor,Andijan,2,0,3.50,3.16,2.09
2024-08-11,regular,Sogdiana,Metallurg Bekabad,2,2,1.83,3.33,4.12
2024-08-10,regular,Nasaf Qarshi,Pakhtakor,1,0,1.83,3.38,4.24
2024-08-10,regular,Neftchi Fargona,Din. Samarkand,3,2,1.74,3.38,4.78
2024-08-09,regular,Lok. Tashkent,Olympic,1,1,2.21,3.30,3.17
2024-08-04,regular,Metallurg Bekabad,Lok. Tashkent,1,1,2.25,3.08,3.26
2024-08-03,regular,Andijan,OKMK,2,3,2.69,3.14,2.58
2024-08-02,regular,Qizilqum,Bunyodkor,1,0,1.97,3.22,3.93
2024-07-01,regular,Neftchi Fargona,Pakhtakor,0,2,2.25,3.07,3.27
2024-06-30,regular,Metallurg Bekabad,Olympic,1,4,2.03,3.01,3.99
2024-06-30,regular,Nasaf Qarshi,Navbahor Namangan,3,2,2.02,2.99,4.05
2024-06-28,regular,Sogdiana,Din. Samarkand,4,2,1.67,3.56,5.00
2024-06-28,regular,Qizilqum,OKMK,1,0,3.97,3.38,1.90
2024-06-27,regular,Pakhtakor,Bunyodkor,1,0,1.41,4.43,6.94
2024-06-27,regular,Neftchi Fargona,Lok. Tashkent,1,1,1.54,3.80,6.19
2024-06-26,regular,Andijan,Navbahor Namangan,3,0,4.90,3.31,1.77
2024-06-26,regular,Metallurg Bekabad,Nasaf Qarshi,0,0,4.61,3.27,1.81
2024-06-25,regular,Olympic,Termez Surkhon,2,0,1.90,3.37,3.95
2024-06-22,regular,Din. Samarkand,Andijan,1,1,2.03,3.25,3.65
2024-06-22,regular,Lok. Tashkent,Sogdiana,1,2,3.17,3.17,2.20
2024-06-21,regular,Bunyodkor,Olympic,1,1,2.96,3.12,2.41
2024-06-21,regular,OKMK,Pakhtakor,4,2,2.49,3.20,2.76
2024-06-20,regular,Nasaf Qarshi,Neftchi Fargona,1,0,1.84,3.14,4.71
2024-06-20,regular,Navbahor Namangan,Qizilqum,0,0,1.38,4.46,7.78
2024-06-19,regular,Termez Surkhon,Metallurg Bekabad,2,1,2.26,3.04,3.16
2024-06-17,regular,Lok. Tashkent,Din. Samarkand,0,2,2.36,3.16,2.87
2024-06-17,regular,Olympic,OKMK,0,1,3.23,2.97,2.26
2024-06-16,regular,Sogdiana,Nasaf Qarshi,1,0,3.61,3.50,1.91
2024-06-16,regular,Pakhtakor,Navbahor Namangan,0,0,3.17,3.34,2.17
2024-06-15,regular,Qizilqum,Andijan,3,3,2.23,3.07,3.41
2024-06-15,regular,Neftchi Fargona,Termez Surkhon,1,1,1.53,3.78,6.45
2024-06-14,regular,Metallurg Bekabad,Bunyodkor,0,0,1.67,3.44,5.21
2024-06-13,regular,Din. Samarkand,Olympic,0,1,2.22,3.08,3.33
2024-06-02,regular,Nasaf Qarshi,Lok. Tashkent,3,0,1.44,4.14,7.75
2024-06-02,regular,Andijan,Pakhtakor,1,3,2.20,3.17,3.25
2024-06-01,regular,Bunyodkor,Neftchi Fargona,0,3,4.28,3.38,1.84
2024-05-31,regular,OKMK,Metallurg Bekabad,1,0,1.93,3.50,3.66
2024-05-31,regular,Termez Surkhon,Sogdiana,1,0,3.85,3.46,1.86
2024-05-30,regular,Navbahor Namangan,Olympic,0,0,1.41,4.26,7.58
2024-05-30,regular,Din. Samarkand,Qizilqum,2,0,2.17,3.14,3.20
2024-05-27,regular,Lok. Tashkent,Termez Surkhon,1,1,2.13,2.98,3.68
2024-05-26,regular,Sogdiana,Bunyodkor,4,0,1.75,3.60,4.41
2024-05-26,regular,Neftchi Fargona,OKMK,1,0,2.11,3.14,3.53
2024-05-25,regular,Nasaf Qarshi,Din. Samarkand,1,1,1.68,3.36,5.08
2024-05-25,regular,Pakhtakor,Qizilqum,1,1,1.64,3.83,4.88
2024-05-24,regular,Olympic,Andijan,0,0,2.85,3.12,2.51
