date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-11,play_off,Salzburg,Klagenfurt,4,0,1.91,3.95,3.35
2025-04-08,play_off,Klagenfurt,Salzburg,1,3,2.20,4.00,2.65
2025-04-06,play_off,Salzburg,Klagenfurt,4,0,2.19,4.15,2.63
2025-04-04,play_off,Klagenfurt,Salzburg,1,2,2.22,4.15,2.60
2025-04-01,play_off,Klagenfurt,Black Wings Linz,2,0,1.69,4.31,3.93
2025-03-30,play_off,Black Wings Linz,Klagenfurt,2,0,2.60,4.15,2.20
2025-03-28,play_off,Klagenfurt,Black Wings Linz,5,3,1.66,4.42,4.00
2025-03-28,play_off,Salzburg,Bolzano,4,2,1.83,4.20,3.40
2025-03-25,play_off,Bolzano,Salzburg,2,3,2.35,4.05,2.47
2025-03-25,play_off,Black Wings Linz,Klagenfurt,3,1,2.65,4.15,2.17
2025-03-23,play_off,Klagenfurt,Black Wings Linz,5,2,1.65,4.45,4.05
2025-03-23,play_off,Salzburg,Bolzano,2,3,1.86,4.20,3.30
2025-03-21,play_off,Bolzano,Salzburg,2,3,2.45,3.85,2.43
2025-03-21,play_off,Black Wings Linz,Klagenfurt,2,4,2.55,4.15,2.25
2025-03-18,play_off,Salzburg,Bolzano,3,1,1.93,4.10,3.18
2025-03-18,play_off,Klagenfurt,Black Wings Linz,2,3,1.57,4.75,4.35
2025-03-16,play_off,Black Wings Linz,Graz99ers,3,2,2.25,4.05,2.55
2025-03-14,play_off,Val Pusteria,Klagenfurt,1,3,3.60,4.28,1.77
2025-03-14,play_off,Graz99ers,Black Wings Linz,3,4,1.90,4.05,3.25
2025-03-14,play_off,Villach,Bolzano,2,4,2.15,4.28,2.65
2025-03-11,play_off,Bolzano,Villach,6,1,2.03,4.20,2.88
2025-03-11,play_off,Black Wings Linz,Graz99ers,2,1,2.25,4.05,2.58
2025-03-11,play_off,Klagenfurt,Val Pusteria,2,4,1.33,5.88,6.50
2025-03-09,play_off,Val Pusteria,Klagenfurt,1,4,3.35,4.54,1.79
2025-03-09,play_off,Villach,Bolzano,5,3,2.05,4.30,2.80
2025-03-09,play_off,Fehervar AV19,Salzburg,3,6,2.80,4.15,2.08
2025-03-08,play_off,Graz99ers,Black Wings Linz,5,4,2.00,4.00,3.10
2025-03-07,play_off,Bolzano,Villach,3,1,1.96,4.20,3.05
2025-03-07,play_off,Salzburg,Fehervar AV19,2,0,1.62,4.50,4.27
2025-03-07,play_off,Klagenfurt,Val Pusteria,6,2,1.41,5.13,5.75
2025-03-06,play_off,Black Wings Linz,Graz99ers,3,2,2.38,4.31,2.33
2025-03-04,play_off,Val Pusteria,Klagenfurt,3,0,3.45,4.45,1.78
2025-03-04,play_off,Villach,Bolzano,4,3,2.13,4.15,2.75
2025-03-04,play_off,Fehervar AV19,Salzburg,0,1,2.55,4.15,2.25
2025-03-04,play_off,Graz99ers,Black Wings Linz,3,2,2.10,4.23,2.75
2025-03-02,play_off,Bolzano,Villach,4,1,1.85,4.50,3.10
2025-03-02,play_off,Black Wings Linz,Graz99ers,6,9,2.03,4.15,2.95
2025-03-02,play_off,Klagenfurt,Val Pusteria,4,0,1.43,5.00,5.50
2025-03-02,play_off,Salzburg,Fehervar AV19,3,2,1.53,5.00,4.20
2025-02-28,play_off,Fehervar AV19,Vienna Capitals,3,2,1.78,4.25,3.65
2025-02-25,play_off,Val Pusteria,HK Olimpija,2,0,2.50,4.23,2.25
2025-02-25,play_off,Vienna Capitals,Fehervar AV19,1,0,2.65,4.28,2.14
2025-02-23,play_off,HK Olimpija,Val Pusteria,1,2,1.91,4.35,3.05
2025-02-23,play_off,Fehervar AV19,Vienna Capitals,2,1,1.77,4.25,3.60
2025-02-21,regular,Villach,Asiago,8,3,1.04,13.25,22.00
2025-02-21,regular,Black Wings Linz,Vorarlberg,4,1,1.15,8.50,10.00
2025-02-21,regular,Bolzano,TWK Innsbruck,9,2,1.03,14.75,25.50
2025-02-21,regular,Fehervar AV19,Salzburg,3,4,2.55,3.90,2.28
2025-02-21,regular,Vienna Capitals,HK Olimpija,1,6,2.00,4.50,2.78
2025-02-21,regular,Klagenfurt,Val Pusteria,2,0,1.35,6.38,5.63
