date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-29,play_off,Pardubice,Kometa Brno,0,3,1.90,4.01,3.42
2025-04-27,play_off,Kometa Brno,Pardubice,1,5,2.57,3.91,2.37
2025-04-25,play_off,Pardubice,Kometa Brno,2,4,1.78,4.23,3.67
2025-04-22,play_off,Kometa Brno,Pardubice,7,4,2.74,3.86,2.26
2025-04-21,play_off,Kometa Brno,Pardubice,1,4,2.47,3.96,2.42
2025-04-21,regular,Jihlava,Olomouc,0,3,5.00,4.84,1.50
2025-04-20,regular,Jihlava,Olomouc,1,2,5.23,4.90,1.47
2025-04-18,play_off,Pardubice,Kometa Brno,2,1,1.74,4.24,3.82
2025-04-17,play_off,Pardubice,Kometa Brno,1,2,1.86,4.16,3.44
2025-04-17,regular,Olomouc,Jihlava,6,0,1.58,4.63,4.55
2025-04-16,regular,Olomouc,Jihlava,2,1,1.54,4.73,4.75
2025-04-13,play_off,Sparta Prague,Kometa Brno,1,3,1.61,4.48,4.39
2025-04-11,play_off,Kometa Brno,Sparta Prague,0,3,2.98,4.04,2.06
2025-04-10,play_off,Mountfield HK,Pardubice,1,5,2.64,3.98,2.27
2025-04-09,play_off,Sparta Prague,Kometa Brno,3,4,1.54,4.67,4.84
2025-04-08,play_off,Pardubice,Mountfield HK,2,0,1.79,4.20,3.67
2025-04-07,play_off,Pardubice,Mountfield HK,4,0,1.84,4.11,3.53
2025-04-06,play_off,Kometa Brno,Sparta Prague,0,1,2.94,3.98,2.08
2025-04-05,play_off,Kometa Brno,Sparta Prague,3,0,3.34,4.05,1.91
2025-04-04,play_off,Mountfield HK,Pardubice,3,2,2.57,4.06,2.29
2025-04-03,play_off,Mountfield HK,Pardubice,2,4,2.63,4.03,2.26
2025-04-02,play_off,Sparta Prague,Kometa Brno,3,0,1.49,4.81,5.13
2025-04-01,play_off,Sparta Prague,Kometa Brno,2,3,1.55,4.72,4.67
2025-03-28,play_off,Mountfield HK,Mlada Boleslav,3,0,1.85,4.21,3.41
2025-03-27,play_off,Karlovy Vary,Kometa Brno,0,1,2.19,4.00,2.75
