date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-25,play_off,Herning Blue Fox,Odense Bulldogs,1,2,1.75,4.50,3.40
2025-04-23,play_off,Odense Bulldogs,Herning Blue Fox,3,1,3.10,4.20,1.91
2025-04-22,play_off,Herning Blue Fox,Odense Bulldogs,2,4,1.50,5.00,4.50
2025-04-11,play_off,Odense Bulldogs,Rungsted,4,1,1.80,4.00,3.50
2025-04-11,play_off,Herning Blue Fox,Aalborg,3,4,1.46,4.75,5.00
2025-04-08,play_off,Aalborg,Herning Blue Fox,2,4,3.20,4.50,1.80
2025-04-08,play_off,Rungsted,Odense Bulldogs,5,6,2.30,4.20,2.40
2025-04-06,play_off,Herning Blue Fox,Aalborg,3,4,1.36,5.75,5.75
2025-04-06,play_off,Odense Bulldogs,Rungsted,3,1,1.90,4.00,3.20
2025-04-04,play_off,Rungsted,Odense Bulldogs,1,4,2.11,3.80,2.80
2025-04-04,play_off,Aalborg,Herning Blue Fox,2,6,2.75,4.20,2.05
2025-04-01,play_off,Herning Blue Fox,Aalborg,4,0,1.56,4.30,4.75
2025-04-01,play_off,Odense Bulldogs,Rungsted,3,7,1.75,4.30,3.50
2025-03-28,play_off,Odense Bulldogs,Sonderjyske Ishockey,5,2,1.80,4.20,3.50
2025-03-25,play_off,Sonderjyske Ishockey,Odense Bulldogs,1,0,2.25,4.00,2.55
2025-03-23,play_off,Rungsted,Frederikshavn,2,1,1.65,4.50,3.80
2025-03-23,play_off,Odense Bulldogs,Sonderjyske Ishockey,3,0,1.83,4.50,3.10
2025-03-21,play_off,Esbjerg,Aalborg,0,5,2.50,4.00,2.25
2025-03-21,play_off,Herlev,Herning Blue Fox,1,2,5.50,5.25,1.40
2025-03-21,play_off,Frederikshavn,Rungsted,5,2,2.50,4.20,2.20
2025-03-21,play_off,Sonderjyske Ishockey,Odense Bulldogs,1,3,2.25,4.30,2.40
2025-03-18,play_off,Rungsted,Frederikshavn,4,1,1.87,4.20,3.20
2025-03-18,play_off,Odense Bulldogs,Sonderjyske Ishockey,2,4,1.80,4.30,3.30
2025-03-18,play_off,Aalborg,Esbjerg,3,2,1.56,4.75,4.20
2025-03-18,play_off,Herning Blue Fox,Herlev,6,0,1.18,7.50,9.00
2025-03-16,play_off,Frederikshavn,Rungsted,2,5,2.15,4.20,2.60
2025-03-16,play_off,Esbjerg,Aalborg,2,4,2.30,4.00,2.45
2025-03-16,play_off,Herlev,Herning Blue Fox,0,5,4.50,4.75,1.50
2025-03-16,play_off,Sonderjyske Ishockey,Odense Bulldogs,5,4,2.11,4.20,2.65
2025-03-14,play_off,Aalborg,Esbjerg,6,1,1.95,4.00,3.00
2025-03-14,play_off,Herning Blue Fox,Herlev,9,2,1.33,6.00,6.00
2025-03-14,play_off,Rungsted,Frederikshavn,3,0,1.91,4.30,3.00
2025-03-14,play_off,Odense Bulldogs,Sonderjyske Ishockey,7,5,2.05,4.30,2.70
2025-03-09,regular,Aalborg,Rodovre Mighty Bulls,6,1,1.02,14.50,29.00
2025-03-09,regular,Herlev,Esbjerg,0,2,2.45,4.23,2.28
2025-03-09,regular,Frederikshavn,Odense Bulldogs,5,3,2.65,4.23,2.13
2025-03-09,regular,Herning Blue Fox,Rungsted,4,0,1.36,5.88,6.00
2025-03-07,regular,Esbjerg,Herning Blue Fox,2,1,3.05,4.20,1.90
2025-03-07,regular,Herlev,Frederikshavn,3,6,2.00,4.23,2.85
2025-03-07,regular,Sonderjyske Ishockey,Odense Bulldogs,1,3,2.21,4.15,2.53
2025-03-07,regular,Rodovre Mighty Bulls,Rungsted,2,7,24.50,13.25,1.04
2025-03-05,regular,Rodovre Mighty Bulls,Sonderjyske Ishockey,1,7,17.00,11.00,1.05
2025-03-04,regular,Odense Bulldogs,Aalborg,4,2,2.00,3.85,3.10
2025-03-04,regular,Herning Blue Fox,Herlev,4,1,1.53,4.88,4.54
2025-03-03,regular,Rungsted,Esbjerg,3,4,2.20,4.00,2.55
2025-03-02,regular,Frederikshavn,Herning Blue Fox,4,1,3.60,4.75,1.67
2025-02-28,regular,Aalborg,Frederikshavn,2,3,1.62,4.50,4.05
2025-02-28,regular,Herlev,Rungsted,5,0,2.45,4.15,2.30
2025-02-28,regular,Esbjerg,Sonderjyske Ishockey,2,5,2.20,4.42,2.48
2025-02-28,regular,Odense Bulldogs,Rodovre Mighty Bulls,5,1,1.02,13.00,22.50
2025-02-26,regular,Sonderjyske Ishockey,Herlev,7,4,1.93,4.55,2.90
2025-02-26,regular,Rungsted,Odense Bulldogs,2,4,1.88,4.28,3.15
2025-02-25,regular,Esbjerg,Aalborg,1,4,2.25,4.10,2.55
2025-02-25,regular,Herning Blue Fox,Frederikshavn,7,3,1.46,4.88,5.13
2025-02-23,regular,Herning Blue Fox,Rodovre Mighty Bulls,8,1,1.01,16.25,35.50
2025-02-23,regular,Sonderjyske Ishockey,Rungsted,2,5,2.11,4.15,2.70
2025-02-23,regular,Herlev,Aalborg,7,2,3.20,4.15,1.89
2025-02-21,regular,Aalborg,Herning Blue Fox,3,2,2.05,4.31,2.73
2025-02-21,regular,Frederikshavn,Sonderjyske Ishockey,5,1,2.58,4.00,2.25
2025-02-21,regular,Rodovre Mighty Bulls,Herlev,0,5,8.13,7.38,1.19
2025-02-21,regular,Odense Bulldogs,Esbjerg,2,1,2.00,4.55,2.73
2025-02-19,regular,Rungsted,Frederikshavn,4,3,1.73,4.20,3.73
2025-02-18,regular,Herning Blue Fox,Odense Bulldogs,3,4,1.49,5.00,4.65
2025-02-17,regular,Aalborg,Sonderjyske Ishockey,4,2,1.83,4.28,3.45
2025-02-17,regular,Rodovre Mighty Bulls,Esbjerg,1,8,11.25,8.75,1.14
2025-02-16,regular,Frederikshavn,Herlev,4,1,1.93,4.25,3.00
2025-02-14,regular,Herning Blue Fox,Aalborg,4,1,1.78,4.42,3.35
2025-02-14,regular,Rungsted,Herlev,4,0,1.69,4.75,3.60
2025-02-14,regular,Esbjerg,Odense Bulldogs,3,2,2.33,4.00,2.48
2025-02-14,regular,Sonderjyske Ishockey,Rodovre Mighty Bulls,7,0,1.17,8.25,9.75
2025-02-12,regular,Sonderjyske Ishockey,Aalborg,3,2,2.45,4.15,2.30
2025-02-11,regular,Odense Bulldogs,Rungsted,2,3,2.20,4.00,2.63
2025-02-10,regular,Esbjerg,Rodovre Mighty Bulls,6,2,1.38,5.50,5.63
2025-02-04,regular,Rungsted,Aalborg,5,2,2.45,4.20,2.28
2025-02-04,regular,Rodovre Mighty Bulls,Frederikshavn,5,4,4.75,4.75,1.49
2025-02-04,regular,Odense Bulldogs,Herlev,2,1,1.75,4.45,3.45
2025-02-04,regular,Sonderjyske Ishockey,Herning Blue Fox,2,8,3.10,4.42,1.87
2025-02-02,regular,Rungsted,Herning Blue Fox,2,1,2.55,4.30,2.18
2025-01-31,regular,Rodovre Mighty Bulls,Frederikshavn,1,4,4.20,4.68,1.59
2025-01-31,regular,Aalborg,Esbjerg,5,2,1.70,4.63,3.55
2025-01-31,regular,Herning Blue Fox,Sonderjyske Ishockey,4,5,1.49,4.88,4.88
2025-01-31,regular,Odense Bulldogs,Herlev,5,1,1.89,4.10,3.25
2025-01-29,regular,Sonderjyske Ishockey,Frederikshavn,5,0,1.61,4.63,4.10
2025-01-29,regular,Herlev,Herning Blue Fox,1,4,4.42,4.88,1.53
2025-01-28,regular,Aalborg,Odense Bulldogs,2,3,1.87,4.31,3.15
2025-01-28,regular,Esbjerg,Rungsted,3,0,2.20,4.35,2.50
2025-01-26,regular,Rodovre Mighty Bulls,Odense Bulldogs,4,7,4.38,5.13,1.52
2025-01-26,regular,Esbjerg,Herlev,3,0,2.00,4.25,2.85
2025-01-24,regular,Rodovre Mighty Bulls,Aalborg,0,6,5.25,6.00,1.38
2025-01-24,regular,Frederikshavn,Rungsted,0,2,2.38,4.00,2.43
2025-01-24,regular,Herning Blue Fox,Herlev,5,1,1.36,5.38,6.00
2025-01-24,regular,Odense Bulldogs,Sonderjyske Ishockey,4,2,2.10,4.25,2.70
2025-01-22,regular,Herlev,Sonderjyske Ishockey,2,3,2.43,3.80,2.43
2025-01-21,regular,Frederikshavn,Esbjerg,4,3,1.91,4.05,3.15
2025-01-21,regular,Herning Blue Fox,Rungsted,3,4,1.44,5.50,4.75
2025-01-21,regular,Rodovre Mighty Bulls,Odense Bulldogs,4,3,5.38,5.13,1.41
2025-01-19,regular,Aalborg,Rungsted,4,1,1.56,4.55,4.55
2025-01-17,regular,Herlev,Esbjerg,3,4,2.25,4.10,2.50
2025-01-17,regular,Frederikshavn,Rodovre Mighty Bulls,6,2,1.31,6.00,6.75
2025-01-17,regular,Sonderjyske Ishockey,Herning Blue Fox,2,5,3.00,4.40,1.90
2025-01-17,regular,Rungsted,Aalborg,3,1,2.23,4.40,2.45
2025-01-15,regular,Aalborg,Herlev,7,3,1.65,4.40,3.90
2025-01-14,regular,Rungsted,Sonderjyske Ishockey,5,4,2.38,4.20,2.35
2025-01-14,regular,Esbjerg,Frederikshavn,4,0,1.82,4.27,3.30
2025-01-14,regular,Odense Bulldogs,Herning Blue Fox,2,3,3.40,4.31,1.78
2025-01-08,regular,Herning Blue Fox,Esbjerg,7,1,1.42,5.50,4.75
2025-01-07,regular,Odense Bulldogs,Rodovre Mighty Bulls,7,6,1.32,6.25,6.13
2025-01-05,regular,Rungsted,Rodovre Mighty Bulls,5,2,1.28,6.63,6.63
2025-01-05,regular,Frederikshavn,Esbjerg,1,5,1.93,4.35,3.00
2025-01-05,regular,Aalborg,Sonderjyske Ishockey,2,5,1.82,4.20,3.40
2025-01-05,regular,Herlev,Odense Bulldogs,3,4,2.22,4.31,2.50
