date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-24,play_off,Lausanne,Zurich,2,3,2.40,3.80,2.63
2025-04-22,play_off,Zurich,Lausanne,3,1,1.78,4.05,3.90
2025-04-19,play_off,Lausanne,Zurich,4,2,2.40,3.80,2.55
2025-04-17,play_off,Zurich,Lausanne,3,2,1.80,4.33,3.50
2025-04-15,play_off,Lausanne,Zurich,0,3,2.20,3.80,2.80
2025-04-12,play_off,Lausanne,Fribourg,5,1,1.90,3.90,3.50
2025-04-10,play_off,Davos,Zurich,4,6,2.35,3.90,2.58
2025-04-10,play_off,Fribourg,Lausanne,1,4,2.00,3.95,3.20
2025-04-10,regular,Ajoie,Visp,5,1,1.49,5.00,5.13
2025-04-08,play_off,Zurich,Davos,3,0,1.79,4.23,3.65
2025-04-08,play_off,Lausanne,Fribourg,2,1,2.05,3.95,3.10
2025-04-08,regular,Visp,Ajoie,0,3,2.60,3.95,2.33
2025-04-05,play_off,Davos,Zurich,3,1,2.57,3.90,2.38
2025-04-05,play_off,Fribourg,Lausanne,4,3,1.96,3.95,3.30
2025-04-05,regular,Ajoie,Visp,3,2,1.61,4.63,4.27
2025-04-03,play_off,Zurich,Davos,5,1,1.79,4.25,3.65
2025-04-03,play_off,Lausanne,Fribourg,2,3,1.93,4.05,3.30
2025-04-03,regular,Visp,Ajoie,4,5,3.28,4.25,1.90
2025-04-01,play_off,Davos,Zurich,4,3,2.53,4.00,2.38
2025-04-01,play_off,Fribourg,Lausanne,0,1,2.05,3.85,3.15
2025-04-01,regular,Ajoie,Visp,2,3,1.23,6.63,9.88
2025-03-29,play_off,Zurich,Davos,6,1,1.79,4.20,3.68
2025-03-29,play_off,Lausanne,Fribourg,2,3,1.96,4.10,3.20
2025-03-26,play_off,Bern,Fribourg,1,4,2.03,3.80,3.20
2025-03-25,play_off,Lausanne,Langnau Tigers,6,2,1.69,4.25,4.20
2025-03-25,play_off,Ajoie,Lugano,1,2,3.10,4.25,1.96
2025-03-24,play_off,Fribourg,Bern,3,4,2.10,4.00,2.93
2025-03-23,play_off,Langnau Tigers,Lausanne,3,2,2.59,3.85,2.35
2025-03-23,play_off,Lugano,Ajoie,3,0,1.43,4.88,5.75
2025-03-22,play_off,Bern,Fribourg,3,2,1.98,4.10,3.18
2025-03-21,play_off,Zurich,EHC Kloten,5,2,1.48,4.88,5.38
2025-03-21,play_off,Lausanne,Langnau Tigers,4,1,1.65,4.31,4.38
2025-03-21,play_off,Ajoie,Lugano,3,4,3.20,4.15,1.95
2025-03-20,play_off,Fribourg,Bern,2,1,1.99,4.15,3.10
2025-03-20,play_off,Davos,Zug,5,2,2.00,4.20,3.00
2025-03-19,play_off,EHC Kloten,Zurich,2,1,3.40,4.15,1.87
2025-03-19,play_off,Langnau Tigers,Lausanne,3,2,2.50,3.80,2.45
2025-03-19,play_off,Lugano,Ajoie,2,1,1.43,5.38,5.63
2025-03-18,play_off,Bern,Fribourg,3,2,1.95,4.05,3.20
2025-03-18,play_off,Zug,Davos,0,4,1.99,4.00,3.15
2025-03-17,play_off,Zurich,EHC Kloten,1,0,1.49,5.00,5.13
2025-03-17,play_off,Lausanne,Langnau Tigers,4,2,1.69,4.25,4.15
2025-03-17,play_off,Ajoie,Lugano,3,1,3.45,4.50,1.81
2025-03-16,play_off,Fribourg,Bern,3,0,2.11,4.20,2.83
2025-03-16,play_off,Davos,Zug,5,1,2.18,4.15,2.72
2025-03-15,play_off,EHC Kloten,Zurich,0,5,3.25,4.35,1.90
2025-03-15,play_off,Langnau Tigers,Lausanne,4,3,2.65,4.10,2.25
2025-03-15,play_off,Lugano,Ajoie,3,4,1.39,5.63,5.88
2025-03-14,play_off,Bern,Fribourg,3,4,1.97,4.15,3.15
2025-03-14,play_off,Zug,Davos,1,2,1.96,4.15,3.20
2025-03-13,play_off,Zurich,EHC Kloten,5,1,1.60,4.68,4.45
2025-03-13,play_off,Lausanne,Langnau Tigers,4,3,1.69,4.45,4.05
2025-03-10,play_off,EHC Kloten,Ambri-Piotta,5,4,2.25,4.20,2.60
2025-03-08,play_off,Ambri-Piotta,EHC Kloten,4,5,1.95,4.00,3.25
2025-03-06,play_off,Rapperswil-Jona,Ambri-Piotta,3,3,1.91,4.75,2.95
2025-03-06,play_off,EHC Kloten,Langnau Tigers,2,1,2.30,4.50,2.40
2025-03-04,play_off,Ambri-Piotta,Rapperswil-Jona,2,1,2.05,4.10,2.95
2025-03-04,play_off,Langnau Tigers,EHC Kloten,3,1,2.05,3.90,3.10
2025-03-01,regular,Langnau Tigers,Ajoie,5,1,1.32,6.50,6.63
2025-03-01,regular,Fribourg,Ambri-Piotta,4,1,1.69,4.31,4.06
2025-03-01,regular,Bern,Servette,5,1,1.76,4.45,3.65
2025-03-01,regular,Lugano,Biel,4,2,2.55,4.27,2.25
2025-03-01,regular,Rapperswil-Jona,Davos,2,1,2.01,4.30,2.95
2025-03-01,regular,Zurich,EHC Kloten,4,2,1.61,4.42,4.55
2025-03-01,regular,Zug,Lausanne,4,1,1.96,4.20,3.10
2025-02-27,regular,Ajoie,Rapperswil-Jona,4,5,3.95,4.75,1.66
2025-02-27,regular,Ambri-Piotta,Bern,4,1,2.63,3.95,2.30
2025-02-27,regular,Biel,Langnau Tigers,4,3,2.14,3.95,2.90
2025-02-27,regular,Davos,Zurich,4,2,2.55,4.00,2.35
2025-02-27,regular,Lausanne,Fribourg,0,2,2.18,3.85,2.88
2025-02-27,regular,EHC Kloten,Zug,3,2,2.80,3.95,2.20
2025-02-27,regular,Servette,Lugano,3,2,1.90,4.55,3.10
2025-02-25,regular,Fribourg,Biel,3,4,1.87,4.10,3.50
2025-02-25,regular,Zurich,Davos,3,5,1.90,3.98,3.50
2025-02-25,regular,Servette,Zug,3,2,2.58,4.10,2.30
2025-02-23,regular,Lugano,Ajoie,2,0,1.39,5.63,5.88
2025-02-23,regular,EHC Kloten,Rapperswil-Jona,3,2,2.17,4.15,2.73
2025-02-23,regular,Zurich,Langnau Tigers,3,2,1.64,4.58,4.20
2025-02-22,regular,Ambri-Piotta,Biel,5,2,1.95,4.15,3.20
2025-02-22,regular,Bern,Davos,4,0,1.85,4.28,3.40
2025-02-22,regular,Fribourg,Servette,1,4,1.84,4.20,3.50
2025-02-22,regular,Langnau Tigers,EHC Kloten,2,4,2.03,3.95,3.10
2025-02-22,regular,Rapperswil-Jona,Lausanne,3,1,2.10,4.20,2.80
2025-02-22,regular,Zug,Zurich,5,4,2.35,4.05,2.53
2025-02-21,regular,Ajoie,Bern,1,4,3.90,4.28,1.73
2025-02-21,regular,Servette,Ambri-Piotta,4,2,1.99,4.28,3.00
2025-02-21,regular,Biel,Zug,6,2,2.78,4.05,2.17
2025-02-21,regular,Davos,Fribourg,2,3,2.30,3.95,2.68
2025-02-21,regular,Lausanne,Lugano,4,3,1.76,4.35,3.70
2025-02-19,regular,Davos,Ambri-Piotta,0,2,1.90,4.20,3.30
2025-02-15,regular,Ambri-Piotta,Ajoie,5,4,1.53,4.80,4.88
2025-02-15,regular,Bern,EHC Kloten,3,4,1.60,4.50,4.50
2025-02-15,regular,Rapperswil-Jona,Biel,3,1,2.03,4.10,3.05
2025-02-15,regular,Fribourg,Lugano,2,3,1.82,4.28,3.55
2025-02-15,regular,Servette,Langnau Tigers,5,4,1.92,4.23,3.23
2025-02-15,regular,Lausanne,Zurich,3,4,2.22,4.05,2.70
2025-02-14,regular,Ajoie,Davos,2,5,3.55,4.55,1.78
2025-02-14,regular,Lugano,Bern,1,3,2.68,4.20,2.20
2025-02-14,regular,Biel,Servette,7,4,2.35,4.00,2.58
2025-02-14,regular,EHC Kloten,Lausanne,1,3,2.83,3.85,2.18
2025-02-14,regular,Langnau Tigers,Ambri-Piotta,3,1,2.03,3.90,3.10
2025-02-14,regular,Zurich,Fribourg,2,3,1.80,4.31,3.55
2025-02-14,regular,Zug,Rapperswil-Jona,6,1,1.77,4.54,3.60
2025-02-12,regular,Zurich,Ajoie,4,0,1.35,5.88,6.63
2025-02-11,regular,Biel,Zurich,4,3,3.10,3.95,2.03
2025-02-11,regular,Davos,Zug,4,5,2.35,4.00,2.55
2025-02-11,regular,Lausanne,Rapperswil-Jona,4,2,1.83,4.35,3.45
2025-02-11,regular,Servette,Lugano,5,2,2.15,4.20,2.75
2025-02-03,regular,Lugano,Zurich,2,1,2.95,4.28,2.03
2025-02-02,regular,Davos,Biel,3,2,1.89,4.20,3.35
2025-02-02,regular,Lugano,Langnau Tigers,1,3,1.98,4.20,3.10
2025-02-02,regular,Servette,Lausanne,1,0,2.03,4.23,2.93
2025-02-01,regular,Ajoie,Zug,2,1,4.68,5.13,1.53
2025-02-01,regular,Ambri-Piotta,EHC Kloten,3,1,1.79,4.50,3.45
2025-02-01,regular,Bern,Zurich,5,2,2.40,4.00,2.50
2025-02-01,regular,Fribourg,Rapperswil-Jona,3,2,1.73,4.15,4.00
2025-01-31,regular,Biel,Ajoie,3,4,1.46,5.13,5.38
2025-01-31,regular,Rapperswil-Jona,Ambri-Piotta,3,4,2.16,4.20,2.72
2025-01-31,regular,Langnau Tigers,Bern,6,2,2.65,4.00,2.25
2025-01-31,regular,Lausanne,Davos,3,0,1.77,4.42,3.65
2025-01-31,regular,EHC Kloten,Fribourg,0,3,2.95,4.10,2.08
