date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-03-02,regular,Machac T.,Davidovich Fokina A.,2,0,1.69,,2.19
2025-03-01,regular,Shapovalov D.,Davidovich Fokina A.,0,2,1.55,,2.43
2025-03-01,regular,Machac T.,Nakashima B.,2,1,1.53,,2.48
2025-02-28,regular,Davidovich Fokina A.,Pacheco Mendez R.,2,0,1.09,,7.38
2025-02-28,regular,Shapovalov D.,Giron M.,2,1,1.44,,2.73
2025-02-28,regular,Nakashima B.,Goffin D.,2,0,1.54,,2.45
2025-02-28,regular,Tien L.,Machac T.,0,2,2.48,,1.53
2025-02-27,regular,Tiafoe F.,Davidovich Fokina A.,1,2,1.87,,1.93
2025-02-27,regular,Pacheco Mendez R.,Ruud C.,,,11.50,,1.04
2025-02-27,regular,Zverev A.,Tien L.,0,2,1.23,,4.12
2025-02-27,regular,Rune H.,Nakashima B.,,,1.65,,2.23
2025-02-27,regular,Shapovalov D.,Michelsen A.,2,0,1.53,,2.48
2025-02-27,regular,Altmaier D.,Machac T.,0,2,3.68,,1.29
2025-02-27,regular,Goffin D.,Shelton B.,2,0,3.38,,1.32
2025-02-27,regular,Giron M.,Paul T.,,,3.15,,1.36
2025-02-26,regular,Tiafoe F.,Muller A.,2,0,1.30,,3.45
2025-02-26,regular,Michelsen A.,Bu Y.,2,1,1.40,,2.95
2025-02-26,regular,Shapovalov D.,Basavareddy N.,2,0,1.70,,2.14
2025-02-26,regular,Bonzi B.,Nakashima B.,0,2,2.73,,1.44
2025-02-26,regular,Zverev A.,Arnaldi M.,2,1,1.29,,3.68
2025-02-26,regular,Rune H.,Carballes Baena R.,2,0,1.33,,3.33
2025-02-26,regular,Davidovich Fokina A.,Bellucci M.,2,1,1.54,,2.45
2025-02-26,regular,Vukic A.,Pacheco Mendez R.,1,2,1.23,,4.12
2025-02-25,regular,Shapovalov D.,Norrie C.,,,,,
2025-02-25,regular,Diallo G.,Paul T.,0,2,3.38,,1.32
2025-02-25,regular,Tien L.,Norrie C.,2,0,1.99,,1.80
2025-02-25,regular,Goffin D.,Hijikata R.,2,0,1.66,,2.20
2025-02-25,regular,Giron M.,Walton A.,2,0,1.47,,2.65
2025-02-25,regular,Cobolli F.,Shelton B.,0,2,3.58,,1.30
2025-02-25,regular,Altmaier D.,Kecmanovic M.,2,1,2.65,,1.47
2025-02-25,regular,Mensik J.,Machac T.,1,2,2.18,,1.67
2025-02-25,regular,Rinderknech A.,Ruud C.,0,2,4.38,,1.21
2025-02-24,regular,Bellucci M.,Diallo G.,0,2,1.67,,2.10
2025-02-24,regular,Kozlov S.,Basavareddy N.,0,2,6.50,,1.09
2025-02-24,regular,Kovacevic A.,Walton A.,1,2,1.85,,1.90
2025-02-24,regular,Tien L.,Lajovic D.,2,0,1.34,,3.10
2025-02-23,regular,De Alba R.,Diallo G.,0,2,11.50,,1.02
2025-02-23,regular,Bellucci M.,Eubanks C.,2,0,1.60,,2.25
2025-02-23,regular,Basavareddy N.,Duckworth J.,2,0,1.40,,2.80
2025-02-23,regular,Kovacevic A.,Magadan A.,2,1,1.05,,8.50
2025-02-23,regular,Hijikata R.,Kozlov S.,,,,,
2025-02-23,regular,Tien L.,Gomez F. A.,2,0,1.16,,4.75
2025-02-23,regular,Popko D.,Lajovic D.,1,2,4.25,,1.20
2025-02-23,regular,Mannarino A.,Walton A.,0,2,2.60,,1.45
