date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-01-11,regular,Bergs Z.,Monfils G.,0,2,2.45,,1.55
2025-01-10,regular,Borges N.,Bergs Z.,1,2,1.91,,1.88
2025-01-10,regular,Monfils G.,Basavareddy N.,2,0,1.69,,2.15
2025-01-09,regular,Mensik J.,Borges N.,1,2,1.42,,2.80
2025-01-09,regular,Carballes Baena R.,Bergs Z.,1,2,2.25,,1.64
2025-01-09,regular,Monfils G.,Diaz Acosta F.,2,0,1.32,,3.38
2025-01-09,regular,Michelsen A.,Basavareddy N.,1,2,1.55,,2.43
2025-01-08,regular,Navone M.,Borges N.,1,2,,,
2025-01-08,regular,Shelton B.,Mensik J.,1,2,1.70,,2.10
2025-01-08,regular,Struff J-L.,Monfils G.,0,2,1.69,,2.15
2025-01-08,regular,Cerundolo F.,Carballes Baena R.,0,2,1.50,,2.63
2025-01-08,regular,Diaz Acosta F.,Baez S.,2,0,1.79,,2.00
2025-01-08,regular,Michelsen A.,Sonego L.,2,0,1.56,,2.39
2025-01-08,regular,Basavareddy N.,Tabilo A.,2,1,1.79,,2.00
2025-01-08,regular,Bergs Z.,Nardi L.,2,0,1.62,,2.28
2025-01-07,regular,Carreno-Busta P.,Mensik J.,1,2,3.90,,1.25
2025-01-07,regular,Muller A.,Mensik J.,,,,,
2025-01-07,regular,Basavareddy N.,Comesana F.,2,0,1.22,,4.22
2025-01-07,regular,Struff J-L.,Bu Y.,2,0,1.73,,2.08
2025-01-07,regular,Martinez P.,Monfils G.,1,2,3.85,,1.26
2025-01-07,regular,Norrie C.,Diaz Acosta F.,0,2,1.19,,4.42
2025-01-07,regular,Nardi L.,Cobolli F.,,,2.68,,1.46
2025-01-07,regular,Diallo G.,Sonego L.,1,2,1.82,,1.98
2025-01-07,regular,Navone M.,Mannarino A.,2,1,2.54,,1.52
2025-01-07,regular,Navone M.,Opelka R.,,,,,
2025-01-07,regular,Mpetshi Perricard G.,Bu Y.,,,,,
2025-01-06,regular,Michelsen A.,Nagal S.,2,1,1.18,,4.80
2025-01-06,regular,Bergs Z.,Becroft I.,2,0,1.02,,15.75
2025-01-06,regular,Carballes Baena R.,Altmaier D.,2,1,1.30,,3.45
2025-01-06,regular,Carballes Baena R.,Pouille L.,,,,,
2025-01-06,regular,Darderi L.,Borges N.,1,2,3.05,,1.38
2025-01-05,regular,Mannarino A.,Nagal S.,0,2,1.30,,3.30
2025-01-05,regular,Bergs Z.,Comesana F.,2,1,1.20,,4.20
2025-01-05,regular,Basavareddy N.,Altmaier D.,2,0,1.30,,3.30
2025-01-05,regular,Diaz Acosta F.,Nardi L.,1,2,2.40,,1.53
2025-01-04,regular,Bergs Z.,Carreno-Busta P.,2,1,1.95,,1.78
2025-01-04,regular,Janvier M.,Comesana F.,1,2,2.70,,1.42
2025-01-04,regular,Mannarino A.,Stricker D.,2,0,2.25,,1.60
2025-01-04,regular,Klintcharov A.,Nagal S.,1,2,7.00,,1.08
2025-01-04,regular,Diaz Acosta F.,Rai A.,2,0,1.30,,3.30
2025-01-04,regular,Masur D.,Nardi L.,1,2,3.50,,1.28
2025-01-04,regular,Van De Zandschulp B.,Basavareddy N.,1,2,2.20,,1.62
2025-01-04,regular,Broom C.,Altmaier D.,0,2,4.20,,1.20
