date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-20,regular,Alcaraz C.,Rune H.,0,2,1.20,,4.55
2025-04-19,regular,Alcaraz C.,Fils A.,2,0,1.29,,3.55
2025-04-19,regular,Khachanov K.,Rune H.,0,2,2.42,,1.55
2025-04-18,regular,Tsitsipas S.,Fils A.,,,1.99,,1.80
2025-04-18,regular,Alcaraz C.,De Minaur A.,2,0,1.21,,4.29
2025-04-18,regular,Rune H.,Ruud C.,2,0,2.37,,1.57
2025-04-18,regular,Khachanov K.,Davidovich Fokina A.,2,0,2.68,,1.46
2025-04-17,regular,Fearnley J.,De Minaur A.,0,2,8.00,,1.08
2025-04-17,regular,Alcaraz C.,Djere L.,2,0,1.08,,8.00
2025-04-17,regular,Davidovich Fokina A.,Rublev A.,2,0,1.99,,1.80
2025-04-17,regular,Munar J.,Khachanov K.,0,2,2.20,,1.66
2025-04-16,regular,Medjedovic H.,Ruud C.,0,2,3.15,,1.36
2025-04-16,regular,Tsitsipas S.,Korda S.,2,0,1.30,,3.45
2025-04-16,regular,Rune H.,Baez S.,2,1,1.67,,2.18
2025-04-16,regular,Martinez P.,Fils A.,0,2,4.35,,1.21
2025-04-15,regular,Wawrinka S.,Davidovich Fokina A.,0,2,4.00,,1.25
2025-04-15,regular,Khachanov K.,Norrie C.,2,1,1.55,,2.43
2025-04-15,regular,Alcaraz C.,Quinn E.,2,0,1.03,,13.75
2025-04-15,regular,Tiafoe F.,Munar J.,1,2,2.13,,1.70
2025-04-15,regular,Etcheverry T. M.,De Minaur A.,0,2,3.25,,1.35
2025-04-15,regular,Djere L.,Rinderknech A.,2,1,1.25,,3.90
2025-04-15,regular,Galan D. E.,Ruud C.,0,2,5.88,,1.13
2025-04-15,regular,Carreno-Busta P.,Fils A.,0,2,3.95,,1.25
2025-04-15,regular,Baez S.,Dzumhur D.,2,0,1.30,,3.45
2025-04-15,regular,Tsitsipas S.,Opelka R.,2,0,1.13,,6.00
2025-04-14,regular,De Jong J.,Rublev A.,0,2,3.15,,1.36
2025-04-14,regular,Rune H.,Ramos A.,2,0,1.13,,5.75
2025-04-14,regular,Medjedovic H.,Mpetshi Perricard G.,2,0,1.42,,2.83
2025-04-14,regular,Carballes Baena R.,Fearnley J.,0,2,1.21,,4.25
2025-04-14,regular,Arnaldi M.,Korda S.,1,2,1.78,,2.03
2025-04-14,regular,Carballes Baena R.,Thompson J.,,,1.43,,2.80
2025-04-14,regular,Martinez P.,Nakashima B.,2,1,2.15,,1.69
2025-04-14,regular,Machac T.,Tiafoe F.,,,,,
2025-04-14,regular,Musetti L.,Munar J.,,,,,
2025-04-13,regular,Coric B.,Quinn E.,1,2,1.24,,3.80
2025-04-13,regular,Medjedovic H.,Diallo G.,2,0,1.45,,2.60
2025-04-13,regular,Dzumhur D.,Norrie C.,0,2,2.25,,1.60
2025-04-13,regular,De Jong J.,Rinderknech A.,2,0,1.50,,2.45
2025-04-13,regular,Rincon D.,Djere L.,0,2,3.80,,1.24
2025-04-13,regular,Galan D. E.,Fearnley J.,2,0,1.57,,2.30
2025-04-12,regular,Kovalik J.,Rinderknech A.,1,2,2.25,,1.60
2025-04-12,regular,Quinn E.,Moutet C.,2,1,4.00,,1.22
2025-04-12,regular,Bellucci M.,Coric B.,0,2,2.70,,1.42
2025-04-12,regular,Harris L.,De Jong J.,0,2,4.50,,1.18
2025-04-12,regular,Medjedovic H.,Dellien H.,2,1,1.30,,3.30
2025-04-12,regular,Landaluce M.,Diallo G.,0,2,2.50,,1.50
2025-04-12,regular,Navone M.,De Jong J.,,,,,
2025-04-12,regular,Dzumhur D.,Alcala Gurri M.,2,0,1.14,,5.25
2025-04-12,regular,Norrie C.,Gaston H.,2,0,1.62,,2.20
2025-04-12,regular,Ugo Carabelli C.,Galan D. E.,,,1.53,,2.40
2025-04-12,regular,Bonzi B.,Rincon D.,0,2,1.55,,2.35
2025-04-12,regular,Borg L.,Fearnley J.,0,2,6.50,,1.09
2025-04-12,regular,Coria F.,Djere L.,,,3.30,,1.30
