date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-16,regular,Cerundolo F.,Fonseca J.,0,2,1.62,,2.30
2025-02-16,regular,Cerundolo F.,Martinez P.,2,0,1.30,,3.45
2025-02-15,regular,Djere L.,Fonseca J.,1,2,2.25,,1.64
2025-02-15,regular,Musetti L.,Martinez P.,,,,,
2025-02-15,regular,Zverev A.,Cerundolo F.,1,2,1.30,,3.50
2025-02-14,regular,Fonseca J.,Navone M.,2,1,1.56,,2.39
2025-02-14,regular,Seyboth Wild T.,Djere L.,0,2,2.10,,1.73
2025-02-14,regular,Musetti L.,Moutet C.,2,0,1.32,,3.38
2025-02-14,regular,Navone M.,Rune H.,2,0,2.39,,1.56
2025-02-13,regular,Martinez P.,Schwartzman D.,2,0,1.38,,3.05
2025-02-13,regular,Fonseca J.,Coria F.,2,1,1.14,,5.63
2025-02-13,regular,Cerundolo J. M.,Cerundolo F.,0,2,4.63,,1.19
2025-02-13,regular,Baez S.,Seyboth Wild T.,0,2,1.49,,2.62
2025-02-13,regular,Zverev A.,Lajovic D.,2,0,1.11,,6.63
2025-02-12,regular,Moutet C.,Nagal S.,2,0,1.42,,2.83
2025-02-12,regular,Moutet C.,Munar J.,,,,,
2025-02-12,regular,Schwartzman D.,Jarry N.,2,1,4.27,,1.22
2025-02-12,regular,Djere L.,Tabilo A.,2,1,1.52,,2.52
2025-02-12,regular,Dzumhur D.,Martinez P.,1,2,,,
2025-02-12,regular,Gaston H.,Coria F.,0,2,2.20,,1.66
2025-02-12,regular,Etcheverry T. M.,Fonseca J.,0,2,2.00,,1.79
2025-02-11,regular,Darderi L.,Cerundolo F.,0,2,3.20,,1.35
2025-02-11,regular,Baez S.,Ugo Carabelli C.,2,0,1.41,,2.90
2025-02-11,regular,Burruchaga R. A.,Cerundolo J. M.,1,2,1.76,,2.05
2025-02-11,regular,Gaston H.,Passaro F.,,,,,
2025-02-11,regular,Navone M.,Comesana F.,2,0,1.40,,2.95
2025-02-11,regular,Diaz Acosta F.,Seyboth Wild T.,1,2,1.67,,2.18
2025-02-10,regular,Muller A.,Djere L.,0,2,2.47,,1.54
2025-02-10,regular,Carballes Baena R.,Lajovic D.,0,2,1.53,,2.48
2025-02-09,regular,Passaro F.,Torres J. B.,2,1,1.45,,2.60
2025-02-09,regular,Meligeni Alves F.,Burruchaga R. A.,1,2,2.15,,1.65
2025-02-09,regular,Coria F.,Djere L.,0,2,2.65,,1.45
2025-02-09,regular,Nagal S.,Cerundolo J. M.,,,2.20,,1.62
2025-02-09,regular,Torres J. B.,Tseng C. H.,2,1,1.75,,2.00
2025-02-08,regular,Cerundolo J. M.,Faria J.,2,0,1.90,,1.85
2025-02-08,regular,Nagal S.,Ficovich J. P.,2,1,1.67,,2.10
2025-02-08,regular,Monteiro T.,Meligeni Alves F.,1,2,1.44,,2.65
2025-02-08,regular,Coria F.,Tirante T. A.,,,1.65,,2.15
2025-02-08,regular,Trungelliti M.,Djere L.,0,2,3.10,,1.33
2025-02-13,regular,Navone M.,Rune H.,2,0,2.39,,1.56
2025-02-10,regular,Diaz Acosta F.,Seyboth Wild T.,1,2,1.67,,2.18
2025-02-08,regular,Torres J. B.,Tseng C. H.,2,1,1.75,,2.00
