date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-09,regular,Shapovalov D.,Ruud C.,2,0,1.65,,2.25
2025-02-09,regular,Shapovalov D.,Paul T.,2,0,2.59,,1.48
2025-02-08,regular,Munar J.,Ruud C.,1,2,3.40,,1.33
2025-02-08,regular,Shapovalov D.,Machac T.,2,0,2.15,,1.69
2025-02-08,regular,Paul T.,Opelka R.,2,0,1.52,,2.52
2025-02-07,regular,Nishioka Y.,Ruud C.,,,3.05,,1.38
2025-02-07,regular,Arnaldi M.,Munar J.,1,2,1.58,,2.33
2025-02-07,regular,Fritz T.,Shapovalov D.,1,2,1.30,,3.58
2025-02-07,regular,Paul T.,Quinn E.,2,1,1.15,,5.25
2025-02-07,regular,Opelka R.,Norrie C.,2,1,1.74,,2.08
2025-02-07,regular,Mmoh M.,Ruud C.,0,2,4.30,,1.21
2025-02-07,regular,Hijikata R.,Machac T.,0,2,5.50,,1.14
2025-02-06,regular,Munar J.,Shelton B.,2,0,7.00,,1.10
2025-02-06,regular,Arnaldi M.,Davidovich Fokina A.,2,0,2.20,,1.67
2025-02-06,regular,Tiafoe F.,Nishioka Y.,1,2,1.53,,2.48
2025-02-06,regular,Kecmanovic M.,Shapovalov D.,1,2,2.32,,1.60
2025-02-06,regular,Fritz T.,Rinderknech A.,2,0,1.09,,7.50
2025-02-06,regular,Opelka R.,Shevchenko A.,2,0,1.40,,2.95
2025-02-05,regular,Nishikori K.,Machac T.,0,2,2.62,,1.49
2025-02-05,regular,Carballes Baena R.,Mmoh M.,1,2,1.62,,2.28
2025-02-05,regular,Nishioka Y.,Nakashima B.,2,0,2.51,,1.53
2025-02-05,regular,Munar J.,Bu Y.,2,0,2.45,,1.54
2025-02-05,regular,Giron M.,Ruud C.,,,2.26,,1.62
2025-02-05,regular,Vukic A.,Shelton B.,0,2,4.30,,1.21
2025-02-05,regular,Norrie C.,Michelsen A.,2,1,2.60,,1.47
2025-02-04,regular,Paul T.,Brooksby J.,2,1,1.06,,9.50
2025-02-04,regular,Quinn E.,Svajda T.,2,0,1.21,,4.30
2025-02-04,regular,Tiafoe F.,Daniel T.,2,1,1.17,,4.88
2025-02-04,regular,Hijikata R.,Mannarino A.,2,0,1.73,,2.10
2025-02-03,regular,Arnaldi M.,Eubanks C.,2,0,1.78,,2.03
2025-02-03,regular,Davidovich Fokina A.,Holt B.,2,0,1.41,,2.90
2025-02-02,regular,Eubanks C.,Pinnington Jones J.,2,0,1.30,,3.30
2025-02-02,regular,Seggerman R.,Holt B.,0,2,3.80,,1.24
2025-02-02,regular,Duckworth J.,Quinn E.,0,2,2.25,,1.60
2025-02-02,regular,Mmoh M.,Georgiev G.,2,0,1.05,,8.75
2025-02-02,regular,Eubanks C.,Mayo A.,2,0,1.16,,4.75
2025-02-02,regular,Pinnington Jones J.,Svajda Z.,2,1,,,
2025-02-01,regular,Trotter J. K.,Quinn E.,0,2,2.20,,1.62
2025-02-01,regular,Georgiev G.,Albot R.,2,1,10.50,,1.03
2025-02-01,regular,Boyer T.,Mmoh M.,0,2,,,
2025-02-01,regular,Duckworth J.,Hadigian E.,2,0,,,
2025-02-01,regular,Gomez F. A.,Seggerman R.,0,2,,,
2025-02-01,regular,Holt B.,Krueger M.,2,1,1.75,,2.00
2025-02-06,regular,Hijikata R.,Machac T.,0,2,5.50,,1.14
2025-02-05,regular,Opelka R.,Shevchenko A.,2,0,1.40,,2.95
2025-02-04,regular,Norrie C.,Michelsen A.,2,1,2.60,,1.47
2025-02-03,regular,Hijikata R.,Mannarino A.,2,0,1.73,,2.10
2025-02-01,regular,Pinnington Jones J.,Svajda Z.,2,1,,,
