date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-09-15,regular,Barrios Vera T.,Gil Garcia A.,,,,,
2025-09-15,regular,Garin C.,Knaff A.,,,1.05,,9.00
2025-09-14,regular,Andrade A.,Fatic N.,,,2.30,,1.57
2025-09-14,regular,Sakellaridis S.,Seyboth Wild T.,,,2.20,,1.62
2025-09-14,regular,Guillen Meza A.,Dzumhur D.,2,0,2.65,,1.44
2025-09-14,regular,Tsitsipas S.,Fonseca J.,1,2,,,
2025-09-14,regular,Vasilev A.,Ruusuvuori E.,2,0,2.85,,1.40
2025-09-14,regular,Ivanov I.,Virtanen O.,,,2.05,,1.72
2025-09-14,regular,Wu Tung-Lin,Durasovic V.,1,2,1.65,,2.15
2025-09-14,regular,Tseng C. H.,Budkov Kjaer N.,0,2,,,
2025-09-14,regular,Bueno G.,Faria J.,,,2.05,,1.72
2025-09-14,regular,Barrios Vera T.,Knaff A.,2,0,,,
2025-09-14,regular,Buse I.,Borges N.,2,1,1.60,,2.25
2025-09-14,regular,Draxl L.,Cukierman D.,,,1.19,,4.33
2025-09-13,regular,Garin C.,Gil Garcia A.,2,1,1.08,,7.00
2025-09-13,regular,Guillen Meza A.,Fatic N.,2,0,1.72,,2.05
2025-09-13,regular,Diallo G.,Kimhi O.,,,1.01,,16.50
2025-09-13,regular,Tsitsipas S.,Seyboth Wild T.,2,0,1.22,,4.00
2025-09-13,regular,Andrade A.,Dzumhur D.,0,2,4.20,,1.20
2025-09-13,regular,Molcan A.,Soriano Barrera A.,,,,,
2025-09-13,regular,Borg L.,Ouakaa A.,2,0,1.40,,2.85
2025-09-13,regular,Huesler M.,Suresh D.,,,1.60,,2.25
2025-09-13,regular,Berkieta T.,Fery A.,,,6.00,,1.11
2025-09-13,regular,Sakellaridis S.,Fonseca J.,0,2,7.00,,1.08
2025-09-13,regular,Medjedovic H.,Kirkin E.,,,,,
2025-09-13,regular,Kym J.,Nagal S.,,,1.30,,3.30
2025-09-13,regular,Pieczkowski O.,Norrie C.,0,2,13.00,,1.01
2025-09-13,regular,Wallin O.,Echargui M.,0,2,2.60,,1.45
2025-09-13,regular,Klein L.,Mejia N.,,,1.28,,3.50
2025-09-13,regular,Kecmanovic M.,Erel Y.,,,1.02,,11.00
2025-09-13,regular,Ivanov I.,Ruusuvuori E.,0,2,2.10,,1.67
2025-09-13,regular,Vasilev A.,Virtanen O.,2,0,,,
2025-09-13,regular,Kwon S.,Shevchenko A.,,,,,
2025-09-13,regular,Chung H.,Bublik A.,,,,,
2025-09-13,regular,Tseng C. H.,Durasovic V.,2,0,1.22,,4.20
2025-09-13,regular,Wu Tung-Lin,Budkov Kjaer N.,1,2,2.35,,1.57
2025-09-13,regular,Kwon S.,Bublik A.,,,,,
2025-09-13,regular,Buse I.,Faria J.,2,0,1.22,,4.00
2025-09-13,regular,Bueno G.,Borges N.,2,1,6.00,,1.11
2025-09-12,regular,Draxl L.,Kimhi O.,2,0,1.08,,7.00
2025-09-12,regular,Diallo G.,Cukierman D.,2,0,1.04,,9.00
2025-09-12,regular,Klein L.,Soriano Barrera A.,1,2,,,
2025-09-12,regular,Pieczkowski O.,Fearnley J.,,,,,
2025-09-12,regular,Pieczkowski O.,Fery A.,0,2,4.40,,1.20
2025-09-12,regular,Wallin O.,Ouakaa A.,2,1,1.30,,3.40
2025-09-12,regular,Wallin O.,Snoussi I.,,,,,
2025-09-12,regular,Medjedovic H.,Erel Y.,,,1.04,,9.50
2025-09-12,regular,Berkieta T.,Norrie C.,0,2,8.50,,1.05
2025-09-12,regular,Molcan A.,Mejia N.,2,0,1.33,,3.20
2025-09-12,regular,Borg L.,Echargui M.,0,2,3.10,,1.33
2025-09-12,regular,Kecmanovic M.,Kirkin E.,2,0,1.05,,8.50
2025-09-12,regular,Huesler M.,Nagal S.,0,2,1.44,,2.65
2025-09-12,regular,Kym J.,Suresh D.,0,2,1.15,,5.00
2025-09-12,regular,Chung H.,Shevchenko A.,0,2,4.50,,1.18
