date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-09-15,regular,Arevalo M.,Ghetu G.,,,1.44,,2.54
2025-09-14,regular,Cruz C.,Turcanu R. D.,0,2,5.00,,1.12
2025-09-14,regular,Christodoulou S.,Arneodo R.,,,1.48,,2.40
2025-09-14,regular,Efstathiou M.,Vacherot V.,0,2,,,
2025-09-14,regular,Cruz C.,Ghetu G.,1,2,,,
2025-09-14,regular,Buldorini P.,Zhou Y.,,,,,
2025-09-14,regular,Van Der Merwe M.,Dlimi Y.,,,2.80,,1.36
2025-09-14,regular,Agwi M.,Bu Y.,,,3.75,,1.21
2025-09-14,regular,Beckley A.,Baadi T.,,,1.72,,1.98
2025-09-14,regular,Wong T. F.,Fomin S.,,,7.00,,1.06
2025-09-14,regular,Wong C.,Sultanov K.,2,0,1.16,,4.40
2025-09-14,regular,Loutit J.,Tkemaladze Z.,,,1.72,,1.98
2025-09-14,regular,Watt J.,Bakshi A.,2,0,1.72,,1.98
2025-09-13,regular,Vallejo D.,Rehman H. A.,,,1.04,,7.75
2025-09-13,regular,Arevalo M.,Turcanu R. D.,1,2,1.83,,1.83
2025-09-13,regular,Efstathiou M.,Arneodo R.,2,0,1.40,,2.65
2025-09-13,regular,Glinka D.,Alvarez Valdes L. C.,,,1.40,,2.70
2025-09-13,regular,Christodoulou S.,Vacherot V.,1,2,6.50,,1.07
2025-09-13,regular,Planinsek F. J.,Aguilar Cardozo J.,,,,,
2025-09-13,regular,Padio H.,Bassem Sobhy M.,0,2,4.75,,1.14
2025-09-13,regular,Agwi M.,Zhou Y.,1,2,2.20,,1.57
2025-09-13,regular,Lajal M.,Pacheco Mendez R.,0,2,1.40,,2.65
2025-09-13,regular,Orlov V.,Bertran P.,,,,,
2025-09-13,regular,Van Der Merwe M.,Baadi T.,1,2,1.83,,1.83
2025-09-13,regular,Hassan B.,Marshall K.,,,,,
2025-09-13,regular,Buldorini P.,Bu Y.,0,2,8.00,,1.04
2025-09-13,regular,Artnak B.,Roncadelli F.,,,1.48,,2.40
