date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-16,regular,Davidovich Fokina A.,Kecmanovic M.,1,2,2.05,,1.78
2025-02-16,regular,Davidovich Fokina A.,Arnaldi M.,2,0,2.15,,1.69
2025-02-15,regular,Michelsen A.,Kecmanovic M.,0,2,1.64,,2.25
2025-02-15,regular,Fritz T.,Davidovich Fokina A.,0,2,1.19,,4.63
2025-02-15,regular,Arnaldi M.,Nakashima B.,2,0,2.28,,1.62
2025-02-14,regular,Norrie C.,Michelsen A.,0,2,2.20,,1.66
2025-02-14,regular,Kecmanovic M.,Giron M.,2,1,2.00,,1.79
2025-02-14,regular,Fritz T.,Bu Y.,2,0,1.08,,8.00
2025-02-14,regular,Arnaldi M.,Tien L.,2,1,1.73,,2.10
2025-02-13,regular,McDonald M.,Davidovich Fokina A.,1,2,2.51,,1.53
2025-02-13,regular,Opelka R.,Nakashima B.,1,2,1.83,,1.96
2025-02-13,regular,Mmoh M.,Michelsen A.,,,4.12,,1.23
2025-02-13,regular,Quinn E.,Giron M.,0,2,3.00,,1.39
2025-02-12,regular,Rinderknech A.,Norrie C.,0,2,2.88,,1.42
2025-02-12,regular,Kecmanovic M.,Nishioka Y.,,,1.57,,2.38
2025-02-12,regular,Tien L.,Walton A.,2,0,1.41,,2.90
2025-02-12,regular,Eubanks C.,Opelka R.,0,2,2.68,,1.46
2025-02-12,regular,Nishikori K.,McDonald M.,1,2,1.49,,2.62
2025-02-11,regular,Rinderknech A.,Popko D.,2,0,1.12,,6.25
2025-02-11,regular,Rinderknech A.,Diallo G.,,,2.52,,1.52
2025-02-11,regular,Bu Y.,Hijikata R.,2,0,1.69,,2.15
2025-02-11,regular,Daniel T.,Davidovich Fokina A.,0,2,3.55,,1.29
2025-02-11,regular,Duckworth J.,Davidovich Fokina A.,,,,,
2025-02-11,regular,Nishioka Y.,Vukic A.,2,0,1.69,,2.15
2025-02-11,regular,Trotter J. K.,Nakashima B.,0,2,3.30,,1.34
2025-02-11,regular,Shevchenko A.,Mmoh M.,0,2,1.88,,1.91
2025-02-10,regular,Quinn E.,Boyer T.,2,1,1.98,,1.82
2025-02-10,regular,Svajda Z.,Norrie C.,0,2,2.80,,1.43
2025-02-10,regular,Kecmanovic M.,Gojo B.,2,0,1.36,,3.15
2025-02-09,regular,Popko D.,Mmoh M.,0,2,2.95,,1.36
2025-02-09,regular,Quinn E.,Svajda Z.,0,2,1.75,,2.00
2025-02-09,regular,Boyer T.,Cassone M.,2,0,1.55,,2.35
2025-02-09,regular,Daniel T.,Trotter J. K.,1,2,1.83,,1.91
2025-02-09,regular,Gomez F. A.,Popko D.,1,2,1.50,,2.45
2025-02-09,regular,Kozlov S.,Svajda Z.,0,2,2.65,,1.44
2025-02-08,regular,Mmoh M.,Albot R.,2,1,,,
2025-02-08,regular,Barrios Vera T.,Quinn E.,1,2,2.95,,1.36
2025-02-08,regular,Boyer T.,Wolf J.J.,,,1.65,,2.15
2025-02-08,regular,Daniel T.,Draxl L.,,,2.05,,1.72
2025-02-08,regular,Gojo B.,Trotter J. K.,,,1.67,,2.10
2025-02-08,regular,Cassone M.,Krueger M.,2,1,2.35,,1.55
2025-02-08,regular,Kozlov S.,Svajda Z.,0,2,2.65,,1.44
