date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-08,regular,Sinner J.,Alcaraz C.,2,3,1.85,,1.99
2025-06-06,regular,Sinner J.,Djokovic N.,3,0,1.25,,4.02
2025-06-06,regular,Musetti L.,Alcaraz C.,,,5.88,,1.13
2025-06-04,regular,Zverev A.,Djokovic N.,1,3,1.93,,1.89
2025-06-04,regular,Sinner J.,Bublik A.,3,0,1.04,,14.25
2025-06-03,regular,Paul T.,Alcaraz C.,0,3,8.00,,1.08
2025-06-03,regular,Musetti L.,Tiafoe F.,3,1,1.23,,4.22
2025-06-02,regular,Sinner J.,Rublev A.,3,0,1.05,,10.75
2025-06-02,regular,Bublik A.,Draper J.,3,1,8.38,,1.07
2025-06-02,regular,Norrie C.,Djokovic N.,0,3,7.88,,1.06
2025-06-02,regular,Zverev A.,Griekspoor T.,,,1.13,,5.88
2025-06-01,regular,Musetti L.,Rune H.,3,1,1.44,,2.73
2025-06-01,regular,Tiafoe F.,Altmaier D.,3,0,1.49,,2.62
2025-06-01,regular,Shelton B.,Alcaraz C.,1,3,10.00,,1.05
2025-06-01,regular,Popyrin A.,Paul T.,0,3,2.34,,1.59
2025-05-31,regular,Misolic F.,Djokovic N.,0,3,10.38,,1.05
2025-05-31,regular,Norrie C.,Fearnley J.,3,0,1.71,,2.10
2025-05-31,regular,Bublik A.,Rocha H.,3,0,1.32,,3.38
2025-05-31,regular,Fonseca J.,Draper J.,0,3,2.62,,1.49
2025-05-31,regular,Zverev A.,Cobolli F.,3,0,1.19,,4.55
2025-05-31,regular,Rublev A.,Fils A.,,,,,
2025-05-31,regular,Sinner J.,Lehecka J.,3,0,1.07,,8.88
2025-05-31,regular,Griekspoor T.,Quinn E.,3,2,1.18,,4.75
2025-05-30,regular,Dzumhur D.,Alcaraz C.,1,3,28.50,,1.01
2025-05-30,regular,Tiafoe F.,Korda S.,3,0,1.96,,1.83
2025-05-30,regular,Shelton B.,Gigante M.,3,0,1.51,,2.55
2025-05-30,regular,Medjedovic H.,Altmaier D.,1,3,1.54,,2.45
2025-05-30,regular,Halys Q.,Rune H.,2,3,5.00,,1.17
2025-05-30,regular,Borges N.,Popyrin A.,0,3,2.08,,1.74
2025-05-30,regular,Khachanov K.,Paul T.,2,3,1.74,,2.08
2025-05-30,regular,Musetti L.,Navone M.,3,1,1.11,,6.50
2025-05-29,regular,Monfils G.,Draper J.,1,3,5.88,,1.13
2025-05-29,regular,Fearnley J.,Humbert U.,,,2.10,,1.71
2025-05-29,regular,Shapovalov D.,Misolic F.,2,3,1.59,,2.34
2025-05-29,regular,Moutet C.,Djokovic N.,0,3,8.38,,1.07
2025-05-29,regular,Shevchenko A.,Quinn E.,2,3,1.74,,2.08
2025-05-29,regular,Norrie C.,Gomez F. A.,3,0,1.13,,6.00
2025-05-29,regular,Fonseca J.,Herbert P.,3,0,1.04,,12.25
2025-05-29,regular,Cobolli F.,Arnaldi M.,3,1,1.74,,2.08
2025-05-29,regular,Rublev A.,Walton A.,3,0,1.03,,13.75
2025-05-29,regular,Sinner J.,Gasquet R.,3,0,1.01,,25.50
2025-05-29,regular,Diallo G.,Griekspoor T.,1,3,2.43,,1.55
2025-05-29,regular,Zverev A.,De Jong J.,3,1,1.04,,12.00
2025-05-29,regular,Rocha H.,Mensik J.,3,2,10.25,,1.05
2025-05-29,regular,Munar J.,Fils A.,2,3,4.88,,1.17
2025-05-29,regular,De Minaur A.,Bublik A.,2,3,1.10,,7.13
2025-05-29,regular,Lehecka J.,Davidovich Fokina A.,3,1,2.04,,1.77
2025-05-28,regular,Nava E.,Rune H.,0,3,6.25,,1.12
2025-05-28,regular,Tiafoe F.,Carreno-Busta P.,3,0,1.52,,2.52
2025-05-28,regular,Shelton B.,Gaston H.,,,,,
2025-05-28,regular,Brooksby J.,Korda S.,0,3,3.40,,1.32
2025-05-28,regular,Gigante M.,Tsitsipas S.,3,1,7.88,,1.08
2025-05-28,regular,Fucsovics M.,Paul T.,2,3,4.80,,1.18
2025-05-28,regular,Mpetshi Perricard G.,Dzumhur D.,1,3,1.50,,2.59
2025-05-28,regular,Marozsan F.,Alcaraz C.,1,3,13.50,,1.03
2025-05-28,regular,Khachanov K.,Ofner S.,3,2,1.42,,2.83
2025-05-28,regular,Ruud C.,Borges N.,1,3,1.09,,7.50
2025-05-28,regular,Halys Q.,Kecmanovic M.,3,1,2.32,,1.60
2025-05-28,regular,Opelka R.,Navone M.,0,3,4.05,,1.23
2025-05-28,regular,Kopriva V.,Altmaier D.,1,3,2.54,,1.52
2025-05-28,regular,Cerundolo J. M.,Medjedovic H.,0,3,2.73,,1.44
2025-05-28,regular,Tabilo A.,Popyrin A.,0,3,2.59,,1.50
2025-05-28,regular,Musetti L.,Galan D. E.,3,0,1.03,,14.00
2025-05-27,regular,Monfils G.,Dellien H.,3,2,1.32,,3.40
2025-05-27,regular,Hurkacz H.,Fonseca J.,0,3,2.00,,1.79
2025-05-27,regular,Moutet C.,Tabur C.,3,0,1.23,,4.17
2025-05-27,regular,Cilic M.,Cobolli F.,0,3,2.95,,1.40
2025-05-27,regular,Arnaldi M.,Auger-Aliassime F.,3,2,2.03,,1.78
2025-05-27,regular,Bellucci M.,Draper J.,1,3,15.50,,1.02
2025-05-27,regular,Rublev A.,Harris L.,3,1,1.07,,8.38
2025-05-27,regular,Basilashvili N.,Rocha H.,2,3,1.44,,2.73
2025-05-27,regular,McDonald M.,Djokovic N.,0,3,18.25,,1.02
2025-05-27,regular,Herbert P.,Bonzi B.,3,2,2.37,,1.57
2025-05-27,regular,Marterer M.,Walton A.,2,3,1.27,,3.80
2025-05-27,regular,Muller A.,Mensik J.,1,3,2.95,,1.40
2025-05-27,regular,De Jong J.,Passaro F.,3,2,1.52,,2.52
2025-05-27,regular,Zverev A.,Tien L.,3,0,1.04,,12.38
2025-05-27,regular,Bublik A.,Duckworth J.,3,0,1.15,,5.38
2025-05-27,regular,Quinn E.,Dimitrov G.,,,3.33,,1.33
2025-05-27,regular,De Minaur A.,Djere L.,3,0,1.21,,4.35
2025-05-27,regular,Kovacevic A.,Gomez F. A.,1,3,1.62,,2.28
2025-05-27,regular,Shevchenko A.,Lajovic D.,3,0,2.83,,1.42
2025-05-27,regular,Medvedev D.,Norrie C.,2,3,1.22,,4.25
2025-05-26,regular,Sinner J.,Rinderknech A.,3,0,1.01,,22.00
2025-05-26,regular,Giron M.,Griekspoor T.,1,3,3.55,,1.29
2025-05-26,regular,Ugo Carabelli C.,Munar J.,0,3,2.34,,1.59
2025-05-26,regular,O'Connell C.,Humbert U.,0,3,2.65,,1.47
2025-05-26,regular,Jarry N.,Fils A.,1,3,5.50,,1.14
2025-05-26,regular,Misolic F.,Bu Y.,3,1,1.59,,2.34
2025-05-26,regular,Atmane T.,Gasquet R.,1,3,1.56,,2.39
2025-05-26,regular,Shapovalov D.,Martinez P.,3,0,1.53,,2.51
2025-05-26,regular,Ofner S.,Struff J-L.,3,1,1.36,,3.15
2025-05-26,regular,Cerundolo F.,Diallo G.,0,3,1.11,,6.38
2025-05-26,regular,Lehecka J.,Thompson J.,3,0,1.15,,5.38
2025-05-26,regular,Khachanov K.,Vukic A.,3,0,1.10,,7.00
2025-05-26,regular,Fearnley J.,Wawrinka S.,3,0,1.47,,2.69
2025-05-26,regular,Bautista-Agut R.,Rune H.,1,3,5.13,,1.16
2025-05-26,regular,Altmaier D.,Fritz T.,3,1,3.68,,1.29
2025-05-26,regular,Llamas Ruiz P.,Davidovich Fokina A.,1,3,6.50,,1.11
2025-05-26,regular,Etcheverry T. M.,Tsitsipas S.,0,3,4.30,,1.21
2025-05-26,regular,Zeppieri G.,Alcaraz C.,0,3,23.00,,1.01
2025-05-26,regular,Kecmanovic M.,Baez S.,3,2,2.19,,1.67
2025-05-26,regular,Gaston H.,Blanchet U.,3,2,1.46,,2.68
2025-05-26,regular,Tabilo A.,Cazaux A.,3,2,1.56,,2.39
2025-05-26,regular,Darderi L.,Korda S.,1,3,1.88,,1.91
2025-05-26,regular,Nishioka Y.,Popyrin A.,,,5.05,,1.17
2025-05-26,regular,Ruud C.,Ramos A.,3,0,1.04,,12.00
2025-05-26,regular,Kovacevic A.,Ruusuvuori E.,,,,,
2025-05-25,regular,Jacquet K.,Borges N.,2,3,2.37,,1.57
2025-05-25,regular,Machac T.,Halys Q.,,,1.38,,3.05
2025-05-25,regular,Shelton B.,Sonego L.,3,2,1.58,,2.38
2025-05-25,regular,Brooksby J.,Faria J.,3,1,1.57,,2.37
2025-05-25,regular,Nava E.,Van De Zandschulp B.,3,0,2.08,,1.74
2025-05-25,regular,Hassan B.,Gigante M.,0,3,2.59,,1.50
2025-05-25,regular,Marozsan F.,Nardi L.,3,0,1.22,,4.22
2025-05-25,regular,Tiafoe F.,Safiullin R.,3,0,1.42,,2.88
2025-05-25,regular,Michelsen A.,Cerundolo J. M.,0,3,1.99,,1.80
2025-05-25,regular,Royer V.,Galan D. E.,2,3,1.71,,2.13
2025-05-25,regular,Musetti L.,Hanfmann Y.,3,0,1.05,,10.00
2025-05-25,regular,Kopriva V.,Monteiro T.,3,2,1.40,,2.95
2025-05-25,regular,Tirante T. A.,Dzumhur D.,1,3,2.14,,1.69
2025-05-25,regular,Royer V.,Carballes Baena R.,,,,,
2025-05-25,regular,Carreno-Busta P.,Comesana F.,3,0,2.59,,1.50
2025-05-25,regular,Opelka R.,Hijikata R.,3,1,1.44,,2.75
2025-05-25,regular,Mpetshi Perricard G.,Bergs Z.,3,1,1.74,,2.08
2025-05-25,regular,Fucsovics M.,Schoolkate T.,3,0,1.09,,7.38
2025-05-25,regular,Majchrzak K.,Medjedovic H.,0,3,2.32,,1.60
2025-05-25,regular,Moller E.,Paul T.,1,3,6.50,,1.11
2025-05-25,regular,Navone M.,Nakashima B.,3,1,1.48,,2.67
2025-05-25,regular,Nishikori K.,Alcaraz C.,,,,,
2025-05-23,regular,Droguet T.,Hanfmann Y.,1,2,2.15,,1.63
2025-05-23,regular,Klein L.,Blanchet U.,0,2,1.67,,2.10
2025-05-23,regular,Rocha H.,van Assche L.,2,1,2.93,,1.37
2025-05-23,regular,Cilic M.,Harris L.,1,2,1.23,,3.93
2025-05-23,regular,Blancaneaux G.,Basilashvili N.,0,2,2.63,,1.45
2025-05-23,regular,Tabur C.,Jianu F. C.,2,0,1.52,,2.40
2025-05-23,regular,Trotter J. K.,Hassan B.,0,2,3.13,,1.35
2025-05-23,regular,Cerundolo J. M.,Galan D. E.,2,0,1.69,,2.10
2025-05-23,regular,Arnaboldi F.,Marterer M.,0,2,1.64,,2.18
2025-05-23,regular,Zeppieri G.,Gomez F. A.,2,0,1.35,,3.05
2025-05-23,regular,Shevchenko A.,Misolic F.,0,2,2.62,,1.44
2025-05-22,regular,Droguet T.,Gea A.,2,1,1.41,,2.73
2025-05-22,regular,Gaubas V.,Llamas Ruiz P.,1,2,1.36,,2.98
2025-05-22,regular,Moller E.,Gigante M.,0,2,1.61,,2.23
2025-05-22,regular,Rodionov J.,Jacquet K.,0,2,2.52,,1.49
2025-05-22,regular,Quinn E.,Tirante T. A.,2,1,1.78,,1.96
2025-05-22,regular,Martineau M.,Hanfmann Y.,0,2,4.17,,1.21
2025-05-22,regular,Skatov T.,van Assche L.,1,2,2.37,,1.54
2025-05-22,regular,Collarini A.,Ramos A.,0,2,1.91,,1.81
2025-05-22,regular,Marterer M.,Coria F.,,,2.08,,1.69
2025-05-22,regular,Blanchet U.,Garin C.,2,0,4.25,,1.20
2025-05-22,regular,Landaluce M.,Gomez F. A.,1,2,1.58,,2.29
2025-05-22,regular,Trotter J. K.,Kubler J.,2,1,,,
2025-05-22,regular,Moreno De Alboran N.,Klein L.,1,2,1.67,,2.10
2025-05-22,regular,Basilashvili N.,Vacherot V.,2,0,2.00,,1.74
2025-05-22,regular,Spizzirri E.,Zeppieri G.,0,2,3.90,,1.23
2025-05-22,regular,Gueymard Wayenburg S.,Hassan B.,0,2,,,
2025-05-22,regular,Barrios Vera T.,Rocha H.,0,2,1.33,,3.20
2025-05-22,regular,Cerundolo J. M.,Habib H.,2,1,1.32,,3.30
2025-05-22,regular,Cilic M.,Martin Tiffon P.,2,0,1.13,,5.63
2025-05-22,regular,Evans D.,Tabur C.,0,2,1.90,,1.83
2025-05-22,regular,Popko D.,Galan D. E.,0,2,3.25,,1.32
2025-05-22,regular,Harris L.,Virtanen O.,2,0,2.90,,1.38
2025-05-22,regular,Jianu F. C.,Squire H.,2,0,2.08,,1.69
2025-05-21,regular,Seyboth Wild T.,Blancaneaux G.,0,2,1.25,,3.78
2025-05-21,regular,Arnaboldi F.,Mmoh M.,,,1.45,,2.60
2025-05-21,regular,Rodionov J.,Nagal S.,2,0,1.85,,1.88
2025-05-21,regular,Napolitano S.,Jacquet K.,1,2,2.85,,1.38
2025-05-21,regular,Shevchenko A.,Erhard M.,2,1,1.35,,3.13
2025-05-21,regular,Ramos A.,Burruchaga R. A.,2,0,2.75,,1.41
2025-05-21,regular,Collarini A.,Guillen Meza A.,2,0,1.91,,1.82
2025-05-21,regular,Neumayer L.,Misolic F.,0,2,3.53,,1.28
2025-05-21,regular,Boyer T.,Gaubas V.,0,2,2.57,,1.47
2025-05-21,regular,Moller E.,Coppejans K.,2,1,1.45,,2.63
2025-05-21,regular,Svajda Z.,Gigante M.,0,2,4.50,,1.18
2025-05-21,regular,Holmgren A.,Tirante T. A.,0,2,4.02,,1.23
2025-05-21,regular,Llamas Ruiz P.,Svrcina D.,2,0,3.53,,1.28
2025-05-21,regular,Quinn E.,Tomic B.,2,0,1.17,,4.55
2025-05-20,regular,Cilic M.,Wu Y.,2,0,1.44,,2.64
2025-05-20,regular,Harris L.,Huesler M.,2,0,3.20,,1.33
2025-05-20,regular,Escoffier A.,Virtanen O.,0,2,3.90,,1.23
2025-05-20,regular,Martin Tiffon P.,Kouame M.,2,1,,,
2025-05-20,regular,Cerundolo J. M.,Onclin G.,2,0,1.30,,3.40
2025-05-20,regular,Dougaz A.,Popko D.,1,2,2.15,,1.65
2025-05-20,regular,Habib H.,Mena F.,2,1,1.40,,2.80
2025-05-20,regular,Blancaneaux G.,Kukushkin M.,2,0,1.90,,1.82
2025-05-20,regular,Mmoh M.,Hemery C.,2,1,2.85,,1.40
2025-05-20,regular,Jasika O.,Galan D. E.,1,2,9.88,,1.04
2025-05-20,regular,Seyboth Wild T.,Uchiyama Y.,2,0,1.03,,12.50
2025-05-20,regular,Harris B.,Evans D.,0,2,1.74,,2.00
2025-05-20,regular,Basilashvili N.,Brouwer G.,2,0,1.11,,6.38
2025-05-20,regular,Jianu F. C.,Kovalik J.,2,1,2.25,,1.60
2025-05-20,regular,van Assche L.,Mannarino A.,2,0,1.19,,4.60
2025-05-20,regular,Vacherot V.,Taberner C.,2,0,1.55,,2.34
2025-05-20,regular,Tabur C.,Tu L.,2,1,1.27,,3.63
2025-05-20,regular,Tseng C. H.,Arnaboldi F.,1,2,1.41,,2.73
2025-05-20,regular,Squire H.,Meligeni Alves F.,2,1,2.68,,1.42
2025-05-20,regular,Rodesch C.,Blanchet U.,0,2,1.52,,2.45
2025-05-20,regular,Eubanks C.,Rodionov J.,0,2,2.45,,1.52
2025-05-20,regular,Krueger M.,Nagal S.,0,2,1.60,,2.23
2025-05-20,regular,Kachmazov A.,Skatov T.,0,2,3.28,,1.32
2025-05-20,regular,Garin C.,Mayot H.,2,0,1.33,,3.18
2025-05-20,regular,Barrios Vera T.,Pavlovic L.,2,0,1.34,,3.18
2025-05-20,regular,Bertrand R.,Rocha H.,0,2,3.73,,1.25
2025-05-20,regular,Zeppieri G.,Choinski J.,2,0,1.34,,3.18
2025-05-20,regular,Coric B.,Droguet T.,1,2,1.19,,4.42
2025-05-20,regular,Misolic F.,Draxl L.,2,0,1.23,,3.97
2025-05-20,regular,Spizzirri E.,Grenier H.,2,1,1.79,,1.92
2025-05-20,regular,Trungelliti M.,Neumayer L.,0,2,1.89,,1.84
2025-05-20,regular,Gea A.,Blockx A.,2,1,2.68,,1.42
2025-05-19,regular,McCabe J.,Erhard M.,0,2,4.17,,1.21
2025-05-19,regular,Fognini F.,Moreno De Alboran N.,0,2,2.64,,1.44
2025-05-19,regular,Landaluce M.,Dellien Velasco M. A.,2,1,1.33,,3.20
2025-05-19,regular,Shevchenko A.,Mochizuki S.,2,1,1.36,,2.98
2025-05-19,regular,Galarneau A.,Martineau M.,1,2,1.67,,2.10
2025-05-19,regular,van Rijthoven T.,Gueymard Wayenburg S.,0,2,6.50,,1.11
2025-05-19,regular,Buse I.,Hanfmann Y.,1,2,1.69,,2.08
2025-05-19,regular,Hassan B.,Kotov P.,2,0,2.10,,1.67
2025-05-19,regular,Holt B.,Trotter J. K.,0,2,1.47,,2.57
2025-05-19,regular,Bouquier A.,Coria F.,1,2,2.10,,1.67
2025-05-19,regular,Den Ouden G.,Klein L.,1,2,1.67,,2.10
2025-05-19,regular,Malige M.,Gomez F. A.,0,2,3.80,,1.24
2025-05-19,regular,Marterer M.,Butvilas E.,2,0,2.60,,1.45
2025-05-19,regular,Sultanov K.,Ramos A.,0,2,2.88,,1.38
2025-05-19,regular,Kubler J.,Moro Canas A.,2,1,1.64,,2.18
2025-05-19,regular,Lestienne C.,Burruchaga R. A.,0,2,5.25,,1.15
2025-05-19,regular,Jacquet K.,Daniel T.,2,0,1.28,,3.55
2025-05-19,regular,Smith C.,Napolitano S.,1,2,1.59,,2.25
2025-05-19,regular,Basavareddy N.,Collarini A.,1,2,1.72,,2.00
2025-05-19,regular,Gaubas V.,Ajdukovic D.,2,1,1.23,,3.88
2025-05-19,regular,Llamas Ruiz P.,Bolt A.,2,1,1.22,,4.04
2025-05-19,regular,Barrere G.,Svrcina D.,0,2,2.39,,1.53
2025-05-19,regular,Boyer T.,Rincon D.,2,0,1.66,,2.13
2025-05-19,regular,Pacheco Mendez R.,Guillen Meza A.,0,2,2.93,,1.38
2025-05-19,regular,Zhukayev B.,Svajda Z.,0,2,1.67,,2.10
2025-05-19,regular,Moller E.,Bagnis F.,2,0,1.15,,5.38
2025-05-19,regular,Cassone M.,Holmgren A.,0,2,2.28,,1.57
2025-05-19,regular,Shimizu Y.,Coppejans K.,0,2,5.13,,1.15
2025-05-19,regular,Ficovich J. P.,Tirante T. A.,0,2,2.43,,1.53
