date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-24,regular,Hurkacz H.,Djokovic N.,1,2,3.15,,1.36
2025-05-23,regular,Norrie C.,Djokovic N.,1,2,5.00,,1.17
2025-05-23,regular,Hurkacz H.,Ofner S.,2,0,1.44,,2.73
2025-05-22,regular,Popyrin A.,Norrie C.,0,2,1.76,,2.05
2025-05-22,regular,Arnaldi M.,Djokovic N.,0,2,3.58,,1.30
2025-05-22,regular,Fritz T.,Hurkacz H.,0,2,1.62,,2.28
2025-05-22,regular,Khachanov K.,Ofner S.,1,2,1.49,,2.62
2025-05-21,regular,Norrie C.,Machac T.,,,2.48,,1.53
2025-05-21,regular,Popyrin A.,Fearnley J.,2,0,1.91,,1.88
2025-05-21,regular,Fucsovics M.,Djokovic N.,0,2,3.88,,1.26
2025-05-21,regular,Rinderknech A.,Hurkacz H.,0,2,3.38,,1.32
2025-05-21,regular,Arnaldi M.,Marozsan F.,2,0,2.08,,1.74
2025-05-21,regular,Ofner S.,Borges N.,2,0,1.88,,1.91
2025-05-21,regular,Khachanov K.,Nishikori K.,,,,,
2025-05-21,regular,Fritz T.,Halys Q.,2,0,1.21,,4.33
2025-05-20,regular,Sell K.,Marozsan F.,0,2,6.25,,1.12
2025-05-20,regular,Cazaux A.,Hurkacz H.,0,2,4.22,,1.22
2025-05-20,regular,Rinderknech A.,Kecmanovic M.,2,0,2.68,,1.44
2025-05-19,regular,Fucsovics M.,Bergs Z.,2,0,1.67,,2.19
2025-05-19,regular,Norrie C.,Stricker D.,2,0,1.33,,3.33
2025-05-19,regular,Arnaldi M.,Gaston H.,2,1,1.34,,3.30
2025-05-19,regular,Munar J.,Halys Q.,1,2,1.42,,2.83
2025-05-19,regular,Nishikori K.,Tien L.,2,1,1.79,,2.00
2025-05-19,regular,Ofner S.,Gakhov I.,2,0,1.18,,4.75
2025-05-19,regular,Lajovic D.,Fearnley J.,0,2,2.00,,1.78
2025-05-18,regular,Borges N.,Michelsen A.,2,1,1.67,,2.19
2025-05-18,regular,Norrie C.,Brooksby J.,2,0,1.40,,2.80
2025-05-18,regular,Gakhov I.,Feldbausch K.,2,1,2.20,,1.62
2025-05-18,regular,Popyrin A.,Jarry N.,2,1,1.82,,1.98
2025-05-18,regular,Bertola R.,Sell K.,1,2,1.80,,1.95
2025-05-18,regular,Opelka R.,Ofner S.,0,2,2.15,,1.65
2025-05-17,regular,Monteiro T.,Gakhov I.,1,2,1.30,,3.30
2025-05-17,regular,Sell K.,Herbert P.,2,1,2.85,,1.40
2025-05-17,regular,Norrie C.,Kirkin E.,2,0,1.02,,11.00
2025-05-17,regular,Duckworth J.,Bertola R.,0,2,1.50,,2.50
2025-05-17,regular,Feldbausch K.,Schoolkate T.,2,1,1.53,,2.40
2025-05-17,regular,Albot R.,Brooksby J.,1,2,2.75,,1.42
2025-05-17,regular,Borg L.,Ofner S.,0,2,9.00,,1.04
2025-05-17,regular,Opelka R.,Dalla Valle E.,2,0,1.20,,4.20
