date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-20,regular,Cerundolo J. M.,Bublik A.,1,2,3.80,,1.27
2025-07-19,regular,Cazaux A.,Bublik A.,0,2,3.15,,1.36
2025-07-19,regular,Cerundolo J. M.,Buse I.,2,0,1.69,,2.15
2025-07-18,regular,Kym J.,Cazaux A.,1,2,2.00,,1.79
2025-07-18,regular,Comesana F.,Bublik A.,0,2,2.34,,1.59
2025-07-18,regular,Ruud C.,Cerundolo J. M.,1,2,1.19,,4.50
2025-07-18,regular,Burruchaga R. A.,Buse I.,1,2,2.10,,1.73
2025-07-17,regular,Passaro F.,Kym J.,0,2,1.64,,2.25
2025-07-17,regular,Shevchenko A.,Bublik A.,0,2,2.68,,1.46
2025-07-17,regular,Cazaux A.,Etcheverry T. M.,2,1,2.73,,1.44
2025-07-17,regular,Cerundolo J. M.,Goffin D.,2,1,,,
2025-07-17,regular,Comesana F.,Carballes Baena R.,2,0,1.46,,2.68
2025-07-16,regular,Ruud C.,Stricker D.,2,0,1.25,,3.95
2025-07-16,regular,Zahraj P.,Burruchaga R. A.,1,2,4.67,,1.19
2025-07-16,regular,Majchrzak K.,Buse I.,1,2,1.54,,2.45
2025-07-16,regular,Martinez P.,Burruchaga R. A.,,,,,
2025-07-15,regular,Shevchenko A.,Wawrinka S.,2,0,1.98,,1.82
2025-07-15,regular,Kym J.,Hemery C.,2,1,1.50,,2.59
2025-07-15,regular,Carballes Baena R.,Taberner C.,2,1,1.80,,1.99
2025-07-15,regular,Landaluce M.,Goffin D.,0,2,1.64,,2.25
2025-07-15,regular,Rinderknech A.,Passaro F.,0,2,1.95,,1.84
2025-07-15,regular,Cerundolo J. M.,Struff J-L.,2,1,2.28,,1.62
2025-07-15,regular,Comesana F.,Trungelliti M.,2,0,1.60,,2.32
2025-07-14,regular,Stricker D.,Herbert P.,2,1,1.65,,2.23
2025-07-14,regular,Cazaux A.,Basilashvili N.,2,1,1.71,,2.10
2025-07-14,regular,Buse I.,Djere L.,2,1,3.38,,1.32
2025-07-14,regular,Majchrzak K.,Atmane T.,2,1,1.30,,3.58
2025-07-14,regular,Burruchaga R. A.,Svrcina D.,2,0,1.76,,2.05
2025-07-13,regular,Trungelliti M.,Bernet H.,2,1,1.44,,2.65
2025-07-13,regular,Buse I.,Zahraj P.,2,0,1.19,,4.33
2025-07-13,regular,Hemery C.,Bagnis F.,2,1,1.48,,2.54
2025-07-13,regular,Passaro F.,Bueno G.,2,0,1.24,,3.80
2025-07-12,regular,Zahraj P.,Rocha H.,2,0,6.25,,1.10
2025-07-12,regular,Bernet H.,Popko D.,2,0,2.30,,1.57
2025-07-12,regular,Buse I.,Ramos A.,2,1,1.42,,2.70
2025-07-12,regular,Trungelliti M.,Ritschard A.,2,0,1.36,,2.95
2025-07-12,regular,Hanfmann Y.,Hemery C.,0,2,1.15,,5.00
2025-07-12,regular,Bueno G.,Huesler M.,2,1,2.20,,1.62
2025-07-12,regular,Bagnis F.,Wong C.,2,1,2.10,,1.67
2025-07-12,regular,Passaro F.,Brunold M.,2,0,1.42,,2.75
