date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-15,regular,Bergs Z.,Diallo G.,0,2,2.48,,1.54
2025-06-14,regular,Opelka R.,Bergs Z.,0,2,1.67,,2.19
2025-06-14,regular,Diallo G.,Humbert U.,2,0,2.48,,1.53
2025-06-13,regular,Bergs Z.,Lajal M.,2,0,1.76,,2.05
2025-06-13,regular,Medvedev D.,Opelka R.,0,2,1.29,,3.68
2025-06-13,regular,Diallo G.,Khachanov K.,2,0,2.34,,1.59
2025-06-13,regular,Borges N.,Humbert U.,0,2,2.95,,1.40
2025-06-12,regular,Medvedev D.,Mannarino A.,2,0,1.26,,3.88
2025-06-12,regular,Lajal M.,Hurkacz H.,,,,,
2025-06-12,regular,Popyrin A.,Bergs Z.,1,2,1.62,,2.28
2025-06-12,regular,Opelka R.,Jarry N.,2,0,1.71,,2.10
2025-06-12,regular,Evans D.,Humbert U.,0,2,3.25,,1.35
2025-06-12,regular,Borges N.,Virtanen O.,,,,,
2025-06-11,regular,Djere L.,Lajal M.,0,2,2.23,,1.65
2025-06-11,regular,McDonald M.,Khachanov K.,1,2,2.75,,1.44
2025-06-11,regular,Bautista-Agut R.,Hurkacz H.,0,2,3.25,,1.35
2025-06-11,regular,Hijikata R.,Evans D.,1,2,1.49,,2.62
2025-06-11,regular,Mannarino A.,O'Connell C.,2,0,1.67,,2.19
2025-06-11,regular,Thompson J.,Diallo G.,1,2,1.53,,2.48
2025-06-10,regular,Virtanen O.,Etcheverry T. M.,2,0,1.50,,2.59
2025-06-10,regular,Opelka R.,De Jong J.,2,1,1.66,,2.10
2025-06-10,regular,McDonald M.,Bellucci M.,2,1,1.55,,2.43
2025-06-10,regular,Bergs Z.,Blockx A.,2,1,1.60,,2.33
2025-06-10,regular,Tabilo A.,De Jong J.,,,,,
2025-06-09,regular,Thompson J.,Kovacevic A.,2,0,1.40,,2.95
2025-06-09,regular,Van De Zandschulp B.,Bellucci M.,,,1.82,,1.98
2025-06-09,regular,McDonald M.,Boogaard T.,2,0,1.10,,6.25
2025-06-09,regular,Jarry N.,Darderi L.,2,1,1.57,,2.37
2025-06-09,regular,Evans D.,Rottgering M.,2,1,1.45,,2.60
2025-06-09,regular,Borges N.,Basavareddy N.,2,0,1.53,,2.51
2025-06-09,regular,Mannarino A.,Blockx A.,1,2,1.48,,2.54
2025-06-09,regular,Opelka R.,Lajal M.,0,2,1.55,,2.35
2025-06-09,regular,Diallo G.,Vukic A.,2,0,1.55,,2.43
2025-06-08,regular,Boogaard T.,McCabe J.,2,1,3.50,,1.28
2025-06-08,regular,McDonald M.,Peniston R.,2,0,1.40,,2.85
2025-06-08,regular,Walton A.,Evans D.,1,2,1.72,,2.05
2025-06-08,regular,Houkes M.,Blockx A.,0,2,5.50,,1.12
2025-06-08,regular,Mannarino A.,Dutra Da Silva D.,2,0,,,
2025-06-08,regular,Denolly C.,Lajal M.,0,2,6.25,,1.10
2025-06-08,regular,Opelka R.,Yevseyev D.,2,0,1.28,,3.50
