date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-01-05,regular,Nishikori K.,Muller A.,1,2,1.30,,3.50
2025-01-04,regular,Shang J.,Nishikori K.,,,1.98,,1.82
2025-01-04,regular,Muller A.,Munar J.,2,1,1.98,,1.82
2025-01-03,regular,Nishikori K.,Norrie C.,2,1,1.69,,2.15
2025-01-03,regular,Marozsan F.,Shang J.,1,2,2.35,,1.59
2025-01-03,regular,Munar J.,Musetti L.,2,1,3.35,,1.32
2025-01-03,regular,Muller A.,Fils A.,2,1,3.80,,1.27
2025-01-02,regular,Rublev A.,Marozsan F.,1,2,1.25,,3.90
2025-01-02,regular,Shang J.,Martinez P.,2,0,1.30,,3.45
2025-01-02,regular,Borges N.,Munar J.,0,2,1.54,,2.45
2025-01-02,regular,Diallo G.,Musetti L.,0,2,2.25,,1.64
2025-01-01,regular,Khachanov K.,Nishikori K.,1,2,1.67,,2.18
2025-01-01,regular,Bergs Z.,Fils A.,0,2,2.68,,1.46
2025-01-01,regular,Norrie C.,Sonego L.,2,1,1.59,,2.34
2025-01-01,regular,Kecmanovic M.,Muller A.,1,2,1.42,,2.88
2024-12-31,regular,Shang J.,Wong C.,2,0,1.30,,3.45
2024-12-31,regular,Diallo G.,Carballes Baena R.,2,1,1.41,,2.90
2024-12-31,regular,Shapovalov D.,Nishikori K.,0,2,1.55,,2.43
2024-12-31,regular,Passaro F.,Martinez P.,0,2,1.96,,1.83
2024-12-31,regular,Munar J.,Davidovich Fokina A.,2,1,3.15,,1.36
2024-12-31,regular,Borges N.,Bu Y.,2,1,2.05,,1.76
2024-12-31,regular,Bergs Z.,Moro Canas A.,2,0,1.46,,2.68
2024-12-31,regular,Muller A.,Huesler M.,2,1,2.25,,1.64
2024-12-30,regular,Norrie C.,Tien L.,2,0,1.65,,2.23
2024-12-30,regular,Sonego L.,Nakashima B.,2,0,2.41,,1.54
2024-12-30,regular,Safiullin R.,Marozsan F.,0,2,1.51,,2.51
2024-12-30,regular,Darderi L.,Kecmanovic M.,0,2,3.35,,1.32
2024-12-30,regular,Kotov P.,Huesler M.,0,2,2.30,,1.57
2024-12-30,regular,Diallo G.,Grenier H.,2,1,1.30,,3.30
2024-12-30,regular,Moro Canas A.,Cui J.,2,0,1.40,,2.85
2024-12-30,regular,Passaro F.,Yevseyev D.,2,1,1.60,,2.25
2024-12-29,regular,Atmane T.,Grenier H.,1,2,1.67,,2.10
2024-12-29,regular,Diallo G.,Ng K. L.,2,0,1.01,,18.00
2024-12-29,regular,Altmaier D.,Moro Canas A.,0,2,1.45,,2.60
2024-12-29,regular,Cui J.,Cerundolo J. M.,2,0,2.30,,1.57
2024-12-29,regular,Kotov P.,Royer V.,2,1,1.62,,2.20
2024-12-29,regular,Huesler M.,Djere L.,2,0,1.78,,1.95
2024-12-29,regular,Passaro F.,Dougaz A.,2,1,1.60,,2.25
2024-12-29,regular,Yevseyev D.,Garin C.,2,1,2.45,,1.50
