date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-06,regular,Brooksby J.,Tiafoe F.,2,0,2.68,,1.46
2025-04-06,regular,Nakashima B.,Tiafoe F.,0,2,2.05,,1.76
2025-04-05,regular,Paul T.,Brooksby J.,1,2,1.23,,3.90
2025-04-05,regular,Michelsen A.,Tiafoe F.,0,2,2.63,,1.50
2025-04-05,regular,Eubanks C.,Nakashima B.,0,2,4.75,,1.18
2025-04-04,regular,Paul T.,Smith C.,2,0,1.36,,3.15
2025-04-04,regular,Brooksby J.,Kovacevic A.,2,1,1.74,,2.08
2025-04-04,regular,Michelsen A.,Mannarino A.,2,1,1.12,,6.25
2025-04-04,regular,Walton A.,Tiafoe F.,0,2,3.70,,1.28
2025-04-03,regular,Nishikori K.,Eubanks C.,,,1.22,,4.25
2025-04-03,regular,McDonald M.,Nakashima B.,0,2,2.78,,1.43
2025-04-03,regular,Denolly C.,Kovacevic A.,0,2,4.75,,1.18
2025-04-03,regular,Paul T.,Garin C.,2,1,1.36,,3.15
2025-04-03,regular,Smith C.,Quinn E.,2,0,1.52,,2.54
2025-04-02,regular,Tabilo A.,Brooksby J.,1,2,1.76,,2.05
2025-04-02,regular,Nishikori K.,Krueger M.,2,0,1.26,,3.88
2025-04-02,regular,Hijikata R.,Eubanks C.,1,2,1.85,,1.94
2025-04-02,regular,Quinn E.,Thompson J.,2,1,2.45,,1.54
2025-04-02,regular,Smith C.,Duckworth J.,2,0,1.32,,3.40
2025-04-01,regular,Mmoh M.,Walton A.,0,2,1.66,,2.20
2025-04-01,regular,Galan D. E.,McDonald M.,1,2,1.62,,2.28
2025-04-01,regular,Hanfmann Y.,Mannarino A.,0,2,1.47,,2.65
2025-04-01,regular,Hanfmann Y.,Moreno De Alboran N.,,,1.37,,3.05
2025-04-01,regular,Kovacevic A.,Etcheverry T. M.,2,0,3.20,,1.36
2025-04-01,regular,Holt B.,Denolly C.,0,2,1.36,,3.20
2025-04-01,regular,Michelsen A.,Tien L.,2,0,2.00,,1.80
2025-04-01,regular,Daniel T.,Brooksby J.,0,2,3.40,,1.33
2025-03-31,regular,Garin C.,Ritschard A.,2,0,1.48,,2.60
2025-03-30,regular,Draxl L.,Smith C.,0,2,2.30,,1.57
2025-03-30,regular,Krueger M.,Zahraj P.,,,1.45,,2.60
2025-03-30,regular,Brooksby J.,Maloney P.,2,0,1.14,,5.25
2025-03-30,regular,Mannarino A.,Denolly C.,1,2,1.62,,2.20
2025-03-30,regular,Zhu E.,Smith C.,0,2,7.50,,1.07
2025-03-30,regular,Draxl L.,Ayeni A.,,,,,
2025-03-30,regular,Draxl L.,Grant W.,2,0,1.04,,9.25
2025-03-30,regular,Krueger M.,Kodat T.,,,1.36,,2.95
2025-03-30,regular,Corwin F.,Zahraj P.,0,2,2.30,,1.57
2025-03-29,regular,Gomez F. A.,Brooksby J.,1,2,4.00,,1.22
2025-03-29,regular,Maloney P.,Andrade A.,,,2.65,,1.44
2025-03-29,regular,Mannarino A.,Nakagawa N.,2,1,1.36,,2.95
2025-03-29,regular,Denolly C.,Trotter J. K.,2,1,2.50,,1.50
2025-03-29,regular,Corwin F.,Zahraj P.,0,2,2.30,,1.57
