date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-03-17,regular,Rune H.,Draper J.,0,2,2.46,,1.56
2025-03-16,regular,Draper J.,Alcaraz C.,2,1,3.45,,1.32
2025-03-15,regular,Rune H.,Medvedev D.,2,0,2.50,,1.53
2025-03-14,regular,Cerundolo F.,Alcaraz C.,0,2,9.38,,1.07
2025-03-14,regular,Shelton B.,Draper J.,0,2,2.70,,1.46
2025-03-13,regular,Fils A.,Medvedev D.,1,2,3.20,,1.36
2025-03-13,regular,Griekspoor T.,Rune H.,1,2,2.37,,1.59
2025-03-13,regular,Dimitrov G.,Alcaraz C.,0,2,6.50,,1.11
2025-03-13,regular,Draper J.,Fritz T.,2,0,1.76,,2.05
2025-03-12,regular,Cerundolo F.,De Minaur A.,2,0,3.68,,1.29
2025-03-12,regular,Nakashima B.,Shelton B.,0,2,2.53,,1.52
2025-03-12,regular,Paul T.,Medvedev D.,0,2,2.10,,1.73
2025-03-12,regular,Giron M.,Fils A.,1,2,2.34,,1.59
2025-03-11,regular,Rune H.,Tsitsipas S.,2,0,2.28,,1.62
2025-03-11,regular,Griekspoor T.,Watanuki Y.,2,0,1.41,,2.90
2025-03-11,regular,Dimitrov G.,Monfils G.,2,1,1.91,,1.88
2025-03-11,regular,Shapovalov D.,Alcaraz C.,0,2,5.13,,1.16
2025-03-11,regular,Khachanov K.,Shelton B.,0,2,2.15,,1.69
2025-03-11,regular,Arnaldi M.,Nakashima B.,0,2,1.79,,2.00
2025-03-11,regular,Tabilo A.,Fritz T.,1,2,5.75,,1.13
2025-03-10,regular,Hurkacz H.,De Minaur A.,0,2,2.68,,1.46
2025-03-10,regular,Draper J.,Brooksby J.,2,0,1.21,,4.38
2025-03-10,regular,Van De Zandschulp B.,Cerundolo F.,0,2,2.19,,1.67
2025-03-10,regular,Watanuki Y.,Tiafoe F.,2,0,3.05,,1.38
2025-03-10,regular,Fils A.,Musetti L.,2,1,1.73,,2.10
2025-03-10,regular,Rune H.,Humbert U.,2,1,1.98,,1.82
2025-03-10,regular,Michelsen A.,Medvedev D.,,,3.40,,1.33
2025-03-09,regular,Berrettini M.,Tsitsipas S.,0,2,1.87,,1.93
2025-03-09,regular,Giron M.,Popyrin A.,2,1,1.74,,2.08
2025-03-09,regular,Griekspoor T.,Mpetshi Perricard G.,2,0,1.62,,2.28
2025-03-09,regular,Paul T.,Norrie C.,2,0,1.29,,3.55
2025-03-09,regular,Monfils G.,Korda S.,2,0,1.69,,2.15
2025-03-09,regular,Goffin D.,De Minaur A.,0,2,5.13,,1.16
2025-03-09,regular,Navone M.,Shelton B.,0,2,3.50,,1.30
2025-03-09,regular,Dimitrov G.,Borges N.,2,0,2.15,,1.69
2025-03-09,regular,Khachanov K.,Mensik J.,2,1,1.70,,2.13
2025-03-09,regular,Hijikata R.,Nakashima B.,0,2,4.17,,1.23
2025-03-09,regular,Hurkacz H.,Gaston H.,2,0,1.22,,4.33
2025-03-09,regular,Djokovic N.,Van De Zandschulp B.,1,2,1.10,,6.88
2025-03-09,regular,Halys Q.,Alcaraz C.,0,2,8.63,,1.07
2025-03-09,regular,McDonald M.,Cerundolo F.,1,2,2.03,,1.78
2025-03-08,regular,Shapovalov D.,Walton A.,2,0,1.25,,4.00
2025-03-08,regular,Rublev A.,Arnaldi M.,0,2,1.40,,3.00
2025-03-08,regular,Draper J.,Fonseca J.,2,0,1.55,,2.43
2025-03-08,regular,Brooksby J.,Auger-Aliassime F.,2,0,3.58,,1.30
2025-03-08,regular,Gigante M.,Fritz T.,0,2,8.13,,1.08
2025-03-08,regular,Tabilo A.,Lajovic D.,2,0,1.98,,1.82
2025-03-08,regular,Dzumhur D.,Tiafoe F.,0,2,3.68,,1.29
2025-03-08,regular,Machac T.,Watanuki Y.,,,1.26,,3.88
2025-03-08,regular,Bu Y.,Medvedev D.,0,2,4.27,,1.22
2025-03-16,regular,Rune H.,Draper J.,0,2,2.46,,1.56
2025-03-10,regular,Arnaldi M.,Nakashima B.,0,2,1.79,,2.00
2025-03-10,regular,Tabilo A.,Fritz T.,1,2,5.75,,1.13
2025-03-09,regular,Michelsen A.,Medvedev D.,,,3.40,,1.33
2025-03-08,regular,Halys Q.,Alcaraz C.,0,2,8.63,,1.07
2025-03-08,regular,McDonald M.,Cerundolo F.,1,2,2.03,,1.78
2025-03-08,regular,Fils A.,Diallo G.,2,0,1.65,,2.22
2025-03-08,regular,Seyboth Wild T.,Tsitsipas S.,0,2,3.90,,1.23
2025-03-08,regular,Rune H.,Moutet C.,2,0,1.36,,3.15
2025-03-08,regular,Michelsen A.,Smith C.,2,0,1.40,,2.95
2025-03-08,regular,Safiullin R.,Musetti L.,1,2,1.90,,1.89
2025-03-08,regular,Berrettini M.,O'Connell C.,2,0,1.19,,4.42
2025-03-08,regular,Ruud C.,Giron M.,1,2,1.54,,2.41
2025-03-08,regular,Bergs Z.,Popyrin A.,0,2,1.90,,1.89
2025-03-08,regular,Norrie C.,Lehecka J.,2,1,2.43,,1.55
2025-03-07,regular,Navone M.,Tien L.,2,0,,,
2025-03-07,regular,Halys Q.,Carreno-Busta P.,2,0,,,
2025-03-07,regular,Paul T.,Boyer T.,2,0,1.08,,7.25
2025-03-07,regular,Zverev A.,Griekspoor T.,1,2,1.23,,3.95
2025-03-07,regular,Nishikori K.,Humbert U.,0,2,3.38,,1.30
2025-03-07,regular,Marozsan F.,Mpetshi Perricard G.,,,1.69,,2.10
