date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-26,regular,Bublik A.,Cazaux A.,2,0,1.29,,3.75
2025-07-25,regular,Bublik A.,Van De Zandschulp B.,2,0,1.30,,3.45
2025-07-25,regular,Cazaux A.,Rinderknech A.,2,0,1.61,,2.30
2025-07-24,regular,Seyboth Wild T.,Van De Zandschulp B.,0,2,2.08,,1.74
2025-07-24,regular,Bublik A.,Shevchenko A.,2,0,1.26,,3.85
2025-07-24,regular,Cazaux A.,Struff J-L.,2,0,2.20,,1.66
2025-07-24,regular,Rinderknech A.,Hanfmann Y.,2,1,2.15,,1.69
2025-07-23,regular,Bautista-Agut R.,Seyboth Wild T.,0,2,2.03,,1.78
2025-07-23,regular,Bublik A.,Tirante T. A.,2,0,1.55,,2.43
2025-07-23,regular,Shevchenko A.,Fucsovics M.,2,0,2.34,,1.59
2025-07-23,regular,Van De Zandschulp B.,Misolic F.,2,0,2.34,,1.59
2025-07-23,regular,Struff J-L.,Martinez P.,2,0,1.43,,2.78
2025-07-23,regular,Comesana F.,Cazaux A.,0,2,1.44,,2.75
2025-07-23,regular,Hanfmann Y.,Baez S.,2,1,1.96,,1.83
2025-07-23,regular,Rinderknech A.,Gombos N.,2,1,1.49,,2.62
2025-07-22,regular,Seyboth Wild T.,Engel J.,2,0,1.54,,2.45
2025-07-22,regular,Faria J.,Tirante T. A.,0,2,2.45,,1.54
2025-07-22,regular,Misolic F.,Etcheverry T. M.,2,1,1.85,,1.94
2025-07-22,regular,Cazaux A.,Buse I.,2,1,1.96,,1.83
2025-07-22,regular,Ofner S.,Struff J-L.,0,2,1.70,,2.13
2025-07-22,regular,Hanfmann Y.,Neumayer L.,2,0,1.44,,2.73
2025-07-22,regular,Van De Zandschulp B.,Jarry N.,2,1,2.54,,1.52
2025-07-21,regular,Rinderknech A.,Bagnis F.,2,1,1.46,,2.68
2025-07-21,regular,Gaston H.,Gombos N.,0,2,1.52,,2.54
2025-07-21,regular,Schwaerzler J. J.,Fucsovics M.,1,2,3.55,,1.29
2025-07-21,regular,Comesana F.,Boyer T.,2,0,1.21,,4.38
2025-07-21,regular,Shevchenko A.,Galan D. E.,2,1,1.57,,2.37
2025-07-20,regular,Gombos N.,Albot R.,2,0,1.65,,2.15
2025-07-20,regular,Struff J-L.,Rodionov J.,2,0,1.36,,2.95
2025-07-20,regular,Monteiro T.,Bagnis F.,0,2,1.57,,2.30
2025-07-20,regular,Hanfmann Y.,Martin A.,2,0,1.24,,3.75
2025-07-19,regular,Albot R.,Kym J.,2,1,2.70,,1.42
2025-07-19,regular,Landaluce M.,Gombos N.,0,2,1.36,,2.95
2025-07-19,regular,Kopp S.,Rodionov J.,0,2,3.00,,1.36
2025-07-19,regular,Bagnis F.,Rocha H.,2,0,2.20,,1.62
2025-07-19,regular,Struff J-L.,Hipfl N.,2,0,1.03,,10.50
2025-07-19,regular,Martin A.,Prado Angelo J. C.,2,0,2.30,,1.57
2025-07-19,regular,Hanfmann Y.,Ramos A.,2,0,1.36,,3.00
2025-07-19,regular,Monteiro T.,Oberleitner N.,2,1,1.26,,3.60
