date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-20,regular,Kovacevic A.,Shapovalov D.,0,2,3.40,,1.32
2025-07-19,regular,Rublev A.,Kovacevic A.,1,2,1.22,,4.33
2025-07-19,regular,Shapovalov D.,Walton A.,2,0,1.32,,3.40
2025-07-18,regular,Ficovich J. P.,Kovacevic A.,0,2,2.88,,1.42
2025-07-18,regular,Rublev A.,Nava E.,2,1,1.17,,5.00
2025-07-18,regular,Walton A.,Duckworth J.,2,1,1.62,,2.28
2025-07-18,regular,Schoolkate T.,Shapovalov D.,0,2,3.05,,1.38
2025-07-17,regular,Walton A.,Basavareddy N.,2,0,2.34,,1.59
2025-07-17,regular,Altmaier D.,Schoolkate T.,0,2,1.61,,2.29
2025-07-17,regular,Duckworth J.,Davidovich Fokina A.,2,0,4.30,,1.21
2025-07-17,regular,Alvarez Valdes L. C.,Kovacevic A.,0,2,5.25,,1.15
2025-07-17,regular,Rublev A.,Hernandez A.,2,0,1.02,,19.00
2025-07-17,regular,Nanda G.,Shapovalov D.,0,2,4.30,,1.21
2025-07-17,regular,Nava E.,Bu Y.,2,1,1.99,,1.80
2025-07-17,regular,Halys Q.,Ficovich J. P.,1,2,1.30,,3.50
2025-07-16,regular,McCabe J.,Alvarez Valdes L. C.,0,2,1.32,,3.40
2025-07-16,regular,Walton A.,Pacheco Mendez R.,2,0,1.52,,2.52
2025-07-16,regular,Mejia N.,Basavareddy N.,0,2,3.35,,1.32
2025-07-16,regular,Duckworth J.,Mannarino A.,2,0,1.78,,2.03
2025-07-16,regular,Altmaier D.,Krueger M.,2,0,1.44,,2.75
2025-07-16,regular,Smith C.,Nanda G.,0,2,1.20,,4.45
2025-07-16,regular,Magadan A.,Bu Y.,0,2,8.38,,1.07
2025-07-16,regular,Wu Y.,Schoolkate T.,1,2,1.49,,2.62
2025-07-15,regular,Daniel T.,Hernandez A.,1,2,1.34,,3.30
2025-07-15,regular,Kachmazov A.,Ficovich J. P.,0,2,1.59,,2.34
2025-07-15,regular,Vukic A.,Nava E.,0,2,1.87,,1.93
2025-07-15,regular,Habib H.,Kovacevic A.,1,2,3.40,,1.32
2025-07-14,regular,Lajal M.,Magadan A.,0,2,1.10,,6.25
2025-07-14,regular,Tomic B.,Wu Y.,,,3.10,,1.34
2025-07-14,regular,Baadi T.,Nanda G.,0,2,3.60,,1.26
2025-07-14,regular,Cassone M.,Mejia N.,0,2,1.50,,2.50
2025-07-13,regular,Magadan A.,Bouzige M.,2,1,2.65,,1.45
2025-07-13,regular,Tomic B.,Strode E.,2,0,1.16,,4.75
2025-07-13,regular,Uchiyama Y.,Baadi T.,0,2,1.17,,4.60
2025-07-13,regular,Lajal M.,Lemaitre L.,2,0,1.01,,18.50
2025-07-13,regular,Shick B.,Wu Y.,0,2,7.25,,1.07
2025-07-13,regular,Cassone M.,Zhu E.,2,1,1.15,,5.00
2025-07-13,regular,Kirchheimer S.,Nanda G.,0,2,2.30,,1.57
2025-07-13,regular,Strode I.,Mejia N.,0,2,5.00,,1.15
