date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-06,regular,Griekspoor T.,Darderi L.,0,2,1.67,,2.23
2025-04-05,regular,Griekspoor T.,Majchrzak K.,2,0,1.64,,2.29
2025-04-05,regular,Carballes Baena R.,Darderi L.,0,2,1.89,,1.94
2025-04-04,regular,Muller A.,Majchrzak K.,0,2,1.69,,2.20
2025-04-04,regular,Griekspoor T.,Bellucci M.,2,0,1.45,,2.79
2025-04-04,regular,Darderi L.,Kopriva V.,2,0,1.54,,2.51
2025-04-04,regular,Carballes Baena R.,Borges N.,2,0,2.03,,1.81
2025-04-03,regular,Kopriva V.,Sonego L.,2,1,2.39,,1.59
2025-04-03,regular,Darderi L.,Gaston H.,2,1,1.54,,2.50
2025-04-03,regular,Griekspoor T.,Carreno-Busta P.,2,1,1.74,,2.11
2025-04-03,regular,Herbert P.,Bellucci M.,0,2,2.36,,1.59
2025-04-02,regular,Collignon R.,Borges N.,1,2,2.37,,1.56
2025-04-02,regular,Carballes Baena R.,Virtanen O.,2,0,1.35,,3.22
2025-04-02,regular,De Jong J.,Majchrzak K.,0,2,2.04,,1.78
2025-04-02,regular,Muller A.,Dellien H.,2,1,1.51,,2.59
2025-04-02,regular,Darderi L.,Boyer T.,2,0,1.48,,2.68
2025-04-02,regular,Kopriva V.,Gojo B.,2,1,1.64,,2.28
2025-04-01,regular,Cerundolo J. M.,Gaston H.,1,2,1.83,,1.99
2025-04-01,regular,Coria F.,Herbert P.,1,2,1.54,,2.47
2025-04-01,regular,Carreno-Busta P.,Lalami Laaroussi Y.,2,0,1.01,,21.88
2025-04-01,regular,Kotov P.,Bellucci M.,0,2,1.78,,2.05
2025-04-01,regular,Majchrzak K.,Munar J.,2,0,3.04,,1.39
2025-04-01,regular,Altmaier D.,Virtanen O.,1,2,1.29,,3.70
2025-04-01,regular,Benchetrit E.,De Jong J.,0,2,9.56,,1.06
2025-03-31,regular,Vukic A.,Dellien H.,1,2,2.42,,1.58
2025-03-31,regular,Fognini F.,Collignon R.,0,2,2.65,,1.49
2025-03-31,regular,Carballes Baena R.,Baadi T.,2,0,1.01,,18.65
2025-03-31,regular,Mayot H.,Herbert P.,0,2,1.67,,2.19
2025-03-31,regular,Majchrzak K.,Nagal S.,2,0,1.30,,3.45
2025-03-31,regular,Cerundolo J. M.,Droguet T.,2,1,1.33,,3.27
2025-03-31,regular,Coria F.,Hemery C.,2,0,1.45,,2.71
2025-03-30,regular,Rocha H.,Herbert P.,1,2,2.12,,1.68
2025-03-30,regular,Mayot H.,Karatsev A.,,,2.29,,1.58
2025-03-30,regular,Jamji A.,Nagal S.,0,2,13.93,,1.01
2025-03-30,regular,Majchrzak K.,Trungelliti M.,2,0,1.36,,3.06
2025-03-30,regular,Droguet T.,Guinard M.,2,0,1.63,,2.24
2025-03-30,regular,Cerundolo J. M.,Bennani K.,2,0,1.03,,10.81
2025-03-30,regular,Droguet T.,Koepfer D.,,,2.05,,1.74
2025-03-30,regular,Coria F.,Zeppieri G.,,,1.73,,2.05
2025-03-30,regular,Hemery C.,Moro Canas A.,2,0,2.12,,1.71
