date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-02,regular,Kovacevic A.,Auger-Aliassime F.,1,2,3.86,,1.28
2025-02-01,regular,Rublev A.,Kovacevic A.,0,2,1.28,,3.86
2025-02-01,regular,De Jong J.,Auger-Aliassime F.,0,2,4.88,,1.20
2025-01-31,regular,Bublik A.,Kovacevic A.,0,2,1.69,,2.23
2025-01-31,regular,Rublev A.,Basilashvili N.,,,1.24,,4.30
2025-01-31,regular,Griekspoor T.,De Jong J.,0,2,1.45,,2.86
2025-01-31,regular,Bu Y.,Auger-Aliassime F.,0,2,3.94,,1.27
2025-01-30,regular,Basilashvili N.,Rinderknech A.,2,0,2.29,,1.65
2025-01-30,regular,Griekspoor T.,Gasquet R.,2,1,1.40,,3.04
2025-01-30,regular,Bellucci M.,Kovacevic A.,0,2,2.09,,1.78
2025-01-30,regular,De Jong J.,Cobolli F.,2,0,2.57,,1.52
2025-01-29,regular,Bublik A.,Koepfer D.,2,0,1.72,,2.15
2025-01-29,regular,Cazaux A.,Auger-Aliassime F.,0,2,2.95,,1.43
2025-01-29,regular,Bu Y.,Lestienne C.,2,0,1.62,,2.35
2025-01-29,regular,Rublev A.,Eubanks C.,2,0,1.24,,4.20
2025-01-29,regular,Kovacevic A.,Goffin D.,2,1,1.61,,2.32
2025-01-29,regular,De Jong J.,Halys Q.,,,2.63,,1.50
2025-01-29,regular,Basilashvili N.,Kukushkin M.,,,1.62,,2.34
2025-01-28,regular,Mayot H.,Rinderknech A.,1,2,2.80,,1.45
2025-01-28,regular,Mannarino A.,Gasquet R.,0,2,1.76,,2.10
2025-01-28,regular,Bellucci M.,Pouille L.,2,0,2.13,,1.74
2025-01-28,regular,Griekspoor T.,Van De Zandschulp B.,2,0,1.57,,2.44
2025-01-28,regular,Coric B.,Lestienne C.,0,2,1.87,,1.95
2025-01-28,regular,Eubanks C.,Kachmazov A.,2,0,1.78,,2.07
2025-01-27,regular,Barrere G.,Koepfer D.,0,2,1.85,,1.98
2025-01-27,regular,Wawrinka S.,Cazaux A.,0,2,2.44,,1.57
2025-01-27,regular,Bu Y.,Altmaier D.,2,0,1.63,,2.32
2025-01-27,regular,Basilashvili N.,Droguet T.,,,1.75,,2.04
2025-01-27,regular,Kovacevic A.,Carreno-Busta P.,2,0,2.02,,1.79
2025-01-27,regular,Atmane T.,Lestienne C.,0,2,2.12,,1.72
2025-01-27,regular,Grenier H.,Kachmazov A.,1,2,1.82,,1.99
2025-01-26,regular,Gigante M.,Basilashvili N.,0,2,1.83,,1.90
2025-01-26,regular,Royer V.,Droguet T.,1,2,1.87,,1.86
2025-01-26,regular,Paire B.,Lestienne C.,0,2,3.17,,1.36
2025-01-26,regular,Svrcina D.,Carreno-Busta P.,0,2,2.84,,1.43
2025-01-26,regular,Atmane T.,Chidekh C.,2,1,1.84,,1.96
2025-01-26,regular,Kovacevic A.,Bertrand R.,2,0,1.25,,4.00
2025-01-26,regular,Grenier H.,Hemery C.,2,1,1.75,,2.00
2025-01-26,regular,Kachmazov A.,Moro Canas A.,,,1.69,,2.17
