date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-23,regular,Muller A.,Baez S.,0,2,2.13,,1.74
2025-02-23,regular,Comesana F.,Muller A.,1,2,2.49,,1.56
2025-02-22,regular,Baez S.,Ugo Carabelli C.,2,1,1.38,,3.15
2025-02-22,regular,Cerundolo F.,Muller A.,0,2,1.49,,2.70
2025-02-22,regular,Zverev A.,Comesana F.,1,2,1.14,,6.05
2025-02-21,regular,Baez S.,Tseng C. H.,2,0,1.36,,3.20
2025-02-21,regular,Ugo Carabelli C.,Faria J.,2,0,1.63,,2.33
2025-02-21,regular,Muller A.,Etcheverry T. M.,2,0,2.66,,1.49
2025-02-21,regular,Cerundolo F.,Darderi L.,2,1,1.30,,3.55
2025-02-20,regular,Ugo Carabelli C.,Dzumhur D.,2,0,1.61,,2.34
2025-02-20,regular,Munar J.,Faria J.,1,2,1.36,,3.09
2025-02-20,regular,Monteiro T.,Tseng C. H.,1,2,1.45,,2.82
2025-02-20,regular,Zverev A.,Shevchenko A.,2,0,1.08,,8.80
2025-02-20,regular,Baez S.,Navone M.,2,1,2.09,,1.77
2025-02-19,regular,Comesana F.,Jarry N.,2,1,2.48,,1.56
2025-02-19,regular,Fonseca J.,Muller A.,0,2,1.19,,4.81
2025-02-19,regular,Martinez P.,Ugo Carabelli C.,1,2,1.63,,2.33
2025-02-19,regular,Zverev A.,Bu Y.,2,0,1.03,,13.11
2025-02-19,regular,Cerundolo F.,Gaston H.,2,0,1.16,,5.48
2025-02-19,regular,Barrios Vera T.,Faria J.,0,2,1.61,,2.34
2025-02-19,regular,Navone M.,Carballes Baena R.,2,0,1.58,,2.42
2025-02-18,regular,Baez S.,Burruchaga R. A.,2,0,1.37,,3.23
2025-02-18,regular,Baez S.,Nagal S.,,,1.22,,4.49
2025-02-18,regular,Darderi L.,Dellien H.,,,1.93,,1.89
2025-02-18,regular,Lajovic D.,Dzumhur D.,0,2,1.46,,2.79
2025-02-18,regular,Moutet C.,Etcheverry T. M.,0,2,3.09,,1.38
2025-02-18,regular,Barrios Vera T.,Musetti L.,,,,,
2025-02-18,regular,Martinez P.,Davidovich Fokina A.,,,,,
2025-02-18,regular,Munar J.,Seyboth Wild T.,2,1,1.71,,2.17
2025-02-18,regular,Tseng C. H.,Tabilo A.,2,0,3.72,,1.29
2025-02-18,regular,Diaz Acosta F.,Monteiro T.,1,2,1.96,,1.88
2025-02-18,regular,Heide G.,Comesana F.,1,2,2.21,,1.68
2025-02-17,regular,Cerundolo J. M.,Jarry N.,1,2,2.90,,1.42
2025-02-17,regular,Shevchenko A.,Meligeni Alves F.,2,0,2.12,,1.74
2025-02-16,regular,Ugo Carabelli C.,Barrios Vera T.,1,2,1.65,,2.21
2025-02-16,regular,Dellien H.,Burruchaga R. A.,2,1,1.62,,2.28
2025-02-16,regular,Faria J.,Cerundolo J. M.,1,2,2.31,,1.61
2025-02-16,regular,Trungelliti M.,Tseng C. H.,1,2,1.83,,1.96
2025-02-16,regular,Dellien H.,Ficovich J. P.,2,0,1.40,,2.89
2025-02-16,regular,Reis Da Silva J.,Tseng C. H.,1,2,3.15,,1.34
2025-02-16,regular,Ugo Carabelli C.,Sell K.,2,1,1.31,,3.39
2025-02-15,regular,Hanfmann Y.,Trungelliti M.,0,2,1.66,,2.21
2025-02-15,regular,Faria J.,Alves M.,2,0,1.52,,2.52
2025-02-15,regular,Barrios Vera T.,Garin C.,2,0,2.28,,1.63
2025-02-15,regular,Burruchaga R. A.,Coria F.,2,1,1.93,,1.87
2025-02-15,regular,Cerundolo J. M.,Tirante T. A.,2,0,1.54,,2.48
2025-02-18,regular,Barrios Vera T.,Faria J.,0,2,1.61,,2.34
2025-02-18,regular,Navone M.,Carballes Baena R.,2,0,1.58,,2.42
2025-02-17,regular,Heide G.,Comesana F.,1,2,2.21,,1.68
2025-02-15,regular,Dellien H.,Ficovich J. P.,2,0,1.40,,2.89
2025-02-15,regular,Reis Da Silva J.,Tseng C. H.,1,2,3.15,,1.34
2025-02-15,regular,Ugo Carabelli C.,Sell K.,2,1,1.31,,3.39
