date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-03-03,regular,Djere L.,Baez S.,2,1,2.22,,1.69
2025-03-02,regular,Baez S.,Ugo Carabelli C.,2,1,1.41,,3.00
2025-03-02,regular,Cerundolo F.,Djere L.,1,2,1.64,,2.30
2025-03-01,regular,Dzumhur D.,Baez S.,0,2,3.84,,1.27
2025-03-01,regular,Ugo Carabelli C.,Coria F.,2,0,1.74,,2.13
2025-02-28,regular,Cerundolo F.,Etcheverry T. M.,2,1,1.89,,1.94
2025-02-28,regular,Djere L.,Faria J.,2,1,1.31,,3.59
2025-02-28,regular,Coria F.,Tabilo A.,2,1,2.36,,1.61
2025-02-28,regular,Ugo Carabelli C.,Monteiro T.,2,1,1.93,,1.90
2025-02-27,regular,Comesana F.,Baez S.,1,2,3.08,,1.39
2025-02-27,regular,Navone M.,Dzumhur D.,1,2,1.21,,4.63
2025-02-27,regular,Garin C.,Etcheverry T. M.,0,2,2.89,,1.44
2025-02-26,regular,Cerundolo F.,Hanfmann Y.,2,1,1.36,,3.20
2025-02-26,regular,Meligeni Alves F.,Comesana F.,0,2,3.61,,1.29
2025-02-26,regular,Coria F.,Barrios Vera T.,2,0,1.29,,3.61
2025-02-26,regular,Martinez P.,Djere L.,0,2,2.69,,1.49
2025-02-26,regular,Heide G.,Faria J.,1,2,1.86,,1.97
2025-02-26,regular,Navone M.,Shevchenko A.,2,0,1.34,,3.30
2025-02-25,regular,Faria J.,Darderi L.,2,0,2.44,,1.56
2025-02-25,regular,Jarry N.,Ugo Carabelli C.,1,2,1.45,,2.78
2025-02-25,regular,Cerundolo J. M.,Monteiro T.,1,2,1.96,,1.87
2025-02-25,regular,Moutet C.,Dzumhur D.,1,2,1.47,,2.72
2025-02-25,regular,Gaston H.,Etcheverry T. M.,0,2,4.24,,1.24
2025-02-25,regular,Garin C.,Ficovich J. P.,2,1,1.53,,2.54
2025-02-25,regular,Heide G.,Seyboth Wild T.,2,0,2.42,,1.58
2025-02-24,regular,Buse I.,Djere L.,0,2,4.77,,1.19
2025-02-24,regular,Hanfmann Y.,Diaz Acosta F.,2,0,2.31,,1.63
2025-02-23,regular,Cerundolo J. M.,Luz O.,2,0,1.17,,5.02
2025-02-23,regular,Tirante T. A.,Heide G.,1,2,2.19,,1.67
2025-02-23,regular,Burruchaga R. A.,Ficovich J. P.,1,2,1.69,,2.19
2025-02-23,regular,Meligeni Alves F.,Varillas J. P.,2,0,2.39,,1.58
2025-02-22,regular,Cerundolo J. M.,Soto M.,2,0,1.27,,3.73
2025-02-22,regular,Olivieri G. A.,Heide G.,0,2,3.31,,1.32
2025-02-22,regular,Seggerman R.,Luz O.,0,2,2.13,,1.68
2025-02-22,regular,Seggerman R.,Mena F.,,,4.07,,1.24
2025-02-22,regular,Meligeni Alves F.,Malla B.,2,0,1.23,,4.18
2025-02-22,regular,Tirante T. A.,Martin Tiffon P.,2,0,1.69,,2.15
2025-02-22,regular,Burruchaga R. A.,Feldbausch K.,2,1,1.34,,3.23
2025-02-22,regular,Vallejo D.,Ficovich J. P.,0,2,1.90,,1.90
2025-02-22,regular,Nava E.,Varillas J. P.,0,2,2.10,,1.73
2025-03-01,regular,Cerundolo F.,Djere L.,1,2,1.64,,2.30
2025-02-27,regular,Ugo Carabelli C.,Monteiro T.,2,1,1.93,,1.90
2025-02-25,regular,Navone M.,Shevchenko A.,2,0,1.34,,3.30
