date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-26,regular,Taberner C.,Darderi L.,0,2,2.77,,1.44
2025-07-25,regular,Taberner C.,Dzumhur D.,2,0,1.97,,1.82
2025-07-25,regular,Ugo Carabelli C.,Darderi L.,0,2,3.30,,1.33
2025-07-24,regular,Dzumhur D.,Droguet T.,2,1,1.88,,1.92
2025-07-24,regular,Prizmic D.,Darderi L.,1,2,2.46,,1.54
2025-07-24,regular,Taberner C.,De Jong J.,2,0,2.91,,1.41
2025-07-24,regular,Llamas Ruiz P.,Ugo Carabelli C.,,,1.82,,1.97
2025-07-23,regular,Dzumhur D.,Wawrinka S.,2,0,1.51,,2.55
2025-07-23,regular,Tseng C. H.,Darderi L.,0,2,3.22,,1.35
2025-07-23,regular,Basilashvili N.,Prizmic D.,1,2,2.55,,1.51
2025-07-23,regular,Droguet T.,Kopriva V.,2,0,2.17,,1.68
2025-07-23,regular,Cerundolo F.,Taberner C.,1,2,1.16,,5.07
2025-07-23,regular,De Jong J.,Navone M.,2,0,2.76,,1.44
2025-07-22,regular,Prizmic D.,Moller E.,2,0,1.66,,2.18
2025-07-22,regular,De Jong J.,Poljicak M.,2,0,1.30,,3.43
2025-07-22,regular,Llamas Ruiz P.,Atmane T.,2,0,1.45,,2.71
2025-07-22,regular,Passaro F.,Ugo Carabelli C.,1,2,1.93,,1.85
2025-07-21,regular,Guillen Meza A.,Wawrinka S.,0,2,2.50,,1.52
2025-07-21,regular,Barrios Vera T.,Navone M.,0,2,3.97,,1.24
2025-07-21,regular,Carballes Baena R.,Basilashvili N.,0,2,2.11,,1.72
2025-07-21,regular,Droguet T.,Garin C.,2,0,2.19,,1.67
2025-07-21,regular,Lajovic D.,Atmane T.,0,2,1.44,,2.76
2025-07-21,regular,Majchrzak K.,Llamas Ruiz P.,0,2,1.60,,2.34
2025-07-21,regular,Taberner C.,Herbert P.,2,0,1.50,,2.56
2025-07-21,regular,Tseng C. H.,Zeppieri G.,2,0,2.09,,1.72
2025-07-20,regular,Dodig M.,Passaro F.,1,2,2.65,,1.47
2025-07-20,regular,Mikrut L.,Guillen Meza A.,0,2,1.45,,2.63
2025-07-20,regular,Collignon R.,Kopriva V.,1,2,1.99,,1.79
2025-07-20,regular,Pellegrino A.,Llamas Ruiz P.,0,2,1.98,,1.77
2025-07-20,regular,Gaubas V.,Droguet T.,1,2,1.83,,1.91
2025-07-20,regular,Zeppieri G.,van Assche L.,2,0,1.67,,2.14
2025-07-19,regular,McDonald N.,Droguet T.,0,2,7.94,,1.06
2025-07-19,regular,Trungelliti M.,Mikrut L.,0,2,1.64,,2.19
2025-07-19,regular,Pellegrino A.,Sachko V.,2,1,1.28,,3.51
2025-07-19,regular,Guillen Meza A.,Blanchet U.,2,1,2.05,,1.72
2025-07-19,regular,Cecchinato M.,van Assche L.,0,2,2.30,,1.59
2025-07-19,regular,Coria F.,Zeppieri G.,0,2,2.71,,1.44
2025-07-19,regular,Gaubas V.,Arnaboldi F.,2,0,1.30,,3.32
2025-07-19,regular,Llamas Ruiz P.,Jacquet K.,2,1,1.83,,1.92
