date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-01-11,regular,Pegula J.,Keys M.,1,2,1.97,,1.82
2025-01-10,regular,Pegula J.,Putintseva Y.,2,0,1.48,,2.64
2025-01-10,regular,Keys M.,Samsonova L.,,,1.34,,3.27
2025-01-09,regular,Putintseva Y.,Shnaider D.,2,1,1.63,,2.27
2025-01-09,regular,Keys M.,Kasatkina D.,2,0,1.44,,2.75
2025-01-09,regular,Pegula J.,Krueger A.,,,1.39,,2.98
2025-01-09,regular,Samsonova L.,Navarro E.,2,0,2.22,,1.66
2025-01-08,regular,Jones E.,Kasatkina D.,0,2,4.84,,1.18
2025-01-08,regular,Jabeur O.,Putintseva Y.,0,2,2.09,,1.73
2025-01-08,regular,Ostapenko J.,Keys M.,1,2,3.48,,1.32
2025-01-08,regular,Vondrousova M.,Shnaider D.,,,2.25,,1.65
2025-01-08,regular,Krueger A.,Badosa P.,2,1,2.71,,1.46
2025-01-08,regular,Bencic B.,Samsonova L.,1,2,1.52,,2.53
2025-01-08,regular,Pegula J.,Sakkari M.,2,0,1.61,,2.32
2025-01-08,regular,Alexandrova E.,Navarro E.,0,2,2.33,,1.60
2025-01-07,regular,Collins D.,Jabeur O.,0,2,2.08,,1.75
2025-01-07,regular,Kalinskaya A.,Bencic B.,,,2.38,,1.59
2025-01-07,regular,Kostyuk M.,Krueger A.,1,2,1.82,,2.00
2025-01-07,regular,Siniakova K.,Shnaider D.,1,2,2.57,,1.51
2025-01-07,regular,Ostapenko J.,Frech M.,2,1,1.69,,2.18
2025-01-07,regular,Bouzkova M.,Samsonova L.,1,2,1.70,,2.17
2025-01-07,regular,Noskova L.,Sakkari M.,0,2,1.51,,2.58
2025-01-07,regular,Haddad Maia B.,Keys M.,0,2,2.75,,1.45
2025-01-07,regular,Noskova L.,Andreeva M.,,,,,
2025-01-06,regular,Stearns P.,Badosa P.,1,2,2.53,,1.52
2025-01-06,regular,Pavlyuchenkova A.,Vondrousova M.,1,2,2.00,,1.81
2025-01-06,regular,Gadecki O.,Kasatkina D.,0,2,3.59,,1.29
2025-01-06,regular,Fernandez L.,Alexandrova E.,1,2,1.33,,3.33
2025-01-06,regular,Wang Xin.,Jones E.,0,2,1.17,,5.10
2025-01-06,regular,Vekic D.,Putintseva Y.,0,2,2.18,,1.68
2025-01-05,regular,Siniakova K.,Krueger A.,2,1,2.00,,1.77
2025-01-05,regular,Bouzkova M.,Niemeier J.,2,1,1.32,,3.31
2025-01-05,regular,Siegemund L.,Bencic B.,0,2,4.06,,1.23
2025-01-05,regular,Wang Xin.,Rakhimova K.,2,0,1.46,,2.60
2025-01-05,regular,Fernandez L.,Begu I.,2,0,1.28,,3.55
2025-01-05,regular,Sakkari M.,Stearns P.,1,2,1.88,,1.86
2025-01-04,regular,Siniakova K.,Bucsa C.,2,0,1.50,,2.58
2025-01-04,regular,Tomljanovic A.,Krueger A.,0,2,2.56,,1.50
2025-01-04,regular,Bouzkova M.,da Silva Fick G.,2,1,1.04,,10.73
2025-01-04,regular,Guo H.,Siegemund L.,0,2,3.53,,1.30
2025-01-04,regular,Pavlyuchenkova A.,Siegemund L.,,,1.71,,2.19
2025-01-04,regular,Cristian J.,Rakhimova K.,1,2,2.11,,1.71
2025-01-04,regular,Bencic B.,Uchijima M.,2,0,1.33,,3.29
2025-01-04,regular,Niemeier J.,Cirstea S.,2,0,2.20,,1.66
2025-01-04,regular,Fernandez L.,Burrage J.,2,0,1.19,,4.60
2025-01-04,regular,McPhee K.,Begu I.,0,2,6.89,,1.09
2025-01-04,regular,Helgo M.,Stearns P.,0,2,9.29,,1.04
2025-01-04,regular,Wang Xin.,Maria T.,2,0,1.36,,3.00
2025-01-04,regular,Sakkari M.,Zheng S.,,,1.23,,3.99
