date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-03-02,regular,Pegula J.,Kessler M.,2,0,1.35,,3.30
2025-03-01,regular,Minnen G.,Kessler M.,0,2,2.58,,1.52
2025-03-01,regular,Pegula J.,Tomljanovic A.,2,1,1.13,,6.15
2025-03-01,regular,Minnen G.,Dolehide C.,2,0,1.87,,1.95
2025-03-01,regular,Kessler M.,Cirstea S.,2,1,1.68,,2.20
2025-02-28,regular,Pegula J.,Blinkova A.,2,0,1.18,,4.89
2025-02-28,regular,Shibahara E.,Tomljanovic A.,1,2,2.55,,1.52
2025-02-28,regular,Dolehide C.,Gracheva V.,2,1,1.90,,1.91
2025-02-28,regular,Lamens S.,Minnen G.,0,2,1.88,,1.94
2025-02-27,regular,Kessler M.,Bucsa C.,2,1,1.40,,2.97
2025-02-27,regular,Cirstea S.,Shnaider D.,2,1,2.64,,1.49
2025-02-27,regular,Birrell K.,Shibahara E.,1,2,1.52,,2.57
2025-02-26,regular,Burrage J.,Tomljanovic A.,1,2,2.78,,1.45
2025-02-26,regular,Pegula J.,Parrizas-Diaz N.,2,0,1.04,,11.43
2025-02-26,regular,Kessler M.,Golubic V.,2,0,1.32,,3.36
2025-02-26,regular,Maria T.,Blinkova A.,0,2,2.80,,1.44
2025-02-26,regular,Kessler M.,McNally C.,,,,,
2025-02-26,regular,Lamens S.,Rakhimova K.,2,1,1.58,,2.41
2025-02-26,regular,Cirstea S.,Siegemund L.,2,1,1.53,,2.44
2025-02-26,regular,Prozorova T.,Shnaider D.,1,2,2.65,,1.47
2025-02-26,regular,Minnen G.,Wei S.,2,1,1.82,,1.99
2025-02-25,regular,Gracheva V.,Stearns P.,2,0,2.96,,1.40
2025-02-25,regular,Zakharova A.,Dolehide C.,1,2,2.08,,1.76
2025-02-25,regular,Pegula J.,Rus A.,,,1.05,,10.36
2025-02-25,regular,Bucsa C.,Pera B.,2,0,1.83,,1.97
2025-02-25,regular,Juvan K.,Shibahara E.,1,2,1.81,,2.00
2025-02-25,regular,Kvitova P.,Burrage J.,1,2,2.02,,1.80
2025-02-25,regular,Maria T.,Bondar A.,2,1,1.79,,2.03
2025-02-25,regular,Blinkova A.,Uchijima M.,2,1,1.79,,2.04
2025-02-25,regular,Yuan Y.,Birrell K.,0,2,1.88,,1.93
2025-02-24,regular,Rapolu M.,Parrizas-Diaz N.,0,2,3.49,,1.31
2025-02-24,regular,Tomljanovic A.,Volynets K.,2,0,2.37,,1.58
2025-02-24,regular,Sawangkaew M.,Zakharova A.,0,2,1.76,,2.00
2025-02-24,regular,Bucsa C.,Inglis M.,2,0,1.72,,2.12
2025-02-24,regular,Wei S.,Inoue H.,2,0,1.40,,2.95
2025-02-24,regular,Hu V.,Juvan K.,0,2,3.22,,1.33
2025-02-24,regular,Marino R.,Prozorova T.,0,2,1.67,,2.11
2025-02-24,regular,Golubic V.,Shibahara E.,0,2,2.02,,2.48
2025-02-24,regular,Bucsa C.,Chang S.,2,0,1.12,,6.19
2025-02-24,regular,Sawangkaew M.,McHale C.,2,0,1.08,,7.50
2025-02-23,regular,Moore T.,Zakharova A.,0,2,13.77,,1.03
2025-02-23,regular,Jackson J.,Inglis M.,0,2,14.99,,1.02
2025-02-23,regular,Wei S.,Jones M.,2,0,1.09,,7.13
2025-02-23,regular,Inoue H.,Janicijevic S.,2,0,1.88,,1.90
2025-02-23,regular,Golubic V.,Burillo Escorihuela I.,2,0,1.08,,7.66
2025-02-23,regular,Juvan K.,Chirico L.,2,1,1.43,,2.74
2025-02-23,regular,Davis L.,Shibahara E.,0,2,1.66,,2.18
2025-02-23,regular,Prozorova T.,Selekhmeteva O.,2,0,1.67,,2.18
2025-02-23,regular,Stakusic M.,Hu V.,,,1.16,,5.21
2025-02-23,regular,Marino R.,Watson H.,2,0,1.43,,2.82
