date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-01-25,regular,Sabalenka A.,Keys M.,1,2,1.26,,3.95
2025-01-23,regular,Keys M.,Swiatek I.,2,1,4.99,,1.19
2025-01-23,regular,Sabalenka A.,Badosa P.,2,0,1.30,,3.62
2025-01-22,regular,Navarro E.,Swiatek I.,0,2,9.78,,1.07
2025-01-22,regular,Keys M.,Svitolina E.,2,1,1.54,,2.53
2025-01-21,regular,Sabalenka A.,Pavlyuchenkova A.,2,1,1.10,,7.47
2025-01-21,regular,Gauff C.,Badosa P.,0,2,1.27,,3.92
2025-01-20,regular,Lys E.,Swiatek I.,0,2,16.35,,1.02
2025-01-20,regular,Navarro E.,Kasatkina D.,2,1,1.91,,1.90
2025-01-20,regular,Rybakina E.,Keys M.,1,2,1.64,,2.27
2025-01-20,regular,Kudermetova V.,Svitolina E.,0,2,2.63,,1.48
2025-01-19,regular,Badosa P.,Danilovic O.,2,0,1.43,,2.92
2025-01-19,regular,Vekic D.,Pavlyuchenkova A.,0,2,1.80,,2.03
2025-01-19,regular,Gauff C.,Bencic B.,2,1,1.20,,4.57
2025-01-19,regular,Sabalenka A.,Andreeva M.,2,0,1.24,,4.16
2025-01-18,regular,Keys M.,Collins D.,2,0,1.38,,3.05
2025-01-18,regular,Svitolina E.,Paolini J.,2,1,2.11,,1.73
2025-01-18,regular,Haddad Maia B.,Kudermetova V.,0,2,1.91,,1.92
2025-01-18,regular,Rybakina E.,Yastremska D.,2,0,1.12,,6.56
2025-01-18,regular,Putintseva Y.,Kasatkina D.,0,2,1.67,,2.22
2025-01-18,regular,Lys E.,Cristian J.,2,1,1.51,,2.57
2025-01-18,regular,Raducanu E.,Swiatek I.,0,2,7.44,,1.09
2025-01-18,regular,Navarro E.,Jabeur O.,2,1,1.77,,2.06
2025-01-17,regular,Danilovic O.,Pegula J.,2,0,4.81,,1.18
2025-01-17,regular,Gauff C.,Fernandez L.,2,0,1.17,,5.05
2025-01-17,regular,Osaka N.,Bencic B.,,,1.68,,2.18
2025-01-17,regular,Frech M.,Andreeva M.,1,2,4.83,,1.18
2025-01-17,regular,Badosa P.,Kostyuk M.,2,1,1.43,,2.85
2025-01-17,regular,Sabalenka A.,Tauson C.,2,0,1.10,,7.26
2025-01-17,regular,Shnaider D.,Vekic D.,1,2,1.58,,2.40
2025-01-17,regular,Pavlyuchenkova A.,Siegemund L.,2,0,1.53,,2.51
2025-01-16,regular,Zarazua R.,Paolini J.,0,2,5.49,,1.15
2025-01-16,regular,Aiava D.,Collins D.,1,2,3.03,,1.39
2025-01-16,regular,Keys M.,Ruse G.,2,1,1.11,,6.59
2025-01-16,regular,Kudermetova V.,Boulter K.,2,1,2.21,,1.68
2025-01-16,regular,Svitolina E.,Dolehide C.,2,0,1.25,,3.98
2025-01-16,regular,Cristian J.,Bronzetti L.,2,0,2.23,,1.66
2025-01-16,regular,Haddad Maia B.,Andreeva E.,2,0,1.40,,2.96
2025-01-16,regular,Lys E.,Gracheva V.,2,1,1.58,,2.38
2025-01-16,regular,Rybakina E.,Jovic I.,2,0,1.05,,10.84
2025-01-16,regular,Putintseva Y.,Zhang S.,2,0,1.18,,5.00
2025-01-16,regular,Sramkova R.,Swiatek I.,0,2,15.38,,1.02
2025-01-16,regular,Navarro E.,Wang Xiy.,2,1,1.47,,2.68
2025-01-16,regular,Raducanu E.,Anisimova A.,2,0,2.34,,1.60
2025-01-16,regular,Kovinic D.,Yastremska D.,0,2,6.34,,1.12
2025-01-16,regular,Jabeur O.,Osorio C.,2,0,1.40,,3.01
2025-01-16,regular,Wang Y.,Kasatkina D.,0,2,5.41,,1.15
2025-01-15,regular,Badosa P.,Gibson T.,2,0,1.08,,8.45
2025-01-15,regular,Dart H.,Vekic D.,1,2,4.66,,1.20
2025-01-15,regular,Niemeier J.,Kostyuk M.,0,2,3.08,,1.38
