date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-28,regular,Pegula J.,Swiatek I.,2,0,2.80,,1.44
2025-06-27,regular,Pegula J.,Noskova L.,2,1,1.64,,2.25
2025-06-27,regular,Swiatek I.,Paolini J.,2,0,1.34,,3.34
2025-06-26,regular,Andreeva M.,Noskova L.,0,2,1.52,,2.54
2025-06-26,regular,Pegula J.,Navarro E.,2,1,1.57,,2.42
2025-06-26,regular,Alexandrova E.,Swiatek I.,0,2,2.26,,1.64
2025-06-26,regular,Haddad Maia B.,Paolini J.,0,2,2.17,,1.70
2025-06-25,regular,Andreeva M.,Tauson C.,2,1,1.46,,2.70
2025-06-25,regular,Noskova L.,Vekic D.,2,1,1.82,,2.00
2025-06-25,regular,Svitolina E.,Haddad Maia B.,1,2,1.32,,3.37
2025-06-25,regular,Alexandrova E.,Sakkari M.,2,1,1.30,,3.54
2025-06-24,regular,Osaka N.,Navarro E.,0,2,1.84,,1.96
2025-06-24,regular,Azarenka V.,Swiatek I.,0,2,3.18,,1.36
2025-06-24,regular,Pegula J.,Siniakova K.,2,0,1.62,,2.31
2025-06-24,regular,Fernandez L.,Paolini J.,0,2,2.25,,1.65
2025-06-24,regular,Krueger A.,Haddad Maia B.,0,2,2.04,,1.76
2025-06-24,regular,Wang Xin.,Haddad Maia B.,,,1.87,,1.93
2025-06-23,regular,Azarenka V.,Siegemund L.,2,0,1.29,,3.62
2025-06-23,regular,Osaka N.,Danilovic O.,2,0,1.44,,2.75
2025-06-23,regular,Kudermetova V.,Siniakova K.,0,2,2.12,,1.70
2025-06-23,regular,Samsonova L.,Siniakova K.,,,2.06,,1.77
2025-06-23,regular,Vekic D.,Shnaider D.,2,0,2.96,,1.40
2025-06-23,regular,Alexandrova E.,Bencic B.,2,0,1.39,,3.00
2025-06-23,regular,Frech M.,Tauson C.,1,2,2.25,,1.64
2025-06-23,regular,Tomljanovic A.,Noskova L.,0,2,2.19,,1.67
2025-06-22,regular,Svitolina E.,Mertens E.,2,0,1.95,,1.85
2025-06-22,regular,Fernandez L.,Maria T.,2,0,1.87,,1.92
2025-06-22,regular,Krueger A.,Siniakova K.,0,2,2.80,,1.42
2025-06-22,regular,Kostyuk M.,Navarro E.,0,2,2.08,,1.74
2025-06-22,regular,Lys E.,Tomljanovic A.,,,2.83,,1.40
2025-06-22,regular,Putintseva Y.,Sakkari M.,0,2,1.75,,2.06
2025-06-22,regular,Kudermetova V.,Azarenka V.,1,2,1.51,,2.52
2025-06-22,regular,Danilovic O.,Starodubtseva Y.,2,0,1.54,,2.42
2025-06-21,regular,Tan H.,Siniakova K.,0,2,4.60,,1.18
2025-06-21,regular,Cirstea S.,Tomljanovic A.,0,2,2.84,,1.40
2025-06-21,regular,Krueger A.,Timofeeva M.,2,1,1.08,,7.38
2025-06-21,regular,Lys E.,Konjuh A.,2,1,1.17,,4.66
2025-06-21,regular,Diatchenko V.,Starodubtseva Y.,1,2,3.39,,1.30
2025-06-21,regular,Danilovic O.,Schunk N.,2,0,1.17,,4.98
2025-06-21,regular,McNally C.,Azarenka V.,1,2,2.53,,1.50
2025-06-21,regular,Kudermetova V.,Rus A.,2,0,1.06,,8.75
