date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-11-17,regular,Mboko V.,Zarazua R.,2,0,1.25,,3.72
2025-11-17,regular,Branstine C.,Garcia J.,2,0,1.13,,5.95
2025-11-16,regular,Swiatek I.,Lee G.,2,0,1.01,,14.25
2025-11-16,regular,Waltert S.,Sierra S.,2,0,1.99,,1.77
2025-11-16,regular,Noskova L.,Ruzic A.,2,0,1.12,,5.77
2025-11-16,regular,Seidel E.,Vandewinkel H.,0,2,1.40,,2.78
2025-11-16,regular,Bandecchi S.,Riera J.,0,2,2.33,,1.57
2025-11-16,regular,Klimovicova L.,Bertea E. R.,2,0,1.31,,3.41
2025-11-16,regular,Bartunkova N.,Marcinko P.,0,2,2.25,,1.61
2025-11-16,regular,Friedsam A-L.,Vandromme J.,1,2,1.96,,2.00
2025-11-16,regular,Lamens S.,Yamalapalli S.,2,0,1.09,,6.76
2025-11-16,regular,Koevermans A.,Bhamidipaty S. R.,2,0,1.49,,2.59
2025-11-16,regular,Joint M.,Pigossi L.,2,1,1.18,,4.69
2025-11-16,regular,Mboko V.,Svendsen J. C.,2,0,1.05,,8.68
2025-11-16,regular,Brace C.,Munk Mortensen R.,1,2,1.27,,3.57
2025-11-15,regular,Sramkova R.,Waltert S.,0,2,2.20,,1.63
2025-11-15,regular,Lee G.,Tse E.,2,1,1.12,,5.85
2025-11-15,regular,Osorio C.,Ruzic A.,2,0,2.30,,1.58
2025-11-15,regular,Vandewinkel H.,Sonmez Z.,2,0,2.79,,1.42
2025-11-15,regular,Hruncakova V.,Bandecchi S.,2,0,1.68,,2.11
2025-11-15,regular,Bertea E. R.,Yang V.,2,0,1.13,,5.36
2025-11-15,regular,Lizarazo Y.,Marcinko P.,0,2,10.17,,1.04
2025-11-15,regular,Costoulas S.,Aksu A.,0,2,1.34,,3.20
2025-11-15,regular,Juvan K.,Yamalapalli S.,2,0,1.06,,8.26
2025-11-15,regular,Zidansek T.,Bhamidipaty S. R.,2,1,1.30,,3.49
2025-11-15,regular,Pigossi L.,Jorge F.,2,0,2.16,,1.67
2025-11-15,regular,Leme Da Silva N. V.,Jorge M.,2,0,2.22,,1.62
2025-11-15,regular,Zarazua R.,Svendsen J. C.,2,1,1.10,,6.48
2025-11-15,regular,Rodriguez V.,Munk Mortensen R.,0,2,1.63,,2.21
2025-11-14,regular,Swiatek I.,Tse E.,2,0,1.02,,13.09
2025-11-14,regular,Sramkova R.,Sierra S.,0,2,1.81,,1.92
2025-11-14,regular,Lys E.,Sonmez Z.,1,2,1.43,,2.68
2025-11-14,regular,Noskova L.,Osorio C.,2,0,1.25,,3.77
2025-11-14,regular,Seidel E.,Cengiz B.,2,0,1.10,,5.92
2025-11-14,regular,Hruncakova V.,Riera J.,0,2,2.26,,1.57
2025-11-14,regular,Kawa K.,Yang V.,2,0,1.11,,7.14
2025-11-14,regular,Bartunkova N.,Lizarazo Y.,2,0,1.06,,8.77
2025-11-14,regular,Lamens S.,Juvan K.,1,2,1.88,,1.86
2025-11-14,regular,Rus A.,Zidansek T.,0,2,1.64,,2.12
2025-11-14,regular,Joint M.,Jorge F.,2,0,1.17,,4.50
2025-09-21,regular,Paolini J.,Pegula J.,2,0,2.21,,1.63
2025-09-21,regular,Cocciaretto E.,Navarro E.,2,0,3.30,,1.30
2025-09-20,regular,Pegula J.,Boulter K.,2,1,1.23,,3.92
2025-09-20,regular,Navarro E.,Kartal S.,2,1,1.33,,3.24
2025-09-19,regular,Paolini J.,Svitolina E.,2,1,1.87,,1.88
2025-09-19,regular,Cocciaretto E.,Kostyuk M.,0,2,3.18,,1.34
2025-09-18,regular,Uchijima M.,Boulter K.,0,2,2.71,,1.44
2025-09-18,regular,Shibahara E.,Kartal S.,0,2,3.11,,1.33
2025-09-18,regular,Rybakina E.,Pegula J.,2,0,1.81,,1.93
