date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-01-05,regular,Sabalenka A.,Kudermetova P.,2,1,1.06,,9.56
2025-01-04,regular,Sabalenka A.,Andreeva M.,2,0,1.35,,3.19
2025-01-04,regular,Kudermetova P.,Kalinina A.,2,0,1.92,,1.88
2025-01-03,regular,Sabalenka A.,Bouzkova M.,2,0,1.10,,6.95
2025-01-03,regular,Krueger A.,Kudermetova P.,0,2,1.58,,2.38
2025-01-03,regular,Jabeur O.,Andreeva M.,0,2,3.52,,1.30
2025-01-03,regular,Kalinina A.,Birrell K.,2,1,1.72,,2.13
2025-01-02,regular,Sabalenka A.,Putintseva Y.,2,0,1.14,,5.69
2025-01-02,regular,Azarenka V.,Bouzkova M.,0,2,1.70,,2.13
2025-01-02,regular,Avanesyan E.,Jabeur O.,1,2,2.13,,1.70
2025-01-02,regular,Noskova L.,Andreeva M.,0,2,2.36,,1.58
2025-01-02,regular,Kalinina A.,Yuan Y.,2,0,2.20,,1.66
2025-01-02,regular,Kudermetova P.,Kasatkina D.,2,1,2.46,,1.54
2025-01-02,regular,Krueger A.,Lamens S.,2,0,1.57,,2.38
2025-01-02,regular,Potapova A.,Birrell K.,0,2,1.51,,2.56
2025-01-01,regular,Noskova L.,Todoni A. A.,2,0,1.43,,2.81
2025-01-01,regular,Azarenka V.,Joint M.,2,1,1.37,,3.09
2025-01-01,regular,Yuan Y.,Kostyuk M.,2,0,2.68,,1.46
2025-01-01,regular,Lamens S.,Frech M.,2,0,2.37,,1.58
2025-01-01,regular,Stearns P.,Kasatkina D.,1,2,2.08,,1.75
2025-01-01,regular,Yastremska D.,Potapova A.,0,2,2.45,,1.56
2025-01-01,regular,Birrell K.,Navarro E.,2,0,4.86,,1.18
2025-01-01,regular,Samsonova L.,Kudermetova P.,1,2,1.64,,2.28
2024-12-31,regular,Shnaider D.,Kalinina A.,1,2,1.17,,4.97
2024-12-31,regular,Jabeur O.,Alexandrova E.,2,0,1.94,,1.85
2024-12-31,regular,Bouzkova M.,Ostapenko J.,2,0,1.63,,2.26
2024-12-31,regular,Blinkova A.,Andreeva M.,0,2,4.41,,1.21
2024-12-31,regular,Sabalenka A.,Zarazua R.,2,0,1.02,,16.07
2024-12-31,regular,Kalinskaya A.,Krueger A.,0,2,1.62,,2.28
2024-12-31,regular,Badosa P.,Avanesyan E.,1,2,1.24,,4.04
2024-12-31,regular,Kessler M.,Putintseva Y.,0,2,2.78,,1.43
2024-12-30,regular,Jabeur O.,Zheng S.,2,0,1.07,,8.70
2024-12-30,regular,Potapova A.,Bogdan A.,,,1.91,,1.88
2024-12-30,regular,Yuan Y.,Rus A.,2,0,1.57,,2.37
2024-12-30,regular,Todoni A. A.,Bucsa C.,2,0,1.40,,2.94
2024-12-30,regular,Wang Xin.,Kudermetova P.,0,2,1.71,,2.12
2024-12-30,regular,Kalinina A.,Wang Y.,,,2.09,,1.75
2024-12-30,regular,Kudermetova V.,Stearns P.,0,2,1.89,,1.90
2024-12-30,regular,Hon P.,Birrell K.,1,2,1.81,,2.00
2024-12-29,regular,Linette M.,Kessler M.,0,2,1.69,,2.17
2024-12-29,regular,Bouzkova M.,Gibson T.,2,1,1.20,,4.45
2024-12-29,regular,Blinkova A.,Bejlek S.,2,0,2.17,,1.67
2024-12-29,regular,Avanesyan E.,Sramkova R.,2,1,2.05,,1.78
2024-12-29,regular,Tomova V.,Zarazua R.,0,2,2.20,,1.69
2024-12-29,regular,Inglis M.,Joint M.,0,2,2.23,,1.66
2024-12-29,regular,Krueger A.,Uchijima M.,2,1,1.31,,3.49
2024-12-29,regular,Rakhimova K.,Lamens S.,0,2,1.99,,1.82
2024-12-28,regular,Bogdan A.,Arango E.,2,0,1.27,,3.59
2024-12-28,regular,Hon P.,Guo H.,2,0,1.29,,3.56
2024-12-28,regular,Sorribes Tormo S.,Bejlek S.,,,2.03,,1.76
2024-12-28,regular,Sonmez Z.,Kudermetova P.,0,2,1.78,,2.02
2024-12-28,regular,Sobolieva A.,Inglis M.,0,2,2.82,,1.42
2024-12-28,regular,Schmiedlova A. K.,Todoni A. A.,0,2,2.71,,1.45
2024-12-27,regular,Dart H.,Hon P.,0,2,1.73,,2.08
2024-12-27,regular,Bogdan A.,Rodionova Ar.,2,0,1.37,,3.03
2024-12-27,regular,Arango E.,Watson H.,2,0,2.83,,1.42
2024-12-27,regular,Sharma A.,Kudermetova P.,0,2,2.93,,1.38
2024-12-27,regular,Smith T. N.,Bejlek S.,0,2,7.13,,1.08
2024-12-27,regular,Sorribes Tormo S.,Kokkinis T.,2,0,1.02,,15.89
2024-12-27,regular,Hercog P.,Lys E.,,,7.69,,1.07
2024-12-27,regular,Sonmez Z.,Makarova E.,2,0,1.16,,5.30
2024-12-27,regular,Schmiedlova A. K.,Ercan M.,2,0,1.17,,4.81
2024-12-27,regular,Saville D.,Sobolieva A.,1,2,1.17,,5.01
2024-12-27,regular,Bjorklund M.,Todoni A. A.,0,2,4.81,,1.18
2024-12-27,regular,Bonaventure Y.,Inglis M.,0,2,3.51,,1.30
