date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-06,regular,Pegula J.,Kenin S.,2,0,1.57,,2.42
2025-04-05,regular,Anisimova A.,Kenin S.,,,1.60,,2.36
2025-04-05,regular,Pegula J.,Alexandrova E.,2,1,1.54,,2.51
2025-04-05,regular,Anisimova A.,Navarro E.,2,0,1.81,,2.02
2025-04-04,regular,Kenin S.,Kalinskaya A.,2,0,1.72,,2.13
2025-04-04,regular,Zheng Q.,Alexandrova E.,0,2,1.43,,2.82
2025-04-04,regular,Pegula J.,Collins D.,2,1,1.49,,2.64
2025-04-04,regular,Kasatkina D.,Kenin S.,0,2,1.72,,2.12
2025-04-04,regular,Kalinskaya A.,Keys M.,2,0,3.54,,1.30
2025-04-03,regular,Zheng Q.,Mertens E.,2,1,1.31,,3.47
2025-04-03,regular,Pegula J.,Tomljanovic A.,2,0,1.14,,5.48
2025-04-03,regular,Ostapenko J.,Collins D.,0,2,2.38,,1.59
2025-04-03,regular,Krueger A.,Navarro E.,1,2,2.75,,1.45
2025-04-03,regular,Alexandrova E.,Shnaider D.,2,0,2.15,,1.70
2025-04-03,regular,Anisimova A.,Putintseva Y.,2,0,1.43,,2.81
2025-04-03,regular,Gracheva V.,Mertens E.,0,2,2.73,,1.46
2025-04-03,regular,Zheng Q.,Sakkari M.,2,0,1.28,,3.68
2025-04-02,regular,Krueger A.,Volynets K.,2,0,1.80,,2.01
2025-04-02,regular,Tomljanovic A.,Stearns P.,2,0,2.67,,1.47
2025-04-02,regular,Pegula J.,Shymanovich I.,2,0,1.05,,10.06
2025-04-02,regular,Kenin S.,Bencic B.,2,0,2.70,,1.47
2025-04-02,regular,Zhang S.,Putintseva Y.,0,2,5.77,,1.14
2025-04-02,regular,Alexandrova E.,Li A.,2,0,1.72,,2.13
2025-04-02,regular,Baptiste H.,Navarro E.,0,2,3.50,,1.30
2025-04-02,regular,Ostapenko J.,Chirico L.,2,0,1.17,,5.14
2025-04-02,regular,Kasatkina D.,Davis L.,2,0,1.17,,5.18
2025-04-02,regular,Kalinskaya A.,McNally C.,2,0,1.84,,1.96
2025-04-02,regular,Kudermetova P.,Shnaider D.,0,2,3.15,,1.36
2025-04-02,regular,Anisimova A.,Kudermetova V.,2,0,1.48,,2.65
2025-04-02,regular,Montgomery R.,Collins D.,0,2,3.94,,1.25
2025-04-01,regular,Zhang S.,Bronzetti L.,2,1,3.52,,1.30
2025-04-01,regular,Dolehide C.,Keys M.,0,2,4.90,,1.18
2025-04-01,regular,Gadecki O.,Baptiste H.,0,2,3.67,,1.29
2025-04-01,regular,Chirico L.,Andreeva E.,2,1,2.37,,1.57
2025-04-01,regular,Li A.,Blinkova A.,2,0,1.73,,2.09
2025-04-01,regular,Kenin S.,Pera B.,2,0,1.34,,3.19
2025-04-01,regular,Davis L.,Loeb J.,2,1,1.22,,4.34
2025-04-01,regular,Watson H.,Shymanovich I.,0,2,2.15,,1.71
2025-04-01,regular,Sakkari M.,Stakusic M.,2,0,1.18,,4.76
2025-04-01,regular,Bencic B.,Andreeva E.,,,,,
2025-03-31,regular,Tomljanovic A.,Okamura K.,2,1,1.21,,4.39
2025-03-31,regular,Mateas M.,Kudermetova V.,0,2,6.80,,1.11
2025-03-31,regular,Kudermetova P.,Begu I.,2,0,3.00,,1.39
2025-03-31,regular,Kalinina A.,McNally C.,1,2,2.12,,1.72
2025-03-31,regular,Volynets K.,Sebov K.,2,0,1.21,,4.48
2025-03-31,regular,Dolehide C.,Cocciaretto E.,2,0,1.81,,2.01
2025-03-31,regular,Dart H.,Gracheva V.,1,2,3.41,,1.32
2025-03-31,regular,Tomova V.,Montgomery R.,0,2,1.67,,2.20
2025-03-30,regular,Zhang S.,Mattek-Sands B.,2,1,1.23,,3.97
2025-03-30,regular,Hozumi E.,Loeb J.,1,2,4.21,,1.21
