date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-08-19,regular,Swiatek I.,Paolini J.,2,0,1.14,,5.64
2025-08-17,regular,Kudermetova V.,Paolini J.,1,2,1.98,,1.82
2025-08-17,regular,Rybakina E.,Swiatek I.,0,2,2.35,,1.60
2025-08-16,regular,Paolini J.,Gauff C.,2,1,2.78,,1.45
2025-08-15,regular,Gracheva V.,Kudermetova V.,0,2,2.95,,1.40
2025-08-15,regular,Sabalenka A.,Rybakina E.,0,2,1.59,,2.35
2025-08-15,regular,Swiatek I.,Kalinskaya A.,2,0,1.18,,4.83
2025-08-15,regular,Kudermetova V.,Linette M.,2,0,1.59,,2.36
2025-08-14,regular,Seidel E.,Gracheva V.,1,2,2.33,,1.60
2025-08-14,regular,Paolini J.,Krejcikova B.,2,0,1.73,,2.11
2025-08-14,regular,Bronzetti L.,Gauff C.,0,2,7.14,,1.10
2025-08-14,regular,Alexandrova E.,Kalinskaya A.,1,2,1.52,,2.52
2025-08-14,regular,Sabalenka A.,Bouzas Maneiro J.,2,0,1.12,,6.13
2025-08-14,regular,Rybakina E.,Keys M.,2,1,1.63,,2.26
2025-08-13,regular,Linette M.,Pegula J.,2,1,3.53,,1.30
2025-08-13,regular,Tauson C.,Kudermetova V.,1,2,1.63,,2.27
2025-08-13,regular,Swiatek I.,Cirstea S.,2,0,1.03,,11.03
2025-08-13,regular,Bronzetti L.,Ostapenko J.,2,1,2.94,,1.40
2025-08-13,regular,Gracheva V.,Muchova K.,2,0,3.20,,1.34
2025-08-12,regular,Yastremska D.,Gauff C.,,,3.73,,1.27
2025-08-12,regular,Paolini J.,Krueger A.,2,0,1.48,,2.63
2025-08-12,regular,Jovic I.,Krejcikova B.,1,2,2.18,,1.67
2025-08-12,regular,Seidel E.,Kessler M.,2,1,3.52,,1.30
2025-08-12,regular,Rybakina E.,Mertens E.,2,1,1.39,,2.97
2025-08-12,regular,Ito A.,Keys M.,0,2,4.33,,1.22
2025-08-11,regular,Kalinskaya A.,Anisimova A.,2,0,2.73,,1.44
2025-08-11,regular,Sabalenka A.,Raducanu E.,2,1,1.34,,3.29
2025-08-11,regular,Cirstea S.,Yuan Y.,2,1,1.74,,2.07
2025-08-11,regular,Alexandrova E.,Joint M.,2,0,1.63,,2.28
2025-08-11,regular,Bouzas Maneiro J.,Townsend T.,2,0,2.11,,1.72
2025-08-11,regular,Swiatek I.,Kostyuk M.,,,,,
2025-08-11,regular,Garcia C.,Muchova K.,0,2,3.64,,1.28
2025-08-11,regular,Krejcikova B.,Svitolina E.,2,1,3.36,,1.32
2025-08-11,regular,Kenin S.,Gracheva V.,1,2,1.65,,2.23
2025-08-11,regular,McNally C.,Kessler M.,0,2,1.99,,1.81
2025-08-10,regular,Noskova L.,Jovic I.,0,2,1.41,,2.92
2025-08-10,regular,Birrell K.,Pegula J.,0,2,5.16,,1.16
2025-08-10,regular,Kasatkina D.,Bronzetti L.,1,2,1.36,,3.09
2025-08-10,regular,Osorio C.,Ostapenko J.,,,2.61,,1.48
2025-08-10,regular,Wang Xin.,Gauff C.,0,2,4.15,,1.23
2025-08-10,regular,Tauson C.,Tomljanovic A.,2,1,1.27,,3.75
2025-08-10,regular,Navarro E.,Seidel E.,1,2,1.19,,4.59
2025-08-10,regular,Linette M.,Sramkova R.,2,0,1.82,,1.98
2025-08-10,regular,Kudermetova V.,Bencic B.,2,0,2.18,,1.67
2025-08-10,regular,Paolini J.,Sakkari M.,2,0,1.89,,1.90
2025-08-10,regular,Sevastova A.,Krueger A.,1,2,2.14,,1.70
2025-08-10,regular,Yastremska D.,Tomova V.,2,1,1.33,,3.27
2025-08-10,regular,Jeanjean L.,Anisimova A.,,,5.99,,1.13
2025-08-10,regular,Sabalenka A.,Vondrousova M.,2,0,1.39,,2.96
2025-08-10,regular,Kalinskaya A.,Stearns P.,2,1,1.68,,2.18
