date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-22,regular,Tauson C.,Andreeva M.,0,2,2.29,,1.63
2025-02-21,regular,Tauson C.,Muchova K.,2,1,2.21,,1.68
2025-02-21,regular,Rybakina E.,Andreeva M.,1,2,1.82,,2.00
2025-02-20,regular,Muchova K.,Cirstea S.,2,0,1.30,,3.43
2025-02-20,regular,Rybakina E.,Kenin S.,2,0,1.39,,2.98
2025-02-20,regular,Tauson C.,Noskova L.,2,0,2.31,,1.63
2025-02-20,regular,Andreeva M.,Swiatek I.,2,0,2.89,,1.42
2025-02-19,regular,Cirstea S.,Navarro E.,2,1,3.03,,1.39
2025-02-19,regular,Sabalenka A.,Tauson C.,0,2,1.17,,5.01
2025-02-19,regular,Kessler M.,Muchova K.,1,2,2.87,,1.41
2025-02-19,regular,Stearns P.,Andreeva M.,0,2,3.58,,1.30
2025-02-19,regular,Rybakina E.,Badosa P.,2,1,1.58,,2.38
2025-02-19,regular,Yastremska D.,Swiatek I.,0,2,5.87,,1.13
2025-02-19,regular,Noskova L.,Pegula J.,2,0,2.10,,1.73
2025-02-19,regular,Kenin S.,Paolini J.,2,0,2.69,,1.47
2025-02-19,regular,Vondrousova M.,Andreeva M.,0,2,2.21,,1.66
2025-02-19,regular,Bencic B.,Navarro E.,1,2,1.36,,3.14
2025-02-19,regular,Cirstea S.,Parks A.,2,1,1.97,,1.82
2025-02-19,regular,Zheng Q.,Stearns P.,1,2,1.41,,2.89
2025-02-18,regular,Tauson C.,Svitolina E.,2,1,2.36,,1.60
2025-02-18,regular,Raducanu E.,Muchova K.,0,2,3.12,,1.36
2025-02-18,regular,Sabalenka A.,Kudermetova V.,2,0,1.13,,6.01
2025-02-18,regular,Gauff C.,Kessler M.,0,2,1.22,,4.21
2025-02-18,regular,Potapova A.,Yastremska D.,0,2,1.54,,2.49
2025-02-18,regular,Azarenka V.,Swiatek I.,0,2,10.41,,1.05
2025-02-18,regular,Samsonova L.,Pegula J.,0,2,2.69,,1.47
2025-02-18,regular,Kenin S.,Kostyuk M.,2,1,2.52,,1.53
2025-02-18,regular,Shnaider D.,Noskova L.,1,2,2.55,,1.53
2025-02-18,regular,Mertens E.,Badosa P.,0,2,2.13,,1.73
2025-02-18,regular,Lys E.,Paolini J.,0,2,3.64,,1.30
2025-02-18,regular,Rybakina E.,Uchijima M.,2,0,1.08,,8.14
2025-02-17,regular,Avanesyan E.,Andreeva M.,0,2,3.41,,1.33
2025-02-17,regular,Jabeur O.,Stearns P.,0,2,1.40,,3.01
2025-02-17,regular,Alexandrova E.,Kudermetova V.,1,2,1.54,,2.51
2025-02-17,regular,Kessler M.,Anisimova A.,2,0,3.19,,1.36
2025-02-17,regular,Uchijima M.,Ostapenko J.,2,0,4.44,,1.22
2025-02-17,regular,Azarenka V.,Kalinina A.,2,1,1.64,,2.28
2025-02-17,regular,Sramkova R.,Tauson C.,0,2,2.27,,1.65
2025-02-17,regular,Kasatkina D.,Cirstea S.,0,2,1.21,,4.62
2025-02-17,regular,Siniakova K.,Kostyuk M.,0,2,2.66,,1.49
2025-02-17,regular,Lys E.,Begu I.,2,1,1.52,,2.58
2025-02-17,regular,Shnaider D.,Frech M.,2,0,1.51,,2.62
2025-02-17,regular,Haddad Maia B.,Potapova A.,0,2,2.33,,1.62
2025-02-16,regular,Sakkari M.,Raducanu E.,0,2,2.32,,1.63
2025-02-16,regular,Svitolina E.,Kalinskaya A.,2,0,1.45,,2.82
2025-02-16,regular,Lamens S.,Muchova K.,0,2,4.44,,1.22
2025-02-16,regular,Vondrousova M.,Garcia C.,2,0,1.31,,3.52
2025-02-16,regular,Samsonova L.,Pavlyuchenkova A.,2,0,2.00,,1.82
2025-02-16,regular,Bencic B.,Ito A.,2,0,1.13,,6.08
2025-02-16,regular,Noskova L.,Putintseva Y.,2,0,1.37,,3.09
