date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-28,regular,Joint M.,Eala A.,2,1,1.66,,2.22
2025-06-27,regular,Joint M.,Pavlyuchenkova A.,2,0,1.61,,2.33
2025-06-27,regular,Eala A.,Gracheva V.,2,1,1.45,,2.75
2025-06-26,regular,Pavlyuchenkova A.,Rakhimova K.,2,1,1.63,,2.28
2025-06-26,regular,Yastremska D.,Eala A.,0,2,1.58,,2.40
2025-06-26,regular,Blinkova A.,Joint M.,0,2,2.12,,1.74
2025-06-26,regular,Gracheva V.,Krejcikova B.,,,2.15,,1.72
2025-06-25,regular,Yastremska D.,Jones F.,2,0,1.44,,2.78
2025-06-25,regular,Eala A.,Ostapenko J.,,,2.61,,1.50
2025-06-25,regular,Rakhimova K.,Stearns P.,2,0,2.23,,1.66
2025-06-25,regular,Joint M.,Raducanu E.,2,1,3.12,,1.37
2025-06-25,regular,Sun L.,Blinkova A.,0,2,2.19,,1.68
2025-06-25,regular,Sramkova R.,Gracheva V.,0,2,1.48,,2.65
2025-06-25,regular,Birrell K.,Pavlyuchenkova A.,0,2,1.57,,2.41
2025-06-25,regular,Burrage J.,Krejcikova B.,1,2,2.54,,1.52
2025-06-24,regular,Xu M.,Stearns P.,0,2,2.90,,1.41
2025-06-24,regular,Kartal S.,Ostapenko J.,0,2,2.39,,1.57
2025-06-24,regular,Li A.,Raducanu E.,1,2,4.03,,1.24
2025-06-24,regular,Linette M.,Yastremska D.,,,2.10,,1.72
2025-06-24,regular,Sramkova R.,Cristian J.,2,0,1.51,,2.56
2025-06-24,regular,Burrage J.,Uchijima M.,2,0,1.58,,2.40
2025-06-24,regular,Kenin S.,Birrell K.,0,2,1.47,,2.69
2025-06-24,regular,Cocciaretto E.,Rakhimova K.,1,2,1.63,,2.27
2025-06-24,regular,Dart H.,Krejcikova B.,1,2,2.70,,1.46
2025-06-24,regular,Gracheva V.,Osorio C.,2,1,1.71,,2.12
2025-06-23,regular,Joint M.,Jabeur O.,2,0,3.02,,1.39
2025-06-23,regular,Kasatkina D.,Sun L.,1,2,1.34,,3.26
2025-06-23,regular,Jones F.,Minnen G.,2,0,3.27,,1.35
2025-06-23,regular,Blinkova A.,Bouzkova M.,2,1,2.04,,1.77
2025-06-23,regular,Bronzetti L.,Eala A.,0,2,3.36,,1.32
2025-06-23,regular,Pavlyuchenkova A.,Tomova V.,2,1,1.58,,2.37
2025-06-22,regular,Minnen G.,Zarazua R.,2,1,1.26,,3.70
2025-06-22,regular,Gracheva V.,Golubic V.,2,1,2.72,,1.43
2025-06-22,regular,Bondar A.,Birrell K.,0,2,3.77,,1.25
2025-06-22,regular,Baptiste H.,Eala A.,1,2,1.82,,1.94
2025-06-22,regular,Lamens S.,Cocciaretto E.,1,2,2.71,,1.44
2025-06-22,regular,Watson H.,Rakhimova K.,0,2,1.61,,2.27
2025-06-21,regular,Sherif M.,Golubic V.,0,2,4.35,,1.19
2025-06-21,regular,Dolehide C.,Gracheva V.,1,2,2.01,,1.75
2025-06-21,regular,Bondar A.,Knight M.,2,0,1.05,,8.30
2025-06-21,regular,Volynets K.,Birrell K.,0,2,2.26,,1.60
2025-06-21,regular,Stojsavljevic M.,Zarazua R.,0,2,2.64,,1.45
2025-06-21,regular,Minnen G.,Todoni A. A.,2,1,1.67,,2.13
2025-06-21,regular,Sonmez Z.,Eala A.,0,2,2.56,,1.48
2025-06-21,regular,Rakhimova K.,Pera B.,2,1,2.19,,1.64
2025-06-21,regular,Bouzas Maneiro J.,Watson H.,1,2,2.22,,1.62
2025-06-21,regular,Cocciaretto E.,Arango E.,2,0,1.25,,3.86
2025-06-21,regular,Baptiste H.,Yuan Y.,2,0,1.69,,2.13
2025-06-21,regular,Lamens S.,Klugman H.,2,0,1.24,,3.89
