date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-20,regular,Bondar A.,Boisson L.,0,2,2.54,,1.53
2025-07-19,regular,Boisson L.,Yastremska D.,2,0,2.16,,1.70
2025-07-19,regular,Bondar A.,Juvan K.,2,1,1.96,,1.84
2025-07-18,regular,Boisson L.,Tomova V.,2,0,1.58,,2.41
2025-07-18,regular,Alexandrova E.,Bondar A.,1,2,1.20,,4.55
2025-07-18,regular,Galfi D.,Yastremska D.,1,2,3.31,,1.33
2025-07-18,regular,Romero Gormaz L.,Juvan K.,1,2,2.58,,1.51
2025-07-17,regular,Alexandrova E.,Werner C.,2,0,1.07,,8.97
2025-07-17,regular,Parry D.,Yastremska D.,0,2,2.28,,1.61
2025-07-17,regular,Kraus S.,Bondar A.,0,2,2.71,,1.46
2025-07-17,regular,Sharma A.,Tomova V.,0,2,2.16,,1.70
2025-07-16,regular,Boisson L.,Korpatsch T.,2,1,1.30,,3.59
2025-07-16,regular,Schunk N.,Galfi D.,1,2,3.38,,1.32
2025-07-16,regular,Tomova V.,Maria T.,2,0,1.41,,2.88
2025-07-16,regular,Juvan K.,Chirico L.,2,1,1.32,,3.40
2025-07-16,regular,Niemeier J.,Yastremska D.,0,2,3.16,,1.35
2025-07-16,regular,Alexandrova E.,Vedder E.,2,0,1.08,,8.02
2025-07-16,regular,Romero Gormaz L.,Rus A.,2,0,1.64,,2.27
2025-07-15,regular,Werner C.,Steiner V.,2,0,1.41,,2.89
2025-07-15,regular,Serban R.,Korpatsch T.,0,2,3.04,,1.38
2025-07-15,regular,Sharma A.,Geerlings Martinez A.,2,1,1.45,,2.75
2025-07-15,regular,Boisson L.,Grabher J.,2,0,1.39,,2.98
2025-07-15,regular,Sharma A.,Jacquemot E.,,,,,
2025-07-15,regular,Cengiz B.,Kraus S.,1,2,5.41,,1.15
2025-07-15,regular,Noha Akugue N.,Bondar A.,1,2,2.94,,1.40
2025-07-15,regular,Fossa Huergo N.,Romero Gormaz L.,0,2,5.42,,1.15
2025-07-15,regular,Krunic A.,Galfi D.,0,2,3.50,,1.30
2025-07-15,regular,Timofeeva M.,Juvan K.,0,2,3.49,,1.30
2025-07-15,regular,Nahimana S.,Rus A.,0,2,3.18,,1.35
2025-07-15,regular,Lys E.,Romero Gormaz L.,,,,,
2025-07-14,regular,Uchijima M.,Schunk N.,0,2,1.59,,2.37
2025-07-14,regular,Chirico L.,Sherif M.,,,3.51,,1.30
2025-07-14,regular,Wuerth T.,Parry D.,1,2,3.65,,1.28
2025-07-14,regular,Brockmann T. J.,Werner C.,0,2,2.77,,1.41
2025-07-14,regular,Vedder E.,Fossa Huergo N.,2,0,1.33,,3.26
2025-07-14,regular,Timofeeva M.,Kulambayeva Z.,2,0,1.36,,3.06
2025-07-14,regular,Petkovic A.,Krunic A.,1,2,8.03,,1.07
2025-07-14,regular,Nahimana S.,Steiner V.,0,2,1.55,,2.39
2025-07-14,regular,Malygina E.,Geerlings Martinez A.,0,2,2.69,,1.45
2025-07-13,regular,Topalova G.,Werner C.,0,2,4.56,,1.19
2025-07-13,regular,Timofeeva M.,Yashina E.,2,0,1.03,,9.81
2025-07-13,regular,Vedder E.,Zhenikhova S.,2,1,1.23,,4.00
2025-07-13,regular,Bara I.,Brockmann T. J.,1,2,1.54,,2.43
2025-07-13,regular,Hodzic M.,Kulambayeva Z.,0,2,3.59,,1.28
2025-07-13,regular,Krunic A.,Lukas T.,2,0,1.48,,2.59
2025-07-13,regular,Cherubini D.,Fossa Huergo N.,1,2,1.83,,1.93
2025-07-13,regular,Shapatava S.,Geerlings Martinez A.,1,2,4.29,,1.21
2025-07-13,regular,Martinez Cirez C.,Petkovic A.,0,2,1.20,,4.35
2025-07-13,regular,Nahimana S.,Bayerlova M.,2,0,1.16,,5.07
2025-07-13,regular,Steiner V.,Jamrichova R.,2,0,3.21,,1.34
2025-07-13,regular,Strakhova V.,Malygina E.,,,1.70,,2.11
