date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-02-02,regular,Alexandrova E.,Yastremska D.,2,1,1.70,,2.21
2025-02-01,regular,Muchova K.,Alexandrova E.,0,2,1.38,,3.16
2025-02-01,regular,Yastremska D.,Tauson C.,2,0,2.45,,1.59
2025-01-31,regular,Alexandrova E.,Martic P.,2,1,1.38,,3.13
2025-01-31,regular,Muchova K.,Potapova A.,2,1,1.22,,4.52
2025-01-31,regular,Tauson C.,Blinkova A.,2,0,1.38,,3.13
2025-01-31,regular,Yastremska D.,Sakkari M.,2,0,2.34,,1.63
2025-01-30,regular,Alexandrova E.,Sasnovich A.,2,0,1.65,,2.27
2025-01-30,regular,Muchova K.,Sorribes Tormo S.,2,0,1.19,,4.79
2025-01-30,regular,Blinkova A.,Svitolina E.,2,0,3.61,,1.30
2025-01-30,regular,Martic P.,Avanesyan E.,2,1,2.92,,1.42
2025-01-30,regular,Yastremska D.,Ruzic A.,2,0,1.66,,2.23
2025-01-29,regular,Sramkova R.,Potapova A.,0,2,2.50,,1.54
2025-01-29,regular,Tomova V.,Sakkari M.,0,2,3.31,,1.34
2025-01-29,regular,Tauson C.,Cirstea S.,2,0,1.22,,4.37
2025-01-29,regular,Kraus S.,Blinkova A.,0,2,2.53,,1.53
2025-01-29,regular,Siniakova K.,Avanesyan E.,0,2,2.03,,1.79
2025-01-28,regular,Yastremska D.,Bronzetti L.,2,0,1.75,,2.08
2025-01-28,regular,Lys E.,Martic P.,1,2,1.51,,2.59
2025-01-28,regular,Sasnovich A.,Zakharova A.,2,0,1.68,,2.21
2025-01-28,regular,Grabher J.,Potapova A.,0,2,6.85,,1.10
2025-01-28,regular,Sramkova R.,Cocciaretto E.,2,0,1.68,,2.18
2025-01-28,regular,Sun L.,Sorribes Tormo S.,0,2,2.06,,1.78
2025-01-28,regular,Tauson C.,Kalinina A.,2,0,1.46,,2.72
2025-01-28,regular,Sherif M.,Ruzic A.,0,2,3.25,,1.35
2025-01-27,regular,Cirstea S.,Rus A.,2,1,1.96,,1.86
2025-01-27,regular,Tomova V.,Bouzas Maneiro J.,2,0,2.80,,1.45
2025-01-27,regular,Sasnovich A.,Seidel E.,2,1,1.68,,2.14
2025-01-27,regular,Burrage J.,Ruzic A.,0,2,1.77,,2.06
2025-01-27,regular,Sonmez Z.,Martic P.,0,2,1.51,,2.50
2025-01-27,regular,Golubic V.,Kraus S.,1,2,1.20,,4.35
2025-01-27,regular,Lamens S.,Sorribes Tormo S.,1,2,1.61,,2.33
2025-01-27,regular,Minnen G.,Zakharova A.,0,2,1.46,,2.75
2025-01-26,regular,Ruzic A.,Todoni A. A.,2,0,2.54,,1.50
2025-01-26,regular,Radivojevic L.,Burrage J.,0,2,3.77,,1.34
2025-01-26,regular,Bondar A.,Sasnovich A.,0,2,2.36,,1.59
2025-01-26,regular,Niemeier J.,Burrage J.,,,2.14,,1.70
2025-01-26,regular,Naef C.,Seidel E.,0,2,1.50,,2.58
2025-01-26,regular,Sonmez Z.,Stefanini L.,2,0,1.61,,2.28
2025-01-26,regular,Minnen G.,Masarova R.,2,0,1.38,,3.05
2025-01-26,regular,Osterreicher M.,Zakharova A.,0,2,10.89,,1.04
2025-01-26,regular,Golubic V.,Bonaventure Y.,2,0,1.10,,7.00
2025-01-26,regular,Rothensteiner L.,Martic P.,0,2,16.04,,1.02
2025-01-26,regular,Kraus S.,Parrizas-Diaz N.,2,0,2.64,,1.49
2025-01-26,regular,Korpatsch T.,Sorribes Tormo S.,0,2,2.80,,1.44
2025-01-26,regular,Lamens S.,Kostic T.,2,0,1.04,,10.39
