date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-06-15,regular,Anisimova A.,Maria T.,0,2,1.38,,3.06
2025-06-14,regular,Zheng Q.,Anisimova A.,1,2,2.03,,1.79
2025-06-14,regular,Maria T.,Keys M.,2,0,5.26,,1.16
2025-06-13,regular,Navarro E.,Anisimova A.,0,2,2.76,,1.46
2025-06-13,regular,Zheng Q.,Raducanu E.,2,0,2.21,,1.68
2025-06-13,regular,Maria T.,Rybakina E.,2,0,8.27,,1.08
2025-06-13,regular,Shnaider D.,Keys M.,1,2,2.98,,1.40
2025-06-12,regular,Zheng Q.,Kessler M.,2,1,1.43,,2.85
2025-06-12,regular,Raducanu E.,Sramkova R.,2,0,1.24,,4.04
2025-06-12,regular,Watson H.,Rybakina E.,0,2,7.49,,1.09
2025-06-12,regular,Shnaider D.,Boulter K.,2,1,1.57,,2.43
2025-06-11,regular,Zakharova A.,Keys M.,0,2,9.19,,1.06
2025-06-11,regular,Kartal S.,Anisimova A.,0,2,2.64,,1.49
2025-06-11,regular,Muchova K.,Maria T.,1,2,1.49,,2.61
2025-06-11,regular,Navarro E.,Haddad Maia B.,2,1,1.72,,2.11
2025-06-10,regular,Shnaider D.,Frech M.,2,0,1.36,,3.12
2025-06-10,regular,Sramkova R.,Krejcikova B.,2,0,2.66,,1.48
2025-06-10,regular,Raducanu E.,Bucsa C.,2,0,1.26,,3.89
2025-06-10,regular,Jones F.,Kessler M.,0,2,2.30,,1.62
2025-06-10,regular,Muchova K.,Inglis M.,2,1,1.67,,2.10
2025-06-10,regular,Tomljanovic A.,Boulter K.,1,2,2.49,,1.53
2025-06-10,regular,Watson H.,Putintseva Y.,2,0,2.48,,1.53
2025-06-09,regular,Burrage J.,Anisimova A.,1,2,6.77,,1.11
2025-06-09,regular,Vekic D.,Zakharova A.,0,2,1.15,,5.56
2025-06-09,regular,Kasatkina D.,Kartal S.,1,2,1.43,,2.86
2025-06-09,regular,Fernandez L.,Maria T.,0,2,1.43,,2.80
2025-06-09,regular,Kvitova P.,Haddad Maia B.,1,2,2.17,,1.68
2025-06-08,regular,Tomljanovic A.,Zhang S.,2,1,1.51,,2.51
2025-06-08,regular,Miyazaki L.,Bucsa C.,1,2,2.50,,1.51
2025-06-08,regular,Sonmez Z.,Watson H.,0,2,1.78,,2.00
2025-06-08,regular,Maria T.,Rodionova Ar.,2,0,1.42,,2.80
2025-06-08,regular,Inglis M.,Hon P.,2,0,1.66,,2.18
2025-06-08,regular,Zhao C.,Zakharova A.,1,2,3.10,,1.35
2025-06-08,regular,Arango E.,Miyazaki L.,1,2,1.73,,2.05
2025-06-08,regular,Tomljanovic A.,Tan H.,2,1,1.01,,15.00
2025-06-08,regular,Rodionova Ar.,Aiava D.,2,0,2.10,,1.68
2025-06-08,regular,Sonmez Z.,Hodzic M.,2,0,1.04,,10.77
2025-06-08,regular,Watson H.,Shibahara E.,2,1,1.65,,2.20
2025-06-08,regular,Gillan A.,Bucsa C.,0,2,6.86,,1.10
2025-06-07,regular,Maria T.,Chan H-C.,2,0,1.03,,9.75
2025-06-07,regular,Stojsavljevic M.,Hon P.,0,2,2.84,,1.42
2025-06-07,regular,Maria T.,Zhu L.,,,1.59,,2.29
2025-06-07,regular,Rakhimova K.,Inglis M.,0,2,1.59,,2.29
2025-06-07,regular,Piani D.,Zakharova A.,0,2,7.58,,1.08
2025-06-07,regular,Black B.,Zhang S.,0,2,6.58,,1.10
2025-06-07,regular,Parks A.,Zhao C.,0,2,1.05,,8.87
