date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-03,regular,Sabalenka A.,Gauff C.,2,0,1.75,,2.13
2025-05-01,regular,Sabalenka A.,Svitolina E.,2,0,1.50,,2.66
2025-05-01,regular,Gauff C.,Swiatek I.,2,0,2.49,,1.56
2025-04-30,regular,Sabalenka A.,Kostyuk M.,2,0,1.22,,4.50
2025-04-30,regular,Uchijima M.,Svitolina E.,0,2,4.22,,1.24
2025-04-30,regular,Andreeva M.,Gauff C.,0,2,1.82,,2.02
2025-04-30,regular,Keys M.,Swiatek I.,1,2,3.26,,1.35
2025-04-29,regular,Kostyuk M.,Potapova A.,2,0,2.03,,1.80
2025-04-29,regular,Sabalenka A.,Stearns P.,2,0,1.18,,4.71
2025-04-29,regular,Uchijima M.,Alexandrova E.,2,0,3.06,,1.39
2025-04-29,regular,Svitolina E.,Sakkari M.,2,0,1.46,,2.79
2025-04-29,regular,Keys M.,Vekic D.,2,0,1.39,,3.07
2025-04-29,regular,Shnaider D.,Swiatek I.,1,2,4.40,,1.22
2025-04-28,regular,Bencic B.,Gauff C.,0,2,2.73,,1.47
2025-04-28,regular,Andreeva M.,Starodubtseva Y.,2,0,1.09,,7.11
2025-04-27,regular,Alexandrova E.,Kasatkina D.,2,0,1.62,,2.32
2025-04-27,regular,Rybakina E.,Svitolina E.,0,2,1.75,,2.10
2025-04-27,regular,Masarova R.,Stearns P.,0,2,2.00,,1.84
2025-04-27,regular,Pegula J.,Uchijima M.,0,2,1.16,,5.50
2025-04-27,regular,Kenin S.,Potapova A.,1,2,1.91,,1.92
2025-04-27,regular,Sakkari M.,Paolini J.,2,0,3.29,,1.34
2025-04-27,regular,Kudermetova V.,Kostyuk M.,1,2,2.02,,1.82
2025-04-27,regular,Sabalenka A.,Mertens E.,2,1,1.15,,5.69
2025-04-26,regular,Vekic D.,Navarro E.,2,1,3.04,,1.40
2025-04-26,regular,Noskova L.,Swiatek I.,0,2,4.64,,1.20
2025-04-26,regular,Li A.,Gauff C.,0,2,4.45,,1.22
2025-04-26,regular,Haddad Maia B.,Bencic B.,1,2,3.89,,1.27
2025-04-26,regular,Keys M.,Kalinskaya A.,2,0,1.44,,2.84
2025-04-26,regular,Samsonova L.,Starodubtseva Y.,1,2,1.30,,3.57
2025-04-26,regular,Andreeva M.,Frech M.,2,0,1.07,,8.64
2025-04-26,regular,Shnaider D.,Sevastova A.,2,0,1.36,,3.21
2025-04-25,regular,Rybakina E.,Andreescu B.,2,0,1.28,,3.69
2025-04-25,regular,Pegula J.,Lys E.,2,0,1.15,,5.71
2025-04-25,regular,Putintseva Y.,Masarova R.,0,2,1.68,,2.22
2025-04-25,regular,Raducanu E.,Kostyuk M.,1,2,1.86,,1.97
2025-04-25,regular,Kartal S.,Svitolina E.,0,2,5.02,,1.18
2025-04-25,regular,Potapova A.,Zheng Q.,2,0,3.17,,1.36
2025-04-25,regular,Kenin S.,Sun L.,2,0,1.33,,3.34
2025-04-25,regular,Osorio C.,Mertens E.,0,2,2.77,,1.45
2025-04-25,regular,Stearns P.,Anisimova A.,2,1,3.20,,1.36
2025-04-25,regular,Alexandrova E.,Danilovic O.,2,0,1.63,,2.31
2025-04-25,regular,Uchijima M.,Jabeur O.,2,1,2.43,,1.58
2025-04-25,regular,Sabalenka A.,Blinkova A.,2,0,1.08,,7.78
2025-04-25,regular,Boulter K.,Paolini J.,0,2,4.50,,1.21
2025-04-25,regular,Bucsa C.,Kudermetova V.,1,2,3.70,,1.30
2025-04-25,regular,Linette M.,Sakkari M.,0,2,2.08,,1.76
2025-04-25,regular,Parks A.,Kasatkina D.,0,2,3.95,,1.26
2025-04-25,regular,Badosa P.,Kudermetova V.,,,1.90,,1.92
2025-04-24,regular,Yastremska D.,Gauff C.,1,2,3.74,,1.29
2025-04-24,regular,Keys M.,Bronzetti L.,2,0,1.24,,4.10
