date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-17,regular,Gauff C.,Paolini J.,0,2,1.45,,2.81
2025-05-15,regular,Zheng Q.,Gauff C.,1,2,2.50,,1.54
2025-05-15,regular,Paolini J.,Stearns P.,2,0,1.40,,3.01
2025-05-14,regular,Sabalenka A.,Zheng Q.,0,2,1.30,,3.62
2025-05-14,regular,Gauff C.,Andreeva M.,2,0,1.78,,2.06
2025-05-13,regular,Stearns P.,Svitolina E.,2,1,3.44,,1.32
2025-05-13,regular,Paolini J.,Shnaider D.,2,1,1.67,,2.25
2025-05-12,regular,Sabalenka A.,Kostyuk M.,2,0,1.29,,3.65
2025-05-12,regular,Andreescu B.,Zheng Q.,0,2,3.87,,1.27
2025-05-12,regular,Tauson C.,Andreeva M.,1,2,3.54,,1.31
2025-05-12,regular,Svitolina E.,Collins D.,2,0,1.76,,2.09
2025-05-12,regular,Gauff C.,Raducanu E.,2,0,1.28,,3.74
2025-05-12,regular,Paolini J.,Ostapenko J.,2,0,1.67,,2.20
2025-05-12,regular,Shnaider D.,Mertens E.,2,0,1.78,,2.07
2025-05-12,regular,Stearns P.,Osaka N.,2,1,2.01,,1.82
2025-05-11,regular,Noskova L.,Andreeva M.,0,2,3.57,,1.31
2025-05-11,regular,Frech M.,Zheng Q.,0,2,5.52,,1.15
2025-05-11,regular,Navarro E.,Tauson C.,1,2,1.61,,2.33
2025-05-11,regular,Rybakina E.,Andreescu B.,0,2,1.22,,4.41
2025-05-11,regular,Gauff C.,Linette M.,2,0,1.16,,5.43
2025-05-11,regular,Raducanu E.,Kudermetova V.,2,1,1.74,,2.12
2025-05-11,regular,Fernandez L.,Kostyuk M.,0,2,3.36,,1.34
2025-05-11,regular,Sabalenka A.,Kenin S.,2,1,1.13,,6.28
2025-05-10,regular,Mertens E.,Pegula J.,2,0,2.56,,1.53
2025-05-10,regular,Ostapenko J.,Siegemund L.,,,1.25,,4.01
2025-05-10,regular,Bouzkova M.,Osaka N.,1,2,2.50,,1.55
2025-05-10,regular,Paolini J.,Jabeur O.,2,0,1.45,,2.81
2025-05-10,regular,Svitolina E.,Baptiste H.,2,1,1.21,,4.31
2025-05-10,regular,Collins D.,Swiatek I.,2,0,6.84,,1.11
2025-05-10,regular,Shnaider D.,Cristian J.,2,0,1.31,,3.60
2025-05-10,regular,Keys M.,Stearns P.,1,2,1.45,,2.73
2025-05-09,regular,Andreescu B.,Vekic D.,2,1,2.24,,1.67
2025-05-09,regular,Rybakina E.,Lys E.,2,0,1.15,,5.78
2025-05-09,regular,Gauff C.,Mboko V.,2,1,1.11,,6.40
2025-05-09,regular,Fernandez L.,Ruzic A.,2,0,1.42,,2.92
2025-05-09,regular,Navarro E.,Rakhimova K.,2,0,1.12,,6.38
2025-05-09,regular,Kostyuk M.,Kasatkina D.,2,0,1.54,,2.52
2025-05-09,regular,Teichmann J.,Raducanu E.,0,2,3.29,,1.35
2025-05-09,regular,Arango E.,Andreeva M.,0,2,11.56,,1.05
2025-05-09,regular,Kudermetova V.,Anisimova A.,2,0,2.49,,1.55
2025-05-09,regular,Alexandrova E.,Raducanu E.,,,1.60,,2.37
2025-05-09,regular,Noskova L.,Kartal S.,2,0,1.46,,2.74
2025-05-09,regular,Danilovic O.,Zheng Q.,0,2,2.73,,1.47
2025-05-09,regular,Frech M.,Azarenka V.,2,0,2.76,,1.45
2025-05-09,regular,Volynets K.,Tauson C.,,,2.30,,1.64
2025-05-09,regular,Pavlyuchenkova A.,Kenin S.,0,2,2.45,,1.57
2025-05-09,regular,Sakkari M.,Linette M.,1,2,1.48,,2.64
2025-05-09,regular,Sabalenka A.,Potapova A.,2,0,1.13,,6.12
2025-05-08,regular,Bronzetti L.,Muchova K.,,,3.87,,1.27
2025-05-08,regular,Bronzetti L.,Siegemund L.,0,2,1.49,,2.57
2025-05-08,regular,Haddad Maia B.,Bouzkova M.,0,2,1.98,,1.85
2025-05-08,regular,Keys M.,Gracheva V.,2,0,1.17,,5.09
2025-05-08,regular,Svitolina E.,Bouzas Maneiro J.,2,0,1.13,,6.15
2025-05-08,regular,Krueger A.,Pegula J.,0,2,3.22,,1.35
2025-05-08,regular,Baptiste H.,Samsonova L.,2,1,2.17,,1.70
2025-05-08,regular,Collins D.,Ruse G.,2,0,1.49,,2.66
2025-05-08,regular,Paolini J.,Sun L.,2,0,1.08,,8.59
2025-05-08,regular,Cocciaretto E.,Swiatek I.,0,2,15.36,,1.02
2025-05-08,regular,Stearns P.,Kalinskaya A.,2,0,1.86,,1.99
2025-05-08,regular,Mertens E.,Lamens S.,2,1,1.39,,3.03
2025-05-08,regular,Ostapenko J.,Sramkova R.,2,1,1.39,,3.03
2025-05-08,regular,Shnaider D.,Dolehide C.,2,0,1.22,,4.44
2025-05-08,regular,Cristian J.,Putintseva Y.,2,0,2.29,,1.63
2025-05-08,regular,Kvitova P.,Jabeur O.,,,3.20,,1.36
2025-05-08,regular,Osaka N.,Badosa P.,,,1.57,,2.42
2025-05-07,regular,Eala A.,Kostyuk M.,0,2,3.21,,1.37
2025-05-07,regular,Volynets K.,Rus A.,2,0,1.37,,3.13
2025-05-07,regular,Yastremska D.,Potapova A.,1,2,2.08,,1.77
2025-05-07,regular,Joint M.,Raducanu E.,1,2,2.54,,1.53
2025-05-07,regular,Siniakova K.,Danilovic O.,1,2,3.04,,1.39
2025-05-07,regular,Ruzic A.,Grant T. C.,2,1,1.58,,2.43
2025-05-07,regular,Arango E.,Tomova V.,2,1,1.81,,2.03
2025-05-07,regular,Sakkari M.,Bencic B.,,,2.43,,1.58
2025-05-07,regular,Pavlyuchenkova A.,Boulter K.,2,0,1.74,,2.12
2025-05-07,regular,Uchijima M.,Lys E.,0,2,1.49,,2.65
2025-05-07,regular,Stefanini L.,Kudermetova V.,0,2,4.39,,1.22
2025-05-07,regular,Andreescu B.,Urgesi F.,2,0,1.09,,7.95
2025-05-07,regular,Baptiste H.,Blinkova A.,2,0,1.62,,2.31
2025-05-07,regular,Krueger A.,Bondar A.,2,1,1.67,,2.24
2025-05-07,regular,Zucchini A.,Mboko V.,0,2,16.83,,1.02
2025-05-07,regular,Cocciaretto E.,Avanesyan E.,2,1,2.47,,1.56
2025-05-07,regular,Ruse G.,Kudermetova P.,2,1,1.33,,3.42
2025-05-07,regular,Gracheva V.,Tomljanovic A.,2,0,1.91,,1.92
2025-05-07,regular,Azarenka V.,Osorio C.,2,0,2.27,,1.65
2025-05-07,regular,Dolehide C.,Cirstea S.,,,2.02,,1.80
2025-05-07,regular,Errani S.,Osaka N.,0,2,8.26,,1.08
2025-05-07,regular,Vondrousova M.,Wang Xin.,,,1.41,,2.96
2025-05-06,regular,Bouzkova M.,Sherif M.,2,0,1.86,,1.95
2025-05-06,regular,Birrell K.,Kartal S.,1,2,2.65,,1.49
2025-05-06,regular,Stearns P.,Brancaccio N.,2,0,1.21,,4.63
2025-05-06,regular,Joint M.,Golubic V.,2,1,1.44,,2.71
