date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-05-24,regular,Samsonova L.,Rybakina E.,1,2,2.68,,1.48
2025-05-23,regular,Collins D.,Samsonova L.,0,2,1.54,,2.53
2025-05-23,regular,Rybakina E.,Haddad Maia B.,2,1,1.27,,3.86
2025-05-22,regular,Kalinskaya A.,Collins D.,,,2.57,,1.52
2025-05-22,regular,Badosa P.,Samsonova L.,1,2,1.72,,2.16
2025-05-22,regular,Haddad Maia B.,Navarro E.,2,1,3.30,,1.34
2025-05-22,regular,Linette M.,Rybakina E.,0,2,4.04,,1.26
2025-05-21,regular,Pegula J.,Kalinskaya A.,1,2,1.40,,2.95
2025-05-21,regular,Collins D.,Raducanu E.,2,1,1.73,,2.12
2025-05-21,regular,Blinkova A.,Navarro E.,0,2,3.68,,1.29
2025-05-21,regular,Haddad Maia B.,Krueger A.,2,0,2.23,,1.68
2025-05-20,regular,Parry D.,Samsonova L.,0,2,2.32,,1.62
2025-05-20,regular,Wang Xin.,Rybakina E.,0,2,4.76,,1.19
2025-05-20,regular,Badosa P.,Bouzkova M.,,,1.59,,2.38
2025-05-20,regular,Linette M.,Sramkova R.,2,0,1.82,,2.02
2025-05-19,regular,Raducanu E.,Kasatkina D.,2,0,1.89,,1.91
2025-05-19,regular,Frech M.,Blinkova A.,0,2,1.84,,1.96
2025-05-19,regular,Collins D.,Kenin S.,2,1,1.73,,2.13
2025-05-19,regular,Kalinskaya A.,Dolehide C.,2,1,1.73,,2.12
2025-05-19,regular,Wang Xin.,Lys E.,2,0,2.71,,1.47
2025-05-19,regular,Haddad Maia B.,Tauson C.,2,1,3.49,,1.31
2025-05-19,regular,Cornet A.,Bouzkova M.,0,2,5.69,,1.14
2025-05-19,regular,Kessler M.,Krueger A.,0,2,2.80,,1.44
2025-05-19,regular,Svitolina E.,Tauson C.,,,1.44,,2.75
2025-05-18,regular,Parry D.,Fernandez L.,2,0,2.23,,1.67
2025-05-18,regular,Krejcikova B.,Linette M.,0,2,2.59,,1.50
2025-05-18,regular,Putintseva Y.,Sramkova R.,0,2,1.53,,2.54
2025-05-18,regular,Noskova L.,Samsonova L.,0,2,1.67,,2.23
2025-05-18,regular,Frech M.,Haddad Maia B.,,,,,
2025-05-18,regular,Blinkova A.,Jacquemot E.,2,0,1.81,,1.99
2025-05-18,regular,Bouzkova M.,Dolehide C.,0,2,1.31,,3.40
2025-05-18,regular,Kessler M.,Zarazua R.,2,0,1.98,,1.82
2025-05-18,regular,Lys E.,Pera B.,2,0,1.60,,2.33
2025-05-17,regular,Jacquemot E.,Lamens S.,2,0,2.65,,1.48
2025-05-17,regular,Lys E.,Paquet C.,,,1.44,,2.77
2025-05-17,regular,Lys E.,Krunic A.,2,0,1.18,,4.94
2025-05-17,regular,Strakhova V.,Pera B.,0,2,11.30,,1.04
2025-05-17,regular,Blinkova A.,Malygina E.,2,1,1.06,,9.47
2025-05-17,regular,Bouzkova M.,Maria T.,2,0,1.09,,7.32
2025-05-17,regular,Bucsa C.,Zarazua R.,1,2,1.99,,1.81
2025-05-17,regular,Kessler M.,Burrage J.,2,1,1.14,,5.67
2025-05-17,regular,Iliev S.,Dolehide C.,0,2,9.98,,1.05
