date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-04-21,regular,Sabalenka A.,Ostapenko J.,0,2,1.27,,3.97
2025-04-20,regular,Sabalenka A.,Paolini J.,2,0,1.23,,4.38
2025-04-20,regular,Alexandrova E.,Ostapenko J.,0,2,1.69,,2.22
2025-04-19,regular,Gauff C.,Paolini J.,0,2,1.47,,2.77
2025-04-19,regular,Sabalenka A.,Mertens E.,2,0,1.18,,5.04
2025-04-19,regular,Ostapenko J.,Swiatek I.,2,1,3.49,,1.32
2025-04-19,regular,Alexandrova E.,Pegula J.,2,0,2.38,,1.60
2025-04-17,regular,Navarro E.,Ostapenko J.,1,2,1.56,,2.47
2025-04-17,regular,Gauff C.,Seidel E.,2,0,1.10,,7.27
2025-04-17,regular,Frech M.,Pegula J.,0,2,6.08,,1.13
2025-04-17,regular,Niemeier J.,Paolini J.,0,2,5.72,,1.15
2025-04-17,regular,Andreeva M.,Alexandrova E.,0,2,1.31,,3.52
2025-04-17,regular,Sabalenka A.,Potapova A.,,,1.12,,6.24
2025-04-16,regular,Mertens E.,Shnaider D.,2,0,1.80,,2.03
2025-04-16,regular,Maria T.,Seidel E.,1,2,2.09,,1.75
2025-04-16,regular,Fett J.,Swiatek I.,0,2,17.35,,1.02
2025-04-16,regular,Frech M.,Errani S.,2,1,1.36,,3.23
2025-04-16,regular,Andreeva M.,Andreeva E.,,,1.13,,6.18
2025-04-16,regular,Andreeva M.,Kostyuk M.,,,1.20,,4.50
2025-04-16,regular,Frech M.,Sramkova R.,,,1.95,,1.85
2025-04-15,regular,Navarro E.,Haddad Maia B.,2,0,1.25,,4.07
2025-04-15,regular,Lys E.,Paolini J.,0,2,3.58,,1.30
2025-04-15,regular,Niemeier J.,Siegemund L.,2,1,2.05,,1.79
2025-04-15,regular,Alexandrova E.,Samsonova L.,2,0,1.63,,2.30
2025-04-15,regular,Vekic D.,Fett J.,0,2,1.26,,3.91
2025-04-15,regular,Ostapenko J.,Yastremska D.,,,2.18,,1.69
2025-04-15,regular,Maria T.,Collins D.,,,,,
2025-04-14,regular,Kudermetova V.,Shnaider D.,1,2,2.29,,1.64
2025-04-14,regular,Potapova A.,Tauson C.,2,1,2.20,,1.68
2025-04-14,regular,Sasnovich A.,Mertens E.,0,2,3.36,,1.33
2025-04-13,regular,Kudermetova V.,Errani S.,2,0,1.12,,5.97
2025-04-13,regular,Fett J.,Masarova R.,2,1,3.56,,1.28
2025-04-13,regular,Yastremska D.,Seidel E.,2,0,1.30,,3.42
2025-04-13,regular,Andreeva E.,Sasnovich A.,0,2,2.07,,1.72
2025-04-12,regular,Masarova R.,Zakharova A.,,,,,
2025-04-12,regular,Masarova R.,Zhang S.,2,0,1.43,,2.73
2025-04-12,regular,Schunk N.,Errani S.,1,2,2.23,,1.62
2025-04-12,regular,Kudermetova V.,Deichmann K.,2,0,1.13,,5.78
2025-04-12,regular,Andreeva E.,Thamm M.,2,0,1.28,,3.52
2025-04-12,regular,Starodubtseva Y.,Fett J.,0,2,1.64,,2.22
2025-04-12,regular,Wickmayer Y.,Seidel E.,0,2,5.45,,1.15
2025-04-12,regular,Chirico L.,Sasnovich A.,0,2,2.52,,1.49
2025-04-12,regular,Yastremska D.,Konjuh A.,2,0,1.14,,5.27
