date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-27,regular,Fernandez L.,Kalinskaya A.,2,0,2.27,,1.64
2025-07-27,regular,Kalinskaya A.,Raducanu E.,2,0,2.22,,1.66
2025-07-26,regular,Fernandez L.,Rybakina E.,2,1,3.91,,1.26
2025-07-26,regular,Kalinskaya A.,Tauson C.,2,0,1.78,,2.03
2025-07-26,regular,Rybakina E.,Frech M.,2,0,1.18,,4.96
2025-07-25,regular,Fernandez L.,Townsend T.,2,0,1.64,,2.27
2025-07-25,regular,Raducanu E.,Sakkari M.,2,0,1.39,,3.00
2025-07-25,regular,Williams V.,Frech M.,0,2,3.64,,1.28
2025-07-25,regular,Pegula J.,Fernandez L.,1,2,1.41,,2.90
2025-07-24,regular,Townsend T.,Kenin S.,2,0,2.76,,1.44
2025-07-24,regular,Raducanu E.,Osaka N.,2,0,1.81,,1.99
2025-07-24,regular,Rybakina E.,Mboko V.,2,0,1.38,,3.05
2025-07-24,regular,Sakkari M.,Navarro E.,2,0,2.46,,1.55
2025-07-23,regular,Dolehide C.,Tauson C.,1,2,2.67,,1.47
2025-07-23,regular,Linette M.,Kalinskaya A.,0,2,2.12,,1.71
2025-07-23,regular,Williams V.,Stearns P.,2,0,10.67,,1.04
2025-07-23,regular,Osaka N.,Putintseva Y.,2,0,1.32,,3.34
2025-07-22,regular,Kostyuk M.,Raducanu E.,0,2,2.37,,1.58
2025-07-22,regular,Kalinskaya A.,Rakhimova K.,2,0,1.62,,2.30
2025-07-22,regular,Baptiste H.,Kenin S.,0,2,2.37,,1.58
2025-07-22,regular,Kessler M.,Dolehide C.,1,2,1.60,,2.33
2025-07-22,regular,Townsend T.,Maria T.,2,0,1.42,,2.87
2025-07-22,regular,Linette M.,Collins D.,2,0,2.97,,1.40
2025-07-22,regular,Starodubtseva Y.,Frech M.,0,2,1.88,,1.90
2025-07-22,regular,Sakkari M.,Boulter K.,2,0,1.78,,2.02
2025-07-21,regular,Fernandez L.,Joint M.,2,0,2.04,,1.76
2025-07-21,regular,Potapova A.,Mboko V.,0,2,2.30,,1.61
2025-07-20,regular,Smith A.,Starodubtseva Y.,0,2,5.06,,1.17
2025-07-20,regular,Dolehide C.,Sasnovich A.,2,1,1.78,,2.01
2025-07-20,regular,Rakhimova K.,Ngounoue C.,2,0,1.67,,2.31
2025-07-20,regular,Marino R.,Starodubtseva Y.,0,2,4.58,,1.17
2025-07-20,regular,Townsend T.,Arango E.,2,0,1.41,,2.80
2025-07-20,regular,Sasnovich A.,Blinkova A.,2,0,1.96,,1.81
2025-07-20,regular,Rakhimova K.,Lepchenko V.,2,0,1.18,,4.67
2025-07-19,regular,Dolehide C.,Bucsa C.,2,0,1.83,,1.93
2025-07-19,regular,Ngounoue C.,Birrell K.,2,1,2.29,,1.59
2025-07-19,regular,Kudermetova P.,Smith A.,1,2,1.24,,3.86
2025-07-19,regular,Zakharova A.,Arango E.,0,2,1.63,,2.22
2025-07-19,regular,Osorio C.,Townsend T.,1,2,1.91,,1.84
