date,match_type,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
2025-07-12,regular,Anisimova A.,Swiatek I.,0,2,3.34,,1.34
2025-07-10,regular,Bencic B.,Swiatek I.,0,2,3.72,,1.29
2025-07-10,regular,Sabalenka A.,Anisimova A.,1,2,1.36,,3.26
2025-07-09,regular,Andreeva M.,Bencic B.,0,2,1.47,,2.72
2025-07-09,regular,Swiatek I.,Samsonova L.,2,0,1.33,,3.31
2025-07-08,regular,Anisimova A.,Pavlyuchenkova A.,2,0,1.39,,3.06
2025-07-08,regular,Sabalenka A.,Siegemund L.,2,1,1.07,,9.12
2025-07-07,regular,Swiatek I.,Tauson C.,2,0,1.30,,3.55
2025-07-07,regular,Andreeva M.,Navarro E.,2,0,1.59,,2.40
2025-07-07,regular,Samsonova L.,Bouzas Maneiro J.,2,0,1.22,,4.37
2025-07-07,regular,Alexandrova E.,Bencic B.,0,2,1.50,,2.61
2025-07-06,regular,Noskova L.,Anisimova A.,1,2,2.20,,1.69
2025-07-06,regular,Sabalenka A.,Mertens E.,2,0,1.21,,4.48
2025-07-06,regular,Kartal S.,Pavlyuchenkova A.,0,2,1.85,,1.98
2025-07-06,regular,Sierra S.,Siegemund L.,0,2,2.42,,1.57
2025-07-05,regular,Swiatek I.,Collins D.,2,0,1.37,,3.07
2025-07-05,regular,Sonmez Z.,Alexandrova E.,0,2,7.30,,1.10
2025-07-05,regular,Krejcikova B.,Navarro E.,1,2,2.71,,1.47
2025-07-05,regular,Andreeva M.,Baptiste H.,2,0,1.31,,3.51
2025-07-05,regular,Bouzas Maneiro J.,Yastremska D.,2,1,2.75,,1.46
2025-07-05,regular,Tauson C.,Rybakina E.,2,0,4.46,,1.21
2025-07-05,regular,Bencic B.,Cocciaretto E.,2,1,1.55,,2.47
2025-07-05,regular,Kasatkina D.,Samsonova L.,0,2,2.76,,1.45
2025-07-04,regular,Sabalenka A.,Raducanu E.,2,0,1.26,,3.90
2025-07-04,regular,Mertens E.,Svitolina E.,2,0,2.41,,1.58
2025-07-04,regular,Siegemund L.,Keys M.,2,0,5.79,,1.14
2025-07-04,regular,Rakhimova K.,Noskova L.,0,2,3.86,,1.27
2025-07-04,regular,Parry D.,Kartal S.,0,2,2.40,,1.59
2025-07-04,regular,Pavlyuchenkova A.,Osaka N.,2,1,2.82,,1.44
2025-07-04,regular,Galfi D.,Anisimova A.,1,2,5.30,,1.16
2025-07-04,regular,Sierra S.,Bucsa C.,2,1,2.23,,1.67
2025-07-03,regular,Kasatkina D.,Begu I.,2,1,1.25,,4.05
2025-07-03,regular,Tauson C.,Kalinskaya A.,2,0,1.73,,2.09
2025-07-03,regular,Kenin S.,Bouzas Maneiro J.,0,2,1.37,,3.09
2025-07-03,regular,Starodubtseva Y.,Samsonova L.,0,2,4.92,,1.18
2025-07-03,regular,Swiatek I.,McNally C.,2,1,1.05,,10.54
2025-07-03,regular,Zakharova A.,Yastremska D.,1,2,4.04,,1.24
2025-07-03,regular,Krejcikova B.,Dolehide C.,2,1,1.36,,3.15
2025-07-03,regular,Lamens S.,Alexandrova E.,0,2,6.47,,1.12
2025-07-03,regular,Jacquemot E.,Bencic B.,1,2,3.53,,1.31
2025-07-03,regular,Sakkari M.,Rybakina E.,0,2,4.95,,1.18
2025-07-03,regular,Collins D.,Erjavec V.,2,0,1.15,,5.51
2025-07-03,regular,Baptiste H.,Mboko V.,2,0,2.10,,1.75
2025-07-03,regular,Andreeva M.,Bronzetti L.,2,0,1.08,,8.14
2025-07-03,regular,Volynets K.,Cocciaretto E.,0,2,2.71,,1.47
2025-07-03,regular,Wang Xin.,Sonmez Z.,0,2,1.15,,5.58
2025-07-03,regular,Kudermetova V.,Navarro E.,0,2,2.56,,1.52
2025-07-02,regular,Krueger A.,Pavlyuchenkova A.,0,2,2.03,,1.80
2025-07-02,regular,Sasnovich A.,Svitolina E.,0,2,5.73,,1.15
2025-07-02,regular,Raducanu E.,Vondrousova M.,2,0,2.63,,1.50
