match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
OW4xTpKq,Philadelphia Eagles,Kansas City Chiefs,40,40,1x2,0,home,ft,2.047,3
OW4xTpKq,Philadelphia Eagles,Kansas City Chiefs,40,40,1x2,0,draw,ft,14.91,3
OW4xTpKq,Philadelphia Eagles,Kansas City Chiefs,40,40,1x2,0,away,ft,1.91,3
0t2O3Vh5,Kansas City Chiefs,Buffalo Bills,32,32,1x2,0,home,ft,1.91,2
0t2O3Vh5,Kansas City Chiefs,Buffalo Bills,32,32,1x2,0,draw,ft,15.0,2
0t2O3Vh5,Kansas City Chiefs,Buffalo Bills,32,32,1x2,0,away,ft,2.05,2
Cf4KoxGM,Philadelphia Eagles,Washington Commanders,55,55,1x2,0,home,ft,1.43,2
Cf4KoxGM,Philadelphia Eagles,Washington Commanders,55,55,1x2,0,draw,ft,15.0,2
Cf4KoxGM,Philadelphia Eagles,Washington Commanders,55,55,1x2,0,away,ft,3.2,2
EaSuZcTO,Buffalo Bills,Baltimore Ravens,27,27,1x2,0,home,ft,2.05,2
EaSuZcTO,Buffalo Bills,Baltimore Ravens,27,27,1x2,0,draw,ft,15.0,2
EaSuZcTO,Buffalo Bills,Baltimore Ravens,27,27,1x2,0,away,ft,1.91,2
zuIRG263,Philadelphia Eagles,Los Angeles Rams,28,28,1x2,0,home,ft,1.33,2
zuIRG263,Philadelphia Eagles,Los Angeles Rams,28,28,1x2,0,draw,ft,15.0,2
zuIRG263,Philadelphia Eagles,Los Angeles Rams,28,28,1x2,0,away,ft,3.75,2
rF2kg1Et,Kansas City Chiefs,Houston Texans,23,23,1x2,0,home,ft,1.29,2
rF2kg1Et,Kansas City Chiefs,Houston Texans,23,23,1x2,0,draw,ft,15.0,2
rF2kg1Et,Kansas City Chiefs,Houston Texans,23,23,1x2,0,away,ft,4.3,2
jVGFGRYr,Los Angeles Rams,Minnesota Vikings,27,27,1x2,0,home,ft,2.2,2
jVGFGRYr,Los Angeles Rams,Minnesota Vikings,27,27,1x2,0,draw,ft,15.0,2
jVGFGRYr,Los Angeles Rams,Minnesota Vikings,27,27,1x2,0,away,ft,1.77,2
bHXC0Fro,Tampa Bay Buccaneers,Washington Commanders,20,20,1x2,0,home,ft,1.67,2
bHXC0Fro,Tampa Bay Buccaneers,Washington Commanders,20,20,1x2,0,draw,ft,15.0,2
bHXC0Fro,Tampa Bay Buccaneers,Washington Commanders,20,20,1x2,0,away,ft,2.45,2
UuxtsUoe,Philadelphia Eagles,Green Bay Packers,22,22,1x2,0,home,ft,1.48,2
UuxtsUoe,Philadelphia Eagles,Green Bay Packers,22,22,1x2,0,draw,ft,15.0,2
UuxtsUoe,Philadelphia Eagles,Green Bay Packers,22,22,1x2,0,away,ft,3.0,2
AiaP9JLb,Buffalo Bills,Denver Broncos,31,31,1x2,0,home,ft,1.25,2
AiaP9JLb,Buffalo Bills,Denver Broncos,31,31,1x2,0,draw,ft,17.0,2
AiaP9JLb,Buffalo Bills,Denver Broncos,31,31,1x2,0,away,ft,4.5,2
6JhY7cjB,Baltimore Ravens,Pittsburgh Steelers,28,28,1x2,0,home,ft,1.22,2
6JhY7cjB,Baltimore Ravens,Pittsburgh Steelers,28,28,1x2,0,draw,ft,17.0,2
6JhY7cjB,Baltimore Ravens,Pittsburgh Steelers,28,28,1x2,0,away,ft,4.75,2
vXjt6yLN,Houston Texans,Los Angeles Chargers,32,32,1x2,0,home,ft,2.4,2
vXjt6yLN,Houston Texans,Los Angeles Chargers,32,32,1x2,0,draw,ft,15.0,2
vXjt6yLN,Houston Texans,Los Angeles Chargers,32,32,1x2,0,away,ft,1.69,2
zFfW3JlI,Detroit Lions,Minnesota Vikings,31,31,1x2,0,home,ft,1.69,2
zFfW3JlI,Detroit Lions,Minnesota Vikings,31,31,1x2,0,draw,ft,15.0,2
zFfW3JlI,Detroit Lions,Minnesota Vikings,31,31,1x2,0,away,ft,2.3,2
lr4dit5C,Arizona Cardinals,San Francisco 49ers,47,47,1x2,0,home,ft,1.53,2
lr4dit5C,Arizona Cardinals,San Francisco 49ers,47,47,1x2,0,draw,ft,15.0,2
lr4dit5C,Arizona Cardinals,San Francisco 49ers,47,47,1x2,0,away,ft,2.75,2
SliO5uK5,Denver Broncos,Kansas City Chiefs,38,38,1x2,0,home,ft,1.17,2
SliO5uK5,Denver Broncos,Kansas City Chiefs,38,38,1x2,0,draw,ft,17.0,2
SliO5uK5,Denver Broncos,Kansas City Chiefs,38,38,1x2,0,away,ft,6.5,2
S2WdKvZb,Los Angeles Rams,Seattle Seahawks,25,25,1x2,0,home,ft,3.5,2
S2WdKvZb,Los Angeles Rams,Seattle Seahawks,25,25,1x2,0,draw,ft,15.0,2
S2WdKvZb,Los Angeles Rams,Seattle Seahawks,25,25,1x2,0,away,ft,1.39,2
SQEqBzdo,New York Jets,Miami Dolphins,32,32,1x2,0,home,ft,1.95,2
SQEqBzdo,New York Jets,Miami Dolphins,32,32,1x2,0,draw,ft,13.0,2
SQEqBzdo,New York Jets,Miami Dolphins,32,32,1x2,0,away,ft,2.05,2
d874kKZO,Atlanta Falcons,Carolina Panthers,38,38,1x2,0,home,ft,1.3,2
d874kKZO,Atlanta Falcons,Carolina Panthers,38,38,1x2,0,draw,ft,17.0,2
d874kKZO,Atlanta Falcons,Carolina Panthers,38,38,1x2,0,away,ft,4.0,2
