match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,1x2,0,home,ft,1.92,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,1x2,0,draw,ft,7.0,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,1x2,0,away,ft,2.35,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,3.50,over,ft,1.26,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,3.50,under,ft,3.36,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,4.00,over,ft,1.31,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,4.00,under,ft,2.98,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,4.50,over,ft,1.46,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,4.50,under,ft,2.45,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,5.00,over,ft,1.62,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,5.00,under,ft,2.13,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,5.50,over,ft,1.925,2
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,5.50,under,ft,1.835,2
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,6.00,over,ft,2.11,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,6.00,under,ft,1.63,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,6.50,over,ft,2.3,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,6.50,under,ft,1.52,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,7.00,over,ft,2.83,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,7.00,under,ft,1.34,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,7.50,over,ft,2.99,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,7.50,under,ft,1.32,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,8.00,over,ft,3.56,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,8.00,under,ft,1.23,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,8.50,over,ft,3.84,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,ou,8.50,under,ft,1.2,1
riUqtVil,Hanshin Tigers,Fukuoka S. Hawks,2,2,hc,1.00,home,ft,1.49,1
