match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
Q3DMYxm3,Levice,Slovan Bratislava,85,85,1x2,0,home,ft,1.736,5
Q3DMYxm3,Levice,Slovan Bratislava,85,85,1x2,0,draw,ft,12.832,5
Q3DMYxm3,Levice,Slovan Bratislava,85,85,1x2,0,away,ft,2.228,5
Q3DMYxm3,Levice,Slovan Bratislava,85,85,ou,159.50,over,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,ou,159.50,under,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,ou,162.50,over,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,ou,162.50,under,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,ou,163.50,over,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,ou,163.50,under,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,hc,-1.50,home,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,hc,-1.50,away,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,hc,-2.50,home,ft,1.85,1
Q3DMYxm3,Levice,Slovan Bratislava,85,85,hc,-2.50,away,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,1x2,0,home,ft,1.556,5
KOXx7M6t,Slovan Bratislava,Levice,81,81,1x2,0,draw,ft,14.376,5
KOXx7M6t,Slovan Bratislava,Levice,81,81,1x2,0,away,ft,2.582,5
KOXx7M6t,Slovan Bratislava,Levice,81,81,ou,163.50,over,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,ou,163.50,under,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,ou,164.50,over,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,ou,164.50,under,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,ou,165.50,over,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,ou,165.50,under,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-1.50,home,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-1.50,away,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-2.50,home,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-2.50,away,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-3.50,home,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-3.50,away,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-4.50,home,ft,1.85,1
KOXx7M6t,Slovan Bratislava,Levice,81,81,hc,-4.50,away,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,1x2,0,home,ft,1.525,4
jeA2bVsn,Levice,Slovan Bratislava,96,96,1x2,0,draw,ft,14.342,4
jeA2bVsn,Levice,Slovan Bratislava,96,96,1x2,0,away,ft,2.635,4
jeA2bVsn,Levice,Slovan Bratislava,96,96,ou,162.50,over,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,ou,162.50,under,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,ou,163.50,over,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,ou,163.50,under,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,ou,164.50,over,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,ou,164.50,under,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,hc,-3.50,home,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,hc,-3.50,away,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,hc,-4.50,home,ft,1.85,1
jeA2bVsn,Levice,Slovan Bratislava,96,96,hc,-4.50,away,ft,1.85,1
zqzgvSdU,Slovan Bratislava,Levice,77,77,1x2,0,home,ft,1.485,4
zqzgvSdU,Slovan Bratislava,Levice,77,77,1x2,0,draw,ft,13.332,4
