match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,1x2,0,home,ft,2.26,7
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,1x2,0,draw,ft,14.354,7
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,1x2,0,away,ft,1.73,7
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,ou,195.50,over,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,ou,195.50,under,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,ou,197.50,over,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,ou,197.50,under,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,-1.50,home,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,-1.50,away,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,1.50,home,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,1.50,away,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,2.50,home,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,2.50,away,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,3.50,home,ft,1.85,1
pM5tdGmD,Beijing,Zhejiang Guangsha,118,118,hc,3.50,away,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,1x2,0,home,ft,1.37,7
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,1x2,0,draw,ft,15.991,7
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,1x2,0,away,ft,3.36,7
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,ou,197.50,over,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,ou,197.50,under,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,ou,198.50,over,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,ou,198.50,under,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,ou,199.50,over,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,ou,199.50,under,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,hc,-6.50,home,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,hc,-6.50,away,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,hc,-7.50,home,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,hc,-7.50,away,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,hc,-8.50,home,ft,1.85,1
xI5Ots04,Zhejiang Guangsha,Beijing,92,92,hc,-8.50,away,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,1x2,0,home,ft,1.607,7
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,1x2,0,draw,ft,15.177,7
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,1x2,0,away,ft,2.506,7
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,196.50,over,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,196.50,under,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,197.50,over,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,197.50,under,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,198.50,over,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,198.50,under,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,200.50,over,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,ou,200.50,under,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,hc,-2.50,home,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,hc,-2.50,away,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,hc,-3.50,home,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,hc,-3.50,away,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,hc,-4.50,home,ft,1.85,1
nohxZDyA,Beijing,Zhejiang Guangsha,73,73,hc,-4.50,away,ft,1.85,1
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,1x2,0,home,ft,1.617,7
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,1x2,0,draw,ft,13.53,7
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,1x2,0,away,ft,2.509,7
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,ou,195.50,over,ft,1.85,1
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,ou,195.50,under,ft,1.85,1
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,ou,196.50,over,ft,1.85,1
0UgUzz7c,Beijing,Zhejiang Guangsha,103,103,ou,196.50,under,ft,1.85,1
