match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
4W3XcBbd,Ironi Eilat,Maccabi Rishon,75,75,1x2,0,home,ft,1.532,6
4W3XcBbd,Ironi Eilat,Maccabi Rishon,75,75,1x2,0,draw,ft,13.303,6
4W3XcBbd,Ironi Eilat,Maccabi Rishon,75,75,1x2,0,away,ft,2.657,6
drh6Vwnn,Maccabi Rishon,Ironi Eilat,92,92,1x2,0,home,ft,1.827,6
drh6Vwnn,Maccabi Rishon,Ironi Eilat,92,92,1x2,0,draw,ft,12.42,6
drh6Vwnn,Maccabi Rishon,Ironi Eilat,92,92,1x2,0,away,ft,2.108,6
bwVZcqNa,Ironi Eilat,Maccabi Rishon,89,89,1x2,0,home,ft,1.615,6
bwVZcqNa,Ironi Eilat,Maccabi Rishon,89,89,1x2,0,draw,ft,12.48,6
bwVZcqNa,Ironi Eilat,Maccabi Rishon,89,89,1x2,0,away,ft,2.455,6
xOtRa5hm,Maccabi Rishon,Ironi Eilat,74,74,1x2,0,home,ft,1.745,6
xOtRa5hm,Maccabi Rishon,Ironi Eilat,74,74,1x2,0,draw,ft,12.793,6
xOtRa5hm,Maccabi Rishon,Ironi Eilat,74,74,1x2,0,away,ft,2.192,6
WOEgID8E,Ironi Eilat,Maccabi Rishon,92,92,1x2,0,home,ft,1.522,6
WOEgID8E,Ironi Eilat,Maccabi Rishon,92,92,1x2,0,draw,ft,13.645,6
WOEgID8E,Ironi Eilat,Maccabi Rishon,92,92,1x2,0,away,ft,2.655,6
ETPuA72E,Maccabi Rishon,Elitzur Ashkelon,96,96,1x2,0,home,ft,1.213,6
ETPuA72E,Maccabi Rishon,Elitzur Ashkelon,96,96,1x2,0,draw,ft,16.23,6
ETPuA72E,Maccabi Rishon,Elitzur Ashkelon,96,96,1x2,0,away,ft,4.59,6
AZsEe8mL,Ironi Nahariya,Ironi Eilat,72,72,1x2,0,home,ft,2.238,6
AZsEe8mL,Ironi Nahariya,Ironi Eilat,72,72,1x2,0,draw,ft,12.712,6
AZsEe8mL,Ironi Nahariya,Ironi Eilat,72,72,1x2,0,away,ft,1.727,6
YXngn4A7,Elitzur Ashkelon,Maccabi Rishon,69,69,1x2,0,home,ft,1.993,6
YXngn4A7,Elitzur Ashkelon,Maccabi Rishon,69,69,1x2,0,draw,ft,12.707,6
YXngn4A7,Elitzur Ashkelon,Maccabi Rishon,69,69,1x2,0,away,ft,1.922,6
E7l5cUI8,Ironi Eilat,Ironi Nahariya,100,100,1x2,0,home,ft,1.582,6
E7l5cUI8,Ironi Eilat,Ironi Nahariya,100,100,1x2,0,draw,ft,13.478,6
E7l5cUI8,Ironi Eilat,Ironi Nahariya,100,100,1x2,0,away,ft,2.505,6
Q7qolQue,Maccabi Rishon,Elitzur Ashkelon,69,69,1x2,0,home,ft,1.41,6
Q7qolQue,Maccabi Rishon,Elitzur Ashkelon,69,69,1x2,0,draw,ft,14.045,6
Q7qolQue,Maccabi Rishon,Elitzur Ashkelon,69,69,1x2,0,away,ft,3.108,6
2wfMVM8d,Ramat Hasharon,Elitzur Ashkelon,87,87,1x2,0,home,ft,1.7,5
2wfMVM8d,Ramat Hasharon,Elitzur Ashkelon,87,87,1x2,0,draw,ft,13.132,5
2wfMVM8d,Ramat Hasharon,Elitzur Ashkelon,87,87,1x2,0,away,ft,2.322,5
ji4EVIr1,Migdal Haemek,Ironi Eilat,75,75,1x2,0,home,ft,3.928,5
ji4EVIr1,Migdal Haemek,Ironi Eilat,75,75,1x2,0,draw,ft,15.446,5
ji4EVIr1,Migdal Haemek,Ironi Eilat,75,75,1x2,0,away,ft,1.288,5
2X2wU57d,Elitzur Yavne,Ironi Nahariya,84,84,1x2,0,home,ft,2.024,5
2X2wU57d,Elitzur Yavne,Ironi Nahariya,84,84,1x2,0,draw,ft,12.894,5
2X2wU57d,Elitzur Yavne,Ironi Nahariya,84,84,1x2,0,away,ft,1.902,5
lbM0i05K,Elitzur Ashkelon,Ramat Hasharon,94,94,1x2,0,home,ft,1.692,5
lbM0i05K,Elitzur Ashkelon,Ramat Hasharon,94,94,1x2,0,draw,ft,13.816,5
lbM0i05K,Elitzur Ashkelon,Ramat Hasharon,94,94,1x2,0,away,ft,2.322,5
lQrYkmUF,Maccabi Rehovot,Maccabi Rishon,85,85,1x2,0,home,ft,2.3,5
lQrYkmUF,Maccabi Rehovot,Maccabi Rishon,85,85,1x2,0,draw,ft,12.626,5
lQrYkmUF,Maccabi Rehovot,Maccabi Rishon,85,85,1x2,0,away,ft,1.722,5
659UVRxp,Ironi Nahariya,Elitzur Yavne,88,88,1x2,0,home,ft,1.482,5
659UVRxp,Ironi Nahariya,Elitzur Yavne,88,88,1x2,0,draw,ft,13.708,5
659UVRxp,Ironi Nahariya,Elitzur Yavne,88,88,1x2,0,away,ft,2.874,5
fPA5XvEl,Ironi Eilat,Migdal Haemek,104,104,1x2,0,home,ft,1.186,5
fPA5XvEl,Ironi Eilat,Migdal Haemek,104,104,1x2,0,draw,ft,16.974,5
fPA5XvEl,Ironi Eilat,Migdal Haemek,104,104,1x2,0,away,ft,5.21,5
SAfPi9a3,Maccabi Rishon,Maccabi Rehovot,73,73,1x2,0,home,ft,1.312,5
SAfPi9a3,Maccabi Rishon,Maccabi Rehovot,73,73,1x2,0,draw,ft,16.406,5
SAfPi9a3,Maccabi Rishon,Maccabi Rehovot,73,73,1x2,0,away,ft,3.674,5
O42MTdDD,Ramat Hasharon,Elitzur Ashkelon,107,107,1x2,0,home,ft,1.578,5
O42MTdDD,Ramat Hasharon,Elitzur Ashkelon,107,107,1x2,0,draw,ft,13.384,5
O42MTdDD,Ramat Hasharon,Elitzur Ashkelon,107,107,1x2,0,away,ft,2.588,5
M7zreaac,Hapoel Kfar Saba,Elitzur Ashkelon,69,69,1x2,0,home,ft,2.462,5
M7zreaac,Hapoel Kfar Saba,Elitzur Ashkelon,69,69,1x2,0,draw,ft,12.902,5
M7zreaac,Hapoel Kfar Saba,Elitzur Ashkelon,69,69,1x2,0,away,ft,1.622,5
6aheXe7j,Elitzur Shomron,Safed,93,93,1x2,0,home,ft,2.234,5
6aheXe7j,Elitzur Shomron,Safed,93,93,1x2,0,draw,ft,13.584,5
6aheXe7j,Elitzur Shomron,Safed,93,93,1x2,0,away,ft,1.734,5
WILarMFi,Hapoel Bnei Kfar Kasem,Maccabi Rehovot,71,71,1x2,0,home,ft,3.202,5
WILarMFi,Hapoel Bnei Kfar Kasem,Maccabi Rehovot,71,71,1x2,0,draw,ft,14.23,5
WILarMFi,Hapoel Bnei Kfar Kasem,Maccabi Rehovot,71,71,1x2,0,away,ft,1.39,5
fLYkgwU9,Migdal Haemek,Otef Darom,87,87,1x2,0,home,ft,1.172,5
fLYkgwU9,Migdal Haemek,Otef Darom,87,87,1x2,0,draw,ft,16.882,5
fLYkgwU9,Migdal Haemek,Otef Darom,87,87,1x2,0,away,ft,5.3,5
SpF8t0p4,Ironi Eilat,Elitzur Yavne,95,95,1x2,0,home,ft,1.234,5
SpF8t0p4,Ironi Eilat,Elitzur Yavne,95,95,1x2,0,draw,ft,15.394,5
SpF8t0p4,Ironi Eilat,Elitzur Yavne,95,95,1x2,0,away,ft,4.22,5
dQ6PxIqT,Ironi Nahariya,Maccabi Raanana,102,102,1x2,0,home,ft,1.8,5
dQ6PxIqT,Ironi Nahariya,Maccabi Raanana,102,102,1x2,0,draw,ft,12.508,5
dQ6PxIqT,Ironi Nahariya,Maccabi Raanana,102,102,1x2,0,away,ft,2.152,5
zBIGvvFG,Ramat Hasharon,Maccabi Rishon,75,75,1x2,0,home,ft,2.424,5
zBIGvvFG,Ramat Hasharon,Maccabi Rishon,75,75,1x2,0,draw,ft,12.478,5
zBIGvvFG,Ramat Hasharon,Maccabi Rishon,75,75,1x2,0,away,ft,1.644,5
IBPOt9vm,Elitzur Ashkelon,Elitzur Shomron,94,94,1x2,0,home,ft,1.272,5
IBPOt9vm,Elitzur Ashkelon,Elitzur Shomron,94,94,1x2,0,draw,ft,16.744,5
