match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
xncNvJdn,Kotor,Jedinstvo,82,82,1x2,0,home,ft,3.05,2
xncNvJdn,Kotor,Jedinstvo,82,82,1x2,0,draw,ft,14.9,2
xncNvJdn,Kotor,Jedinstvo,82,82,1x2,0,away,ft,1.34,2
EVUt5L9b,Decic,Danilovgrad,86,86,1x2,0,home,ft,1.12,1
EVUt5L9b,Decic,Danilovgrad,86,86,1x2,0,draw,ft,25.0,1
EVUt5L9b,Decic,Danilovgrad,86,86,1x2,0,away,ft,6.75,1
bgusVNoB,Studentski Centar,Ibar Rozaje,75,75,1x2,0,home,ft,1.03,1
bgusVNoB,Studentski Centar,Ibar Rozaje,75,75,1x2,0,draw,ft,31.0,1
bgusVNoB,Studentski Centar,Ibar Rozaje,75,75,1x2,0,away,ft,11.5,1
dYMuxNuC,Vukovi Zeta,Ibar Rozaje,73,73,1x2,0,home,ft,1.57,1
dYMuxNuC,Vukovi Zeta,Ibar Rozaje,73,73,1x2,0,draw,ft,13.0,1
dYMuxNuC,Vukovi Zeta,Ibar Rozaje,73,73,1x2,0,away,ft,2.65,1
8Cjbf4et,Sutjeska,Podgorica,83,83,1x2,0,home,ft,1.35,1
8Cjbf4et,Sutjeska,Podgorica,83,83,1x2,0,draw,ft,15.5,1
8Cjbf4et,Sutjeska,Podgorica,83,83,1x2,0,away,ft,3.6,1
lOJLNuvo,Studentski Centar,Tivat,95,95,1x2,0,home,ft,1.75,1
lOJLNuvo,Studentski Centar,Tivat,95,95,1x2,0,draw,ft,10.5,1
lOJLNuvo,Studentski Centar,Tivat,95,95,1x2,0,away,ft,2.35,1
4jrkT1GN,Susanj,Studentski Centar,86,86,1x2,0,home,ft,6.95,2
4jrkT1GN,Susanj,Studentski Centar,86,86,1x2,0,draw,ft,18.5,2
4jrkT1GN,Susanj,Studentski Centar,86,86,1x2,0,away,ft,1.07,2
l8JXwqBa,Ibar Rozaje,Jedinstvo,70,70,1x2,0,home,ft,3.33,2
