match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,1x2,0,home,ft,1.533,7
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,1x2,0,draw,ft,15.353,7
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,1x2,0,away,ft,2.77,7
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,160.50,over,ft,1.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,160.50,under,ft,2.29,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,161.50,over,ft,1.62,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,161.50,under,ft,2.16,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,162.50,over,ft,1.7,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,162.50,under,ft,2.03,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,163.50,over,ft,1.77,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,163.50,under,ft,1.94,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,164.50,over,ft,1.9,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,164.50,under,ft,1.9,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,165.50,over,ft,1.94,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,165.50,under,ft,1.77,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,166.50,over,ft,2.03,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,166.50,under,ft,1.7,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,167.50,over,ft,2.16,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,167.50,under,ft,1.62,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,168.50,over,ft,2.29,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,ou,168.50,under,ft,1.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-10.50,home,ft,2.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-10.50,away,ft,1.45,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-11.50,home,ft,2.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-11.50,away,ft,1.45,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-0.50,home,ft,1.6,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-0.50,away,ft,2.19,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,0.50,home,ft,1.45,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,0.50,away,ft,2.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-1.50,home,ft,1.65,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-1.50,away,ft,2.11,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-2.50,home,ft,1.75,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-2.50,away,ft,1.95,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-3.50,home,ft,1.9,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-3.50,away,ft,1.9,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-4.50,home,ft,1.99,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-4.50,away,ft,1.73,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-5.50,home,ft,2.16,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-5.50,away,ft,1.62,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-6.50,home,ft,2.36,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-6.50,away,ft,1.52,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-7.50,home,ft,2.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-7.50,away,ft,1.45,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-8.50,home,ft,2.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-8.50,away,ft,1.45,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-9.50,home,ft,2.55,1
hd8knaft,CSKA Moscow,Zenit Petersburg,96,96,hc,-9.50,away,ft,1.45,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,1x2,0,home,ft,1.933,7
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,1x2,0,draw,ft,13.527,7
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,1x2,0,away,ft,2.041,7
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,157.50,over,ft,1.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,157.50,under,ft,2.29,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,158.50,over,ft,1.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,158.50,under,ft,2.29,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,159.50,over,ft,1.62,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,159.50,under,ft,2.16,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,160.50,over,ft,1.7,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,160.50,under,ft,2.03,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,161.50,over,ft,1.77,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,161.50,under,ft,1.94,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,162.50,over,ft,1.9,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,162.50,under,ft,1.9,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,163.50,over,ft,1.94,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,163.50,under,ft,1.77,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,164.50,over,ft,2.03,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,164.50,under,ft,1.7,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,165.50,over,ft,2.16,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,165.50,under,ft,1.62,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,166.50,over,ft,2.29,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,166.50,under,ft,1.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,167.50,over,ft,2.29,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,167.50,under,ft,1.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,168.50,over,ft,2.29,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,168.50,under,ft,1.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,169.50,over,ft,2.29,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,ou,169.50,under,ft,1.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,0.50,home,ft,1.7,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,0.50,away,ft,2.03,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-0.50,home,ft,1.85,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-0.50,away,ft,1.95,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,1.50,home,ft,1.65,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,1.50,away,ft,2.11,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-1.50,home,ft,2.0,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-1.50,away,ft,1.72,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,2.50,home,ft,1.6,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,2.50,away,ft,2.19,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-2.50,home,ft,2.16,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-2.50,away,ft,1.62,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,3.50,home,ft,1.47,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,3.50,away,ft,2.49,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-3.50,home,ft,2.36,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-3.50,away,ft,1.52,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,4.50,home,ft,1.5,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,4.50,away,ft,2.41,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-4.50,home,ft,2.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-4.50,away,ft,1.45,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-5.50,home,ft,2.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-5.50,away,ft,1.45,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-6.50,home,ft,2.55,1
MgVNksHd,Zenit Petersburg,CSKA Moscow,84,84,hc,-6.50,away,ft,1.45,1
t87uOiWi,CSKA Moscow,Zenit Petersburg,85,85,1x2,0,home,ft,1.504,7
t87uOiWi,CSKA Moscow,Zenit Petersburg,85,85,1x2,0,draw,ft,14.76,7
