match_id,home,away,home_score,away_score,market,line,side,avg_odds,n_bookies
CK9pBb4j,SK Rapid,LASK,3,3,1x2,0,home,2.06,1
CK9pBb4j,SK Rapid,LASK,3,3,1x2,0,draw,4.0,1
CK9pBb4j,SK Rapid,LASK,3,3,1x2,0,away,3.65,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,0.50,over,1.04,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,0.50,under,21.0,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,1.50,over,1.22,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,1.50,under,5.3,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,2.50,over,1.66,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,2.50,under,2.46,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,3.50,over,2.64,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,3.50,under,1.59,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,4.50,over,5.0,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,4.50,under,1.23,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,5.50,over,10.5,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,5.50,under,1.09,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,6.50,over,26.0,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,6.50,under,1.03,1
CK9pBb4j,SK Rapid,LASK,3,3,ou,7.50,over,60.0,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,0,home,1.56,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,0,away,2.76,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,0.50,home,1.36,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,0.50,away,3.65,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,-0.50,home,2.06,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,-0.50,away,1.93,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,0.75,home,1.26,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,0.75,away,4.66,1
CK9pBb4j,SK Rapid,LASK,3,3,hc,-0.75,home,2.36,1
