match_id,home,away,home_score,away_score,market,line,side,avg_odds,n_bookies
0EZuALXq,Zamalek,Pharco,2,2,1x2,0,home,1.73,1
0EZuALXq,Zamalek,Pharco,2,2,1x2,0,draw,3.8,1
0EZuALXq,Zamalek,Pharco,2,2,1x2,0,away,5.9,1
0EZuALXq,Zamalek,Pharco,2,2,ou,0.50,over,1.09,1
0EZuALXq,Zamalek,Pharco,2,2,ou,0.50,under,11.0,1
0EZuALXq,Zamalek,Pharco,2,2,ou,1.50,over,1.39,1
0EZuALXq,Zamalek,Pharco,2,2,ou,1.50,under,3.4,1
0EZuALXq,Zamalek,Pharco,2,2,ou,2.50,over,2.18,1
0EZuALXq,Zamalek,Pharco,2,2,ou,2.50,under,1.8,1
0EZuALXq,Zamalek,Pharco,2,2,ou,3.50,over,4.1,1
0EZuALXq,Zamalek,Pharco,2,2,ou,3.50,under,1.3,1
0EZuALXq,Zamalek,Pharco,2,2,ou,4.50,over,9.4,1
0EZuALXq,Zamalek,Pharco,2,2,ou,4.50,under,1.1,1
0EZuALXq,Zamalek,Pharco,2,2,ou,5.50,over,23.0,1
0EZuALXq,Zamalek,Pharco,2,2,ou,5.50,under,1.03,1
0EZuALXq,Zamalek,Pharco,2,2,ou,6.50,over,50.0,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0,home,1.28,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0,away,4.34,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0.50,home,1.2,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0.50,away,5.9,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-0.50,home,1.73,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-0.50,away,2.31,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0.75,home,1.12,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0.75,away,8.28,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-0.75,home,1.95,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-0.75,away,1.98,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.00,home,1.04,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.00,away,14.5,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.00,home,2.37,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.00,away,1.66,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.25,home,1.04,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.25,away,15.4,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.25,home,2.81,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.25,away,1.49,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.50,home,1.04,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.50,away,16.31,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.50,home,3.22,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.50,away,1.39,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.75,home,1.02,1
0EZuALXq,Zamalek,Pharco,2,2,hc,1.75,away,16.31,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.75,home,4.02,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-1.75,away,1.27,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.00,home,5.53,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.00,away,1.16,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.25,home,6.0,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.25,away,1.14,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.50,home,5.31,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.50,away,1.13,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.75,home,6.4,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-2.75,away,1.07,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.00,home,6.76,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.00,away,1.04,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.25,home,6.76,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.25,away,1.03,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.50,home,6.76,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.50,away,1.03,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-3.75,home,6.76,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0.25,home,1.23,1
0EZuALXq,Zamalek,Pharco,2,2,hc,0.25,away,5.12,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-0.25,home,1.51,1
0EZuALXq,Zamalek,Pharco,2,2,hc,-0.25,away,2.88,1
0EZuALXq,Zamalek,Pharco,2,2,dc,0,home/draw,1.2,1
0EZuALXq,Zamalek,Pharco,2,2,dc,0,home/away,1.34,1
0EZuALXq,Zamalek,Pharco,2,2,dc,0,draw/away,2.3,1
YeqC9UaM,Al Ittihad,Enppi,1,1,1x2,0,home,2.38,1
YeqC9UaM,Al Ittihad,Enppi,1,1,1x2,0,draw,2.74,1
YeqC9UaM,Al Ittihad,Enppi,1,1,1x2,0,away,4.5,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,0.50,over,1.19,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,0.50,under,5.9,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,1.50,over,1.71,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,1.50,under,2.36,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,2.50,over,3.3,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,2.50,under,1.41,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,3.50,over,7.4,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,3.50,under,1.14,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,4.50,over,19.5,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,4.50,under,1.04,1
YeqC9UaM,Al Ittihad,Enppi,1,1,ou,5.50,over,50.0,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0,home,1.52,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0,away,2.88,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0.50,home,1.27,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0.50,away,4.5,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-0.50,home,2.38,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-0.50,away,1.71,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0.75,home,1.15,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0.75,away,5.31,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-0.75,home,2.63,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-0.75,away,1.43,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.00,home,1.03,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.00,away,6.6,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.00,home,3.0,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.00,away,1.15,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.25,home,1.03,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.25,away,6.9,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.25,home,3.22,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.25,away,1.11,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.50,home,1.03,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.50,away,7.2,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.50,home,3.45,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.50,away,1.09,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,1.75,away,7.2,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.75,home,3.45,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-1.75,away,1.04,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0.25,home,1.36,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,0.25,away,3.69,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-0.25,home,1.95,1
YeqC9UaM,Al Ittihad,Enppi,1,1,hc,-0.25,away,2.04,1
YeqC9UaM,Al Ittihad,Enppi,1,1,dc,0,home/draw,1.27,1
YeqC9UaM,Al Ittihad,Enppi,1,1,dc,0,home/away,1.56,1
YeqC9UaM,Al Ittihad,Enppi,1,1,dc,0,draw/away,1.71,1
URUs48Nq,El Gaish,Modern Sport,1,1,1x2,0,home,3.3,1
URUs48Nq,El Gaish,Modern Sport,1,1,1x2,0,draw,2.56,1
URUs48Nq,El Gaish,Modern Sport,1,1,1x2,0,away,3.0,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,0.50,over,1.21,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,0.50,under,5.4,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,1.50,over,1.76,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,1.50,under,2.26,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,2.50,over,3.55,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,2.50,under,1.38,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,3.50,over,8.0,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,3.50,under,1.12,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,4.50,over,22.0,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,4.50,under,1.04,1
URUs48Nq,El Gaish,Modern Sport,1,1,ou,5.50,over,50.0,1
URUs48Nq,El Gaish,Modern Sport,1,1,hc,0,home,2.11,1
URUs48Nq,El Gaish,Modern Sport,1,1,hc,0,away,1.84,1
URUs48Nq,El Gaish,Modern Sport,1,1,hc,0.50,home,1.48,1
