match_id,home,away,home_score,away_score,market,line,side,avg_odds,n_bookies
n9M6D20c,AFC Wimbledon,Walsall,1,1,1x2,0,home,2.88,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,1x2,0,draw,2.94,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,1x2,0,away,3.15,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,0.50,over,1.16,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,0.50,under,7.0,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,1.50,over,1.66,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,1.50,under,2.48,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,2.50,over,3.05,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,2.50,under,1.47,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,3.50,over,6.8,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,3.50,under,1.16,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,4.50,over,17.5,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,4.50,under,1.05,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,ou,5.50,over,50.0,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0,home,1.9,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0,away,2.08,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-0.50,home,2.88,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-0.50,away,1.52,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0.50,home,1.45,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0.50,away,3.15,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-0.75,home,3.73,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-0.75,away,1.35,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0.75,home,1.3,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0.75,away,4.22,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.00,home,6.0,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.00,away,1.18,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.00,home,1.15,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.00,away,7.05,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.25,home,6.78,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.25,away,1.15,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.25,home,1.13,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.25,away,7.93,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.50,home,7.6,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.50,away,1.13,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.50,home,1.11,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.50,away,8.8,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.75,home,11.38,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-1.75,away,1.08,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.75,home,1.07,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,1.75,away,13.24,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.00,home,25.34,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.00,away,1.03,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.00,home,1.02,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.00,away,27.59,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.25,home,25.26,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.25,away,1.03,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.25,home,1.02,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.25,away,28.79,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.50,home,26.49,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.50,away,1.03,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.50,home,1.02,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.50,away,30.0,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-2.75,home,44.78,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,2.75,away,48.76,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-0.25,home,2.39,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,-0.25,away,1.7,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0.25,home,1.6,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,hc,0.25,away,2.61,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,dc,0,home/draw,1.45,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,dc,0,home/away,1.51,1
n9M6D20c,AFC Wimbledon,Walsall,1,1,dc,0,draw/away,1.52,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,1x2,0,home,2.44,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,1x2,0,draw,3.3,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,1x2,0,away,3.4,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,0.50,over,1.11,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,0.50,under,9.6,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,1.50,over,1.47,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,1.50,under,3.0,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,2.50,over,2.42,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,2.50,under,1.69,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,3.50,over,4.9,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,3.50,under,1.24,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,4.50,over,12.0,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,4.50,under,1.08,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,5.50,over,34.0,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,ou,5.50,under,1.02,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0,home,1.7,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0,away,2.38,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0.50,home,1.4,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0.50,away,3.4,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-0.50,home,2.44,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-0.50,away,1.68,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0.75,home,1.27,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0.75,away,4.51,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-0.75,home,2.96,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-0.75,away,1.48,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.00,home,1.14,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.00,away,7.49,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.00,home,4.06,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.00,away,1.28,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.25,home,1.12,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.25,away,8.34,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.25,home,4.63,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.25,away,1.23,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.50,home,1.11,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.50,away,9.2,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.50,home,5.19,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.50,away,1.2,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.75,home,1.06,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,1.75,away,13.41,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.75,home,7.12,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-1.75,away,1.13,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.00,home,1.02,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.00,away,25.38,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.00,home,11.91,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.00,away,1.06,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.25,home,1.02,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.25,away,26.36,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.25,home,12.72,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.25,away,1.05,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.50,home,1.02,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.50,away,27.35,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.50,home,13.5,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.50,away,1.05,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,2.75,away,44.05,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.75,home,19.91,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-2.75,away,1.03,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-3.00,home,26.0,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-3.25,home,26.5,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-3.50,home,27.0,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0.25,home,1.51,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,0.25,away,2.89,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-0.25,home,2.07,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,hc,-0.25,away,1.91,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,dc,0,home/draw,1.4,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,dc,0,home/away,1.42,1
ngKO9rJt,AFC Wimbledon,Notts County,1,1,dc,0,draw/away,1.68,1
zTVv60I5,Walsall,Chesterfield,2,2,1x2,0,home,2.68,1
zTVv60I5,Walsall,Chesterfield,2,2,1x2,0,draw,3.7,1
zTVv60I5,Walsall,Chesterfield,2,2,1x2,0,away,2.78,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,0.50,over,1.08,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,0.50,under,12.5,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,1.50,over,1.35,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,1.50,under,3.7,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,2.50,over,2.08,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,2.50,under,1.89,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,3.50,over,3.85,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,3.50,under,1.33,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,4.50,over,8.0,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,4.50,under,1.13,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,5.50,over,18.5,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,5.50,under,1.05,1
zTVv60I5,Walsall,Chesterfield,2,2,ou,6.50,over,50.0,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,0,home,1.95,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,0,away,2.04,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,0.50,home,1.55,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,0.50,away,2.79,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-0.50,home,2.68,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-0.50,away,1.59,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,0.75,home,1.4,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,0.75,away,3.43,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-0.75,home,3.27,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-0.75,away,1.42,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.00,home,1.25,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.00,away,4.78,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.00,home,4.54,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.00,away,1.25,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.25,home,1.21,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.25,away,5.34,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.25,home,5.09,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.25,away,1.21,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.50,home,1.19,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.50,away,5.89,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.50,home,5.64,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.50,away,1.19,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.75,home,1.12,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,1.75,away,8.27,1
zTVv60I5,Walsall,Chesterfield,2,2,hc,-1.75,home,7.55,1
