match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,1x2,0,home,ft,1.8,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,1x2,0,draw,ft,3.85,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,1x2,0,away,ft,5.1,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,0.50,over,ft,1.07,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,0.50,under,ft,12.5,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,1.50,over,ft,1.33,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,1.50,under,ft,3.85,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,2.50,over,ft,2.0,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,2.50,under,ft,1.98,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,3.50,over,ft,3.6,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,3.50,under,ft,1.38,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,4.50,over,ft,7.6,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,4.50,under,ft,1.13,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,5.50,over,ft,18.0,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,5.50,under,ft,1.04,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,ou,6.50,over,ft,18.0,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0,home,ft,1.33,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0,away,ft,3.85,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0.50,home,ft,1.23,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0.50,away,ft,5.14,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-0.50,home,ft,1.8,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-0.50,away,ft,2.22,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0.75,home,ft,1.14,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0.75,away,ft,6.85,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-0.75,home,ft,2.03,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-0.75,away,ft,1.91,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.00,home,ft,1.06,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.00,away,ft,10.66,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.00,home,ft,2.45,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.00,away,ft,1.6,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.25,home,ft,1.05,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.25,away,ft,11.33,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.25,home,ft,2.85,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.25,away,ft,1.45,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.50,home,ft,1.05,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.50,away,ft,12.0,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.50,home,ft,3.22,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.50,away,ft,1.36,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.75,home,ft,1.02,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,1.75,away,ft,12.0,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.75,home,ft,4.02,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-1.75,away,ft,1.25,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.00,home,ft,5.51,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.00,away,ft,1.13,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.25,home,ft,5.9,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.25,away,ft,1.12,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.50,home,ft,6.2,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.50,away,ft,1.11,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.75,home,ft,6.96,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-2.75,away,ft,1.07,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.00,home,ft,7.91,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.00,away,ft,1.03,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.25,home,ft,9.33,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.25,away,ft,1.03,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.50,home,ft,8.14,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.50,away,ft,1.03,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-3.75,home,ft,9.33,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0.25,home,ft,1.27,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,0.25,away,ft,4.5,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-0.25,home,ft,1.56,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,hc,-0.25,away,ft,2.72,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,dc,0,home/draw,ft,1.23,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,dc,0,home/away,ft,1.33,1
nDEFnmSi,Mohun Bagan,Bengaluru FC,2,2,dc,0,draw/away,ft,2.22,1
z1V5SPa3,Mohun Bagan,Jamshedpur,2,2,1x2,0,home,ft,1.34,1
z1V5SPa3,Mohun Bagan,Jamshedpur,2,2,1x2,0,draw,ft,6.2,1
z1V5SPa3,Mohun Bagan,Jamshedpur,2,2,1x2,0,away,ft,9.8,1
z1V5SPa3,Mohun Bagan,Jamshedpur,2,2,ou,0.50,over,ft,1.03,1
